-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 
Location: Latitude  -1.9852   Longitude 30.0447 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1614.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS50M_MAX               MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN               MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,WS2M,TS,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M,RH2M,WD10M,WS10M,PS,WS50M_MAX,WS50M_MIN
2019,1,1,1.7,1.09,18.36,18.45,23.23,15.33,6.04,13.31,84.38,142.88,1.95,84.0,3.66,1.38
2019,1,2,2.52,1.38,21.05,20.62,28.01,13.93,0.15,12.94,75.12,138.75,2.39,83.99,5.44,1.39
2019,1,3,2.23,1.62,20.98,20.68,27.48,14.84,0.22,13.06,74.88,123.75,2.83,83.93,6.01,2.11
2019,1,4,1.96,1.2,20.6,20.15,26.41,14.59,1.53,13.43,78.31,126.25,2.05,83.88,4.18,1.73
2019,1,5,2.12,1.45,20.1,19.96,26.05,15.85,4.21,13.79,80.75,142.88,2.58,83.85,5.86,2.49
2019,1,6,2.14,1.43,20.64,20.23,27.04,15.52,0.69,12.7,74.5,256.19,2.55,83.82,5.18,2.86
2019,1,7,1.94,1.6,20.69,20.43,27.22,14.87,0.57,11.29,66.88,146.62,2.88,83.79,6.77,3.2
2019,1,8,2.1,1.66,20.44,20.09,27.18,14.96,2.9,11.6,69.88,152.06,2.89,83.82,6.19,1.18
2019,1,9,2.58,1.34,20.63,20.08,27.03,14.44,0.28,11.9,71.69,131.88,2.27,83.84,4.62,1.2
2019,1,10,2.11,1.21,20.29,20.05,26.96,13.52,0.32,11.54,68.81,155.38,2.08,83.84,3.92,1.25
2019,1,11,2.38,1.42,21.14,20.65,27.71,13.84,0.82,12.39,71.75,142.31,2.45,83.8,5.0,0.29
2019,1,12,2.35,1.41,20.68,20.36,27.13,14.73,1.05,12.51,73.0,145.0,2.43,83.76,4.88,0.47
2019,1,13,2.66,1.42,21.86,21.13,28.94,13.73,0.06,12.15,69.69,129.12,2.46,83.77,5.53,1.16
2019,1,14,2.18,0.97,22.35,21.61,28.22,15.51,0.32,12.57,68.38,157.44,1.58,83.86,3.72,0.67
2019,1,15,1.29,0.9,18.69,18.94,22.61,14.88,4.01,12.33,76.5,180.75,1.48,83.95,3.95,0.23
2019,1,16,0.91,1.02,18.58,18.19,23.68,13.94,2.38,12.7,82.81,155.56,1.77,83.99,4.25,0.53
2019,1,17,2.22,1.17,20.74,20.05,26.62,14.18,1.77,12.39,74.06,151.81,2.02,83.95,3.81,1.55
2019,1,18,1.19,0.96,19.63,19.42,24.23,14.66,6.58,13.06,79.19,134.38,1.68,83.9,3.41,1.13
2019,1,19,1.78,0.77,20.14,20.05,25.19,14.84,6.78,12.82,75.5,256.5,1.45,83.94,3.96,0.8
2019,1,20,1.55,0.92,21.2,20.63,26.91,15.51,17.93,13.24,75.94,129.19,1.63,83.99,3.71,1.71
