latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.288,61.7817,312.7,1.1,1,2021-01-01,0901,Aqua,MODIS,65,6.03,290.3,9.3,D,0
31.2772,61.7727,324,1.1,1,2021-01-01,0901,Aqua,MODIS,81,6.03,293.9,20.5,D,0
31.2789,61.7836,335.7,1.1,1,2021-01-01,0901,Aqua,MODIS,89,6.03,291.5,37,D,0
32.0368,64.8204,301.8,1,1,2021-01-03,0849,Aqua,MODIS,37,6.03,286.7,4.3,D,0
33.7145,70.0961,305,1.4,1.2,2021-01-03,0849,Aqua,MODIS,58,6.03,289.2,8.4,D,0
33.7043,70.0981,306.2,1.4,1.2,2021-01-03,0849,Aqua,MODIS,63,6.03,290,9.8,D,0
31.3633,61.8435,300.3,1.5,1.2,2021-01-05,0701,Terra,MODIS,35,6.03,286.7,7.2,D,0
31.135,62.0617,302.1,1.1,1,2021-01-07,0649,Terra,MODIS,51,6.03,284.1,6.3,D,0
31.1443,62.0496,311,1,1,2021-01-08,0907,Aqua,MODIS,55,6.03,292.8,7.1,D,0
31.1339,62.041,305.7,1,1,2021-01-08,0907,Aqua,MODIS,37,6.03,292.5,4,D,0
31.2415,61.9151,316.4,1.2,1.1,2021-01-10,0855,Aqua,MODIS,71,6.03,293.1,16.8,D,0
32.0404,64.8161,310.6,1.2,1.1,2021-01-12,0843,Aqua,MODIS,65,6.03,289.3,11.2,D,0
31.2946,61.7787,311.3,1.4,1.2,2021-01-13,0926,Aqua,MODIS,58,6.03,298.4,11.6,D,0
31.2775,61.9096,315.9,1.1,1,2021-01-14,1755,Terra,MODIS,92,6.03,267.3,21.5,N,0
31.2684,61.9115,332.9,1.1,1,2021-01-14,1755,Terra,MODIS,100,6.03,267.9,41.2,N,0
31.2584,61.918,323.1,1,1,2021-01-15,0913,Aqua,MODIS,78,6.03,294.3,17.8,D,0
31.2283,61.8967,322.7,1,1,2021-01-15,0913,Aqua,MODIS,77,6.03,296.1,17.8,D,0
31.257,61.9072,357.9,1,1,2021-01-15,0913,Aqua,MODIS,99,6.03,297,81.9,D,0
31.1241,62.0103,311.4,1.1,1,2021-01-15,0913,Aqua,MODIS,48,6.03,299.2,5.9,D,0
31.2659,61.9264,310.2,1,1,2021-01-16,0643,Terra,MODIS,24,6.03,294,6.5,D,0
31.2558,61.9286,313,1,1,2021-01-16,0643,Terra,MODIS,68,6.03,292.8,9.4,D,0
31.3172,61.766,310.9,1,1,2021-01-16,0643,Terra,MODIS,64,6.03,294,7.3,D,0
33.5856,69.8548,313.9,2,1.4,2021-01-17,0901,Aqua,MODIS,74,6.03,295.3,25.3,D,0
31.2596,61.9473,321,1,1,2021-01-17,0901,Aqua,MODIS,73,6.03,303,13.7,D,0
31.2579,61.9365,313,1,1,2021-01-17,0901,Aqua,MODIS,37,6.03,301.1,6.2,D,0
31.1392,61.9453,330,1.1,1,2021-01-17,0901,Aqua,MODIS,82,6.03,299.5,26.2,D,0
31.1313,62.014,334.3,1,1,2021-01-17,0901,Aqua,MODIS,86,6.03,298.8,30.6,D,0
37.5428,65.7981,316.9,2.9,1.6,2021-01-19,0711,Terra,MODIS,0,6.03,287.5,67.9,D,0
31.5858,65.5197,317,1,1,2021-01-19,0849,Aqua,MODIS,65,6.03,296.1,10.6,D,0
31.5842,65.5093,326.6,1,1,2021-01-19,0849,Aqua,MODIS,79,6.03,295.6,20.7,D,0
37.475,65.9579,313.6,1,1,2021-01-19,0850,Aqua,MODIS,68,6.03,292.4,11.3,D,0
37.5308,65.822,337.8,1,1,2021-01-19,0850,Aqua,MODIS,79,6.03,292.2,37.8,D,0
36.8073,68.6844,307.2,1.2,1.1,2021-01-19,0850,Aqua,MODIS,52,6.03,290,8.7,D,0
34.3058,62.293,307.2,1.2,1.1,2021-01-19,0850,Aqua,MODIS,58,6.03,293.4,7.6,D,2
34.3035,62.2799,310.4,1.2,1.1,2021-01-19,0850,Aqua,MODIS,65,6.03,293.6,10.7,D,2
33.6965,70.0981,304.6,1,1,2021-01-20,0617,Terra,MODIS,59,6.03,290.8,5.2,D,0
37.4264,66.0416,330,1,1,2021-01-20,2135,Aqua,MODIS,100,6.03,268,0,N,0
37.428,66.0304,324.2,1,1,2021-01-20,2135,Aqua,MODIS,94,6.03,269.2,0,N,0
32.1345,64.9077,303.5,2.2,1.4,2021-01-21,0700,Terra,MODIS,44,6.03,290.6,10.8,D,0
