latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.2926,20.053,302.1,1.5,1.2,2021-02-04,1209,Aqua,MODIS,44,6.03,292,8.9,D,0
40.7709,19.8919,305.8,1,1,2021-02-24,1144,Aqua,MODIS,62,6.03,293.5,5.3,D,0
39.7631,20.1355,305.5,1,1,2021-02-24,1144,Aqua,MODIS,62,6.03,294.3,4.6,D,0
40.7726,19.9037,319.8,1,1,2021-02-24,1144,Aqua,MODIS,80,6.03,294,16.2,D,0
40.8762,20.5083,300.6,1.1,1.1,2021-02-26,1132,Aqua,MODIS,29,6.03,290.5,4.4,D,0
41.0751,19.8344,304.8,1.8,1.3,2021-02-27,1215,Aqua,MODIS,60,6.03,292.5,11.3,D,0
41.0695,19.8283,307.5,1.8,1.3,2021-02-27,1215,Aqua,MODIS,65,6.03,292.3,14.3,D,0
41.6022,19.6292,306.8,1,1,2021-02-28,0938,Terra,MODIS,60,6.03,289,6.7,D,0
41.604,19.6174,317.6,1,1,2021-02-28,0938,Terra,MODIS,73,6.03,288.8,15.2,D,0
41.6111,19.6314,314,1,1,2021-02-28,0938,Terra,MODIS,58,6.03,289.3,11.2,D,0
41.6128,19.6196,326,1,1,2021-02-28,0938,Terra,MODIS,73,6.03,289.7,23,D,0
41.0409,19.7389,305.7,1.8,1.3,2021-02-28,1120,Aqua,MODIS,62,6.03,291.3,13,D,2
41.6102,19.64,300.5,2.8,1.6,2021-03-01,1021,Terra,MODIS,33,6.03,290,15.3,D,0
41.7702,20.2953,304.6,1.4,1.2,2021-03-01,1203,Aqua,MODIS,58,6.03,290.1,8.9,D,0
41.7646,20.3018,300.9,1.4,1.2,2021-03-01,1203,Aqua,MODIS,36,6.03,288.5,4.8,D,0
41.0214,19.7104,306.7,1.2,1.1,2021-03-02,0926,Terra,MODIS,64,6.03,290.6,8.5,D,0
40.4688,19.8894,304.5,1.1,1.1,2021-03-02,0926,Terra,MODIS,59,6.03,288.9,7.2,D,0
39.9569,20.1279,306.6,2.7,1.6,2021-03-02,1108,Aqua,MODIS,64,6.03,289.4,32,D,0
39.9486,20.0932,306.3,2.7,1.6,2021-03-02,1108,Aqua,MODIS,63,6.03,289.9,30.5,D,0
39.9625,20.0893,339.1,2.7,1.6,2021-03-02,1108,Aqua,MODIS,91,6.03,290.7,176.9,D,0
39.9714,20.1266,335.2,2.7,1.6,2021-03-02,1108,Aqua,MODIS,89,6.03,286.5,151,D,0
39.9672,20.135,324.3,2.7,1.6,2021-03-02,1108,Aqua,MODIS,83,6.03,287.6,94.5,D,0
39.9586,20.098,353.7,2.7,1.6,2021-03-02,1108,Aqua,MODIS,97,6.03,291.8,300.9,D,0
40.5466,20.205,306,2.2,1.4,2021-03-03,1009,Terra,MODIS,63,6.03,290.5,21.4,D,0
40.5461,20.2112,307.1,2.2,1.4,2021-03-03,1009,Terra,MODIS,65,6.03,290.5,23.3,D,0
41.3018,19.6244,302.8,1,1,2021-03-03,1151,Aqua,MODIS,51,6.03,292.3,3.7,D,0
41.257,19.9,307.4,1,1,2021-03-03,1151,Aqua,MODIS,65,6.03,294.6,6.3,D,0
42.5022,19.5724,306.9,1,1,2021-03-03,1151,Aqua,MODIS,45,6.03,296.1,7.6,D,0
41.9191,19.8974,309.1,1,1,2021-03-03,1151,Aqua,MODIS,67,6.03,294.1,6.1,D,0
40.3623,20.0258,305.9,1,1,2021-03-03,1151,Aqua,MODIS,30,6.03,293.3,4.6,D,0
40.3533,20.0279,306.7,1,1,2021-03-03,1151,Aqua,MODIS,41,6.03,295.7,5.1,D,0
41.9272,19.9057,303.2,1.6,1.3,2021-03-04,0914,Terra,MODIS,51,6.03,290.3,7.8,D,0
41.9221,19.9077,311.9,3.6,1.8,2021-03-04,1234,Aqua,MODIS,72,6.03,290.9,62.5,D,0
41.915,19.9146,311.3,3.6,1.8,2021-03-04,1234,Aqua,MODIS,71,6.03,292,55,D,0
42.2939,20.2503,308,1.3,1.1,2021-03-05,0957,Terra,MODIS,63,6.03,285.4,12.5,D,0
42.2843,20.2587,304.3,1.3,1.1,2021-03-05,0957,Terra,MODIS,35,6.03,287.6,8.6,D,0
42.2875,20.2415,301.8,1.3,1.1,2021-03-05,0957,Terra,MODIS,23,6.03,285.3,6.5,D,0
40.9841,19.5292,304,1.1,1,2021-03-05,1138,Aqua,MODIS,44,6.03,291.7,4.7,D,0
42.2888,20.2483,319.5,1,1,2021-03-05,1139,Aqua,MODIS,69,6.03,287,18.4,D,0
42.2869,20.2362,301.8,1,1,2021-03-05,1139,Aqua,MODIS,30,6.03,285.3,5,D,0
40.9819,20.3853,322.7,1.4,1.2,2021-03-07,1126,Aqua,MODIS,48,6.03,276.8,33.7,D,0
40.4639,20.4423,305.1,1,1,2021-03-09,0933,Terra,MODIS,47,6.03,291.5,4.8,D,0
40.2979,19.5463,316.1,1.3,1.1,2021-03-14,1132,Aqua,MODIS,71,6.03,289.6,18.9,D,0
40.2873,19.5379,314.4,1.3,1.1,2021-03-14,1132,Aqua,MODIS,74,6.03,289,17.8,D,0
40.2905,19.5554,311.1,1.3,1.1,2021-03-14,1132,Aqua,MODIS,68,6.03,287,14.3,D,0
40.8492,19.8278,305.5,1,1,2021-03-25,0932,Terra,MODIS,54,6.03,286.9,7.4,D,0
40.8066,19.4861,303,1.1,1,2021-03-26,1157,Aqua,MODIS,54,6.03,290.4,5.1,D,0
41.4595,19.7916,305.7,1.6,1.2,2021-03-28,1003,Terra,MODIS,59,6.03,289.3,12.3,D,0
41.4558,19.8098,302,1.6,1.2,2021-03-28,1003,Terra,MODIS,49,6.03,289.3,8.7,D,0
41.3838,19.9917,305.2,1.2,1.1,2021-03-30,0950,Terra,MODIS,59,6.03,287.7,8,D,0
41.3784,19.9838,301.3,1.2,1.1,2021-03-30,1132,Aqua,MODIS,25,6.03,290,4,D,0
41.3809,19.9981,301.3,1.2,1.1,2021-03-30,1132,Aqua,MODIS,28,6.03,289.3,4.3,D,0
40.6086,19.6666,310.9,1.3,1.1,2021-03-30,1132,Aqua,MODIS,70,6.03,292.5,11.9,D,0
40.5345,20.1906,313.3,1.9,1.3,2021-03-31,1215,Aqua,MODIS,70,6.03,296.8,22.4,D,0
40.2518,19.749,320.3,1.8,1.3,2021-03-31,1215,Aqua,MODIS,79,6.03,294.4,37.3,D,0
40.5312,20.1962,312.1,1.9,1.3,2021-03-31,1215,Aqua,MODIS,68,6.03,296.8,18.5,D,0
40.3402,19.9038,306.7,1,1,2021-04-01,0938,Terra,MODIS,57,6.03,294.6,4.9,D,0
42.2698,19.6032,314.7,1,1,2021-04-01,0938,Terra,MODIS,38,6.03,291,13.2,D,0
40.6097,19.5072,304.8,1.2,1.1,2021-04-03,0926,Terra,MODIS,46,6.03,292,4.1,D,0
40.6994,19.4972,319.4,2.8,1.6,2021-04-03,1108,Aqua,MODIS,79,6.03,291.6,68.5,D,0
40.7017,19.4917,315.6,2.8,1.6,2021-04-03,1108,Aqua,MODIS,75,6.03,291.1,52.6,D,0
41.0449,19.4536,305.2,1.1,1,2021-04-10,0932,Terra,MODIS,0,6.03,289.5,6.6,D,0
41.8416,20.0421,317.7,2.4,1.5,2021-05-09,0901,Terra,MODIS,75,6.03,296.7,44.8,D,0
41.836,20.0495,317.2,2.4,1.5,2021-05-09,0901,Terra,MODIS,74,6.03,296.2,43.7,D,0
40.6859,20.5519,315,2.5,1.5,2021-05-09,1221,Aqua,MODIS,58,6.03,293.1,33.3,D,0
40.694,20.5446,311.5,2.5,1.5,2021-05-09,1221,Aqua,MODIS,43,6.03,294.1,23.1,D,0
41.9891,19.5404,316.3,1.2,1.1,2021-06-02,1132,Aqua,MODIS,48,6.03,302.8,7.8,D,0
40.9432,19.6053,312.7,1.8,1.3,2021-06-03,1215,Aqua,MODIS,19,6.03,299.8,10.8,D,0
40.1941,19.7242,319.7,2.2,1.4,2021-06-26,1221,Aqua,MODIS,55,6.03,304.7,20.3,D,0
40.7599,19.6024,328.8,1,1,2021-06-29,0931,Terra,MODIS,76,6.03,310.6,14,D,0
40.9183,19.5943,323.4,1,1,2021-06-29,0931,Terra,MODIS,50,6.03,310.6,7.7,D,0
40.6785,20.1396,309.4,1,1,2021-06-29,2036,Terra,MODIS,62,6.03,292.6,8.7,N,0
40.6877,20.1399,301.7,1.1,1,2021-06-30,0051,Aqua,MODIS,5,6.03,290.6,4.7,N,0
40.6731,20.1311,302.4,1.1,1,2021-06-30,0051,Aqua,MODIS,40,6.03,291.9,4.4,N,0
42.0442,20.1412,313.8,2.4,1.5,2021-06-30,1013,Terra,MODIS,60,6.03,298.7,22.3,D,0
40.6801,20.1387,325.4,1.1,1.1,2021-06-30,1157,Aqua,MODIS,61,6.03,300.6,16.1,D,0
40.6615,20.1434,317.2,1.1,1.1,2021-06-30,1157,Aqua,MODIS,35,6.03,300.2,8.5,D,0
40.6695,20.1301,320.1,1.1,1.1,2021-06-30,1157,Aqua,MODIS,33,6.03,301.4,9.7,D,0
40.6787,20.127,331,1.1,1.1,2021-06-30,1157,Aqua,MODIS,81,6.03,301.3,23.1,D,0
40.6595,20.1377,344.5,1,1,2021-07-02,1144,Aqua,MODIS,91,6.03,297,45.4,D,0
40.6617,20.1325,300.8,1.9,1.3,2021-07-02,2107,Terra,MODIS,15,6.03,288,12.8,N,0
40.6565,20.1364,308.7,1.9,1.3,2021-07-02,2107,Terra,MODIS,75,6.03,288.2,26.4,N,0
40.9568,19.6665,336.6,1,1,2021-07-06,0937,Terra,MODIS,86,6.03,304.8,23.4,D,0
40.9586,19.6548,324.6,1,1,2021-07-06,0937,Terra,MODIS,57,6.03,306.4,6.8,D,0
40.3827,19.5533,361.8,2.8,1.6,2021-07-08,1108,Aqua,MODIS,100,6.03,308.9,349.2,D,0
41.8459,19.8958,323.2,2.5,1.5,2021-07-08,1108,Aqua,MODIS,74,6.03,308.6,36.2,D,0
40.3894,19.5181,327.1,2.8,1.6,2021-07-08,1108,Aqua,MODIS,58,6.03,307.8,51,D,0
40.397,19.5499,376.4,2.8,1.6,2021-07-08,1108,Aqua,MODIS,100,6.03,311.7,570.9,D,0
40.2778,19.5819,304.6,1.1,1.1,2021-07-08,2030,Terra,MODIS,61,6.03,292.5,6.2,N,0
40.2754,19.5676,308.8,1.1,1.1,2021-07-08,2030,Terra,MODIS,76,6.03,294,9.1,N,0
40.3115,19.7734,328.8,1,1,2021-07-09,1150,Aqua,MODIS,71,6.03,309.4,13.1,D,0
40.275,19.5773,338.3,1,1,2021-07-09,1150,Aqua,MODIS,84,6.03,310.1,27,D,0
40.7146,19.8363,320.5,1.1,1,2021-07-11,1138,Aqua,MODIS,60,6.03,303.9,7.4,D,0
40.6226,19.6599,320.6,1.1,1,2021-07-13,2048,Terra,MODIS,100,6.03,294.5,18.9,N,0
39.9795,20.128,303.6,1.1,1,2021-07-16,0051,Aqua,MODIS,56,6.03,291.2,6.9,N,0
40.6221,19.6063,313.2,4.2,1.9,2021-07-17,1240,Aqua,MODIS,57,6.03,294.6,40.2,D,0
40.6238,19.6024,312.7,4.2,1.9,2021-07-17,1240,Aqua,MODIS,55,6.03,294.6,37.3,D,0
