latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.5929,5.9566,309.4,1.2,1.1,2021-01-01,0119,Aqua,MODIS,77,6.03,271.3,20.1,N,2
31.6929,5.8098,321.1,1.2,1.1,2021-01-01,0119,Aqua,MODIS,100,6.03,272.5,33.3,N,2
31.6913,5.8227,303.8,1.2,1.1,2021-01-01,0119,Aqua,MODIS,57,6.03,271.3,15.2,N,2
28.7368,9.7881,310.7,1,1,2021-01-01,0119,Aqua,MODIS,81,6.03,276.8,16.1,N,2
31.6622,6.0632,307.3,1.2,1.1,2021-01-01,0119,Aqua,MODIS,71,6.03,274.3,17.3,N,2
28.7351,9.7986,303.2,1,1,2021-01-01,0119,Aqua,MODIS,54,6.03,276,10.9,N,2
31.5913,5.9692,302.2,1.2,1.1,2021-01-01,0119,Aqua,MODIS,48,6.03,270.4,14.3,N,2
35.7996,-0.2451,311.3,3.9,1.8,2021-01-01,1359,Aqua,MODIS,34,6.03,280.1,98.3,D,2
35.8061,-0.2536,310.2,3.9,1.8,2021-01-01,1359,Aqua,MODIS,0,6.03,282,92.3,D,2
27.9254,9.2544,303.7,1.1,1,2021-01-01,2143,Terra,MODIS,57,6.03,280.1,10.6,N,2
28.7347,9.7888,325,1.2,1.1,2021-01-01,2143,Terra,MODIS,100,6.03,281,33.8,N,2
31.685,5.8054,323.6,1,1,2021-01-01,2144,Terra,MODIS,100,6.03,276.2,27.1,N,2
31.7734,6.0347,305.8,1,1,2021-01-01,2144,Terra,MODIS,66,6.03,275.2,11.9,N,0
31.5867,5.9559,325.6,1,1,2021-01-01,2144,Terra,MODIS,100,6.03,274.9,29.2,N,2
31.6865,5.8158,308,1,1,2021-01-01,2144,Terra,MODIS,73,6.03,276.5,13.7,N,2
31.6669,6.0621,300.9,1,1,2021-01-01,2144,Terra,MODIS,36,6.03,278.6,8.9,N,2
32.5133,6.7072,307,1,1,2021-01-01,2144,Terra,MODIS,70,6.03,275,13.3,N,2
31.7079,5.962,320,1,1,2021-01-01,2144,Terra,MODIS,100,6.03,276.1,23.3,N,2
31.6654,6.0517,313.5,1,1,2021-01-01,2144,Terra,MODIS,87,6.03,278.4,17.1,N,2
