latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.2318,46.3066,304.2,2.2,1.5,2021-01-10,1036,Aqua,MODIS,52,6.03,291.7,19.9,D,0
39.1057,46.4628,303.8,1.5,1.2,2021-01-11,0941,Aqua,MODIS,48,6.03,285.6,14.2,D,0
40.6954,45.1972,304,2,1.4,2021-02-05,0935,Aqua,MODIS,35,6.03,281.7,24,D,0
40.6925,45.2054,302.1,2,1.4,2021-02-05,0935,Aqua,MODIS,31,6.03,280.5,19.4,D,0
40.8923,44.406,301.1,1.1,1,2021-02-06,1018,Aqua,MODIS,39,6.03,280.1,7.5,D,0
40.1598,43.9957,300.3,1,1,2021-02-08,1005,Aqua,MODIS,33,6.03,287.2,4.2,D,0
40.0699,44.1374,307.4,1.7,1.3,2021-02-11,1036,Aqua,MODIS,65,6.03,291.4,11,D,0
40.9912,44.7189,303.6,1.9,1.3,2021-02-11,1036,Aqua,MODIS,53,6.03,289.5,13.3,D,0
40.048,44.2823,301.6,1.7,1.3,2021-02-11,1036,Aqua,MODIS,48,6.03,290.2,6.6,D,0
40.068,44.1306,308.1,1.7,1.3,2021-02-11,1036,Aqua,MODIS,66,6.03,292.4,12.9,D,0
40.17,44.21,305.1,1,1,2021-02-12,0800,Terra,MODIS,60,6.03,287.8,6,D,2
39.1027,46.4538,304.2,1.5,1.2,2021-02-12,0941,Aqua,MODIS,48,6.03,292,11,D,0
39.221,46.5842,324,1.5,1.2,2021-02-12,0941,Aqua,MODIS,82,6.03,296.6,33.4,D,0
41.2414,44.8868,305,1.6,1.3,2021-02-12,0941,Aqua,MODIS,56,6.03,294.6,8.6,D,0
39.5626,46.2986,318,1.5,1.2,2021-02-12,0941,Aqua,MODIS,75,6.03,296.1,27.5,D,0
39.4722,46.4312,305.4,1.5,1.2,2021-02-13,1024,Aqua,MODIS,54,6.03,292,6.6,D,0
40.0174,44.4443,311.4,1,1,2021-02-15,1012,Aqua,MODIS,71,6.03,293,8.1,D,2
40.0263,44.4422,310,1,1,2021-02-15,1012,Aqua,MODIS,67,6.03,292.2,7,D,2
40.8944,45.1417,304.9,1,1,2021-02-15,1012,Aqua,MODIS,60,6.03,283.6,8.3,D,0
40.1631,43.79,301.9,1,1,2021-02-22,1018,Aqua,MODIS,50,6.03,287.6,4.3,D,0
40.0437,44.1555,301.3,1.6,1.3,2021-02-24,0824,Terra,MODIS,41,6.03,288.1,7.3,D,0
40.0945,44.2574,307,1,1,2021-02-24,1005,Aqua,MODIS,53,6.03,291.6,5.7,D,2
40.0474,44.4965,308.6,1,1,2021-02-24,1005,Aqua,MODIS,67,6.03,289.9,7.9,D,0
40.0572,44.0131,304,1.1,1.1,2021-02-26,0812,Terra,MODIS,58,6.03,290.7,4.5,D,0
40.0529,44.5678,319.7,1.2,1.1,2021-02-26,0812,Terra,MODIS,80,6.03,286,23.4,D,0
40.0982,44.1422,311.2,1.2,1.1,2021-02-26,0812,Terra,MODIS,71,6.03,288,11.9,D,0
40.0989,44.1382,311.1,1.3,1.1,2021-02-26,0953,Aqua,MODIS,70,6.03,290.8,11.4,D,0
40.0889,44.1414,307.8,1.3,1.1,2021-02-26,0953,Aqua,MODIS,33,6.03,291.2,8,D,0
40.2693,44.2774,310.6,1,1,2021-02-28,0800,Terra,MODIS,70,6.03,290.5,8.2,D,0
40.0782,44.5648,302.5,1,1,2021-02-28,0800,Terra,MODIS,52,6.03,288.2,3.7,D,2
39.8662,44.6479,303.6,1.5,1.2,2021-03-04,0735,Terra,MODIS,51,6.03,290.3,8.6,D,0
40.1462,43.9207,309.9,3.1,1.7,2021-03-04,1055,Aqua,MODIS,69,6.03,296.1,26.7,D,0
40.0774,43.9472,307.8,1.3,1.1,2021-03-05,0818,Terra,MODIS,66,6.03,293.8,7.7,D,0
40.0548,44.3202,314.2,1.1,1.1,2021-03-05,0959,Aqua,MODIS,67,6.03,295.8,10.9,D,0
39.8724,44.6035,313.3,1.1,1,2021-03-05,0959,Aqua,MODIS,74,6.03,296.1,9.8,D,0
39.8703,44.5909,307.1,1.1,1,2021-03-05,0959,Aqua,MODIS,59,6.03,295.3,4.8,D,0
39.8767,44.5971,309.7,1.1,1,2021-03-05,0959,Aqua,MODIS,69,6.03,296.4,6.7,D,0
40.0209,43.9467,310.7,1.2,1.1,2021-03-05,0959,Aqua,MODIS,63,6.03,297.5,6.1,D,0
40.0126,44.445,306.6,1.1,1.1,2021-03-05,0959,Aqua,MODIS,60,6.03,294.8,4.5,D,2
40.0492,44.4024,311.4,1.1,1.1,2021-03-05,0959,Aqua,MODIS,65,6.03,295.6,8.7,D,2
40.0471,44.3897,312.3,1.1,1.1,2021-03-05,0959,Aqua,MODIS,65,6.03,295.2,9.8,D,0
40.0527,44.3074,322.1,1.1,1.1,2021-03-05,0959,Aqua,MODIS,69,6.03,294.2,19.7,D,2
40.0737,43.8827,309.7,1.2,1.1,2021-03-05,0959,Aqua,MODIS,63,6.03,297.4,6,D,0
40.0357,44.1493,309.4,1.1,1.1,2021-03-05,0959,Aqua,MODIS,58,6.03,296.5,5.5,D,2
39.959,44.5269,311.7,1.1,1,2021-03-10,1018,Aqua,MODIS,68,6.03,295.2,6.2,D,2
40.0928,44.1318,309.9,1,1,2021-03-10,1018,Aqua,MODIS,62,6.03,296,3.8,D,0
40.0656,44.3954,320.5,1.2,1.1,2021-03-30,0812,Terra,MODIS,79,6.03,295.3,18.5,D,2
40.106,44.303,314.7,1.3,1.1,2021-03-30,0953,Aqua,MODIS,71,6.03,299,11.4,D,2
40.0194,44.3913,327.4,1.7,1.3,2021-03-31,1036,Aqua,MODIS,83,6.03,299.4,45.4,D,0
40.0211,44.4118,315.1,1.8,1.3,2021-03-31,1036,Aqua,MODIS,70,6.03,299.1,17.2,D,0
40.0969,44.1819,312.4,1,1,2021-04-01,0800,Terra,MODIS,61,6.03,298,5,D,0
40.1358,44.1676,326.7,1,1,2021-04-01,0800,Terra,MODIS,71,6.03,297,18.7,D,0
