latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.2763,14.3339,311.5,1.1,1.1,2021-02-01,0956,Terra,MODIS,62,6.03,277,18,D,2
48.275,14.3363,308.2,1.3,1.1,2021-02-01,1141,Aqua,MODIS,50,6.03,277.3,18.5,D,2
48.2713,14.3327,306.1,1.1,1,2021-02-04,1211,Aqua,MODIS,59,6.03,285.7,9.9,D,2
48.2737,14.3353,316.1,1.2,1.1,2021-02-08,2111,Terra,MODIS,93,6.03,273.9,26.1,N,2
48.2809,14.3316,309,1.1,1,2021-02-13,1020,Terra,MODIS,60,6.03,275.2,14.9,D,2
48.2757,14.3311,307.2,1,1,2021-02-13,1205,Aqua,MODIS,56,6.03,278.9,11.4,D,2
48.2675,14.3275,309.3,2.9,1.6,2021-02-14,1248,Aqua,MODIS,65,6.03,278.1,63.7,D,2
48.2666,14.323,307.7,2.9,1.6,2021-02-14,1248,Aqua,MODIS,62,6.03,278.1,58,D,2
48.2738,14.3428,301.6,1,1,2021-02-15,1008,Terra,MODIS,41,6.03,275.4,8.5,D,2
48.2707,14.332,307,1,1,2021-02-15,1153,Aqua,MODIS,61,6.03,279.9,12,D,2
48.2783,14.3349,308.2,1.4,1.2,2021-02-18,1223,Aqua,MODIS,63,6.03,279.2,17.4,D,2
48.2764,14.3421,303.3,1.1,1.1,2021-02-20,0102,Aqua,MODIS,55,6.03,271.4,13.1,N,2
48.272,14.3327,301.1,1.1,1,2021-02-20,1211,Aqua,MODIS,30,6.03,278.1,6.1,D,2
48.275,14.3253,317.2,1,1,2021-02-22,1159,Aqua,MODIS,73,6.03,288.2,15.7,D,2
48.277,14.3385,322.5,1,1,2021-02-22,1159,Aqua,MODIS,62,6.03,285.6,21,D,2
48.2663,14.3188,303.3,2.4,1.5,2021-02-23,1242,Aqua,MODIS,52,6.03,288.2,22.4,D,2
48.2725,14.3411,314.2,1,1,2021-02-24,1001,Terra,MODIS,65,6.03,288.5,14.4,D,2
48.2743,14.3273,303,1,1,2021-02-24,1001,Terra,MODIS,51,6.03,287.3,6.3,D,2
48.2757,14.3309,310.2,1.1,1.1,2021-02-24,1147,Aqua,MODIS,61,6.03,289.6,11.8,D,2
48.2773,14.3261,306.8,1.2,1.1,2021-02-24,2111,Terra,MODIS,69,6.03,278.7,15.6,N,2
48.2791,14.3422,304.8,1.2,1.1,2021-02-24,2111,Terra,MODIS,61,6.03,278.5,13.9,N,2
48.2811,14.3313,301.3,1,1,2021-02-25,0120,Aqua,MODIS,40,6.03,277.1,9.4,N,2
48.2725,14.3485,306.4,2,1.4,2021-02-25,1044,Terra,MODIS,0,6.03,287,22.6,D,2
48.2783,14.3229,302.7,2,1.4,2021-02-25,1044,Terra,MODIS,46,6.03,287.8,16.1,D,2
48.2805,14.3297,305.5,2,1.4,2021-02-25,1044,Terra,MODIS,47,6.03,287.7,20.2,D,2
48.2717,14.3165,305,1.7,1.3,2021-02-25,1230,Aqua,MODIS,60,6.03,292.8,11.6,D,2
48.2736,14.339,308.5,1.7,1.3,2021-02-25,1230,Aqua,MODIS,58,6.03,290.6,16.8,D,2
48.2722,14.3273,302.4,1.3,1.1,2021-02-26,0949,Terra,MODIS,47,6.03,288.3,7.9,D,2
48.2704,14.3447,306.9,1.3,1.1,2021-02-26,0949,Terra,MODIS,49,6.03,287.7,11.9,D,2
48.2823,14.3296,303.8,1.3,1.1,2021-02-26,0949,Terra,MODIS,31,6.03,286.5,8.5,D,2
