latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.4097,48.7151,319.7,1.8,1.3,2021-01-10,1822,Terra,MODIS,99,6.03,285.6,47.4,N,0
38.4135,48.7013,311.4,1.1,1.1,2021-01-10,2236,Aqua,MODIS,82,6.03,273.2,16.5,N,0
40.6785,48.4512,305.7,1.1,1.1,2021-01-11,0941,Aqua,MODIS,62,6.03,280.8,10.8,D,0
38.4119,48.6754,316.3,1,1,2021-01-15,0736,Terra,MODIS,61,6.03,291.1,13.8,D,0
38.4088,48.698,318.2,1,1,2021-01-15,0736,Terra,MODIS,63,6.03,293.4,15.1,D,0
38.4014,48.6844,334.7,1,1,2021-01-15,0736,Terra,MODIS,89,6.03,292.1,34.7,D,0
38.4103,48.6868,333.3,1,1,2021-01-15,0736,Terra,MODIS,88,6.03,293.4,33.5,D,0
38.4038,48.676,322.8,1.1,1,2021-01-15,1840,Terra,MODIS,100,6.03,284,25.5,N,0
38.4226,48.7333,301.8,1.1,1,2021-01-15,1840,Terra,MODIS,44,6.03,284.6,7.5,N,0
38.4019,48.6641,302.6,1.1,1,2021-01-15,1840,Terra,MODIS,25,6.03,282.4,8.2,N,0
38.4016,48.6818,301.3,1.1,1,2021-01-15,2255,Aqua,MODIS,39,6.03,278.9,8.9,N,0
38.4036,48.6693,300.7,1.1,1,2021-01-15,2255,Aqua,MODIS,33,6.03,278.7,8.6,N,0
38.4102,48.6585,304.4,1,1,2021-01-16,0959,Aqua,MODIS,43,6.03,278.3,7.7,D,0
40.7046,48.1205,305.9,1,1,2021-01-16,0959,Aqua,MODIS,62,6.03,283.9,9.4,D,0
39.9831,46.1138,309.6,2.8,1.6,2021-01-17,1042,Aqua,MODIS,69,6.03,281.4,51.4,D,0
39.981,46.1192,310.1,2.8,1.6,2021-01-17,1042,Aqua,MODIS,63,6.03,282,49.5,D,0
39.9847,46.1418,304.8,1.9,1.3,2021-01-17,1829,Terra,MODIS,62,6.03,269.7,30.8,N,0
39.9968,46.1403,321.5,1.9,1.3,2021-01-17,1829,Terra,MODIS,76,6.03,266.7,58.5,N,0
