latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.0998,-78.1528,316.1,1,1,2021-01-05,1828,Aqua,MODIS,65,6.03,297.7,10.7,D,0
26.0806,-77.2554,361.2,1,1,2021-01-31,1554,Terra,MODIS,87,6.03,297.4,84.1,D,0
26.0941,-77.244,305,2.4,1.5,2021-02-01,0251,Terra,MODIS,10,6.03,290,24.1,N,0
26.0939,-77.2115,318,2.4,1.5,2021-02-03,1624,Terra,MODIS,52,6.03,291.7,55.7,D,0
26.0788,-77.2301,325.3,1.2,1.1,2021-02-04,1840,Aqua,MODIS,66,6.03,294.2,25.5,D,0
26.0605,-77.2149,352.6,1.2,1.1,2021-02-04,1840,Aqua,MODIS,91,6.03,296.5,89,D,0
26.0591,-77.2271,319.9,1.2,1.1,2021-02-04,1840,Aqua,MODIS,72,6.03,294,19.7,D,0
26.0985,-77.2331,315.6,1.2,1.1,2021-02-04,1841,Aqua,MODIS,64,6.03,293.1,15.4,D,0
26.1,-77.2256,323.5,1.5,1.2,2021-02-05,1612,Terra,MODIS,76,6.03,293.9,29.9,D,0
26.0971,-77.2329,323.8,1.5,1.2,2021-02-05,1612,Terra,MODIS,77,6.03,295.3,30.4,D,0
26.0733,-77.223,322.3,1.5,1.2,2021-02-05,1612,Terra,MODIS,75,6.03,293.5,27.5,D,0
26.1027,-77.24,316.9,1.5,1.2,2021-02-05,1612,Terra,MODIS,25,6.03,294,17.2,D,0
26.1184,-77.233,312.7,1,1,2021-02-06,1828,Aqua,MODIS,28,6.03,293.2,5.2,D,0
26.1198,-77.2232,319.1,1,1,2021-02-06,1828,Aqua,MODIS,68,6.03,294.6,11.1,D,0
26.0642,-77.2278,317,1,1,2021-02-06,1828,Aqua,MODIS,67,6.03,292.1,10.5,D,0
26.0725,-77.235,313.5,1,1,2021-02-06,1828,Aqua,MODIS,53,6.03,293,7.3,D,0
26.317,-77.0674,312.1,1,1,2021-02-06,1828,Aqua,MODIS,40,6.03,296.5,5.5,D,0
26.0578,-77.2276,311.9,1.2,1.1,2021-02-08,1816,Aqua,MODIS,50,6.03,298,6.9,D,0
