latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.182,91.9406,312.4,1.1,1,2021-01-01,0720,Aqua,MODIS,68,6.03,300.4,7.5,D,0
23.1834,91.9509,312.3,1.1,1,2021-01-01,0720,Aqua,MODIS,68,6.03,300.2,7.4,D,0
22.4726,91.7322,313,1,1,2021-01-01,0720,Aqua,MODIS,64,6.03,301.4,8.1,D,0
23.0893,91.8797,308.5,1.1,1,2021-01-03,0708,Aqua,MODIS,61,6.03,298.1,5.1,D,0
23.1997,89.4387,308.6,1.4,1.2,2021-01-03,0708,Aqua,MODIS,55,6.03,297.8,7,D,0
23.7223,90.9144,311.7,1.7,1.3,2021-01-05,0656,Aqua,MODIS,65,6.03,299.6,12.1,D,0
22.5506,92.124,309.2,2,1.4,2021-01-06,0738,Aqua,MODIS,41,6.03,298.7,11.3,D,0
22.4694,91.736,311.1,1.9,1.3,2021-01-06,0738,Aqua,MODIS,44,6.03,300.2,13.1,D,0
22.563,92.1223,309.2,2,1.4,2021-01-06,0738,Aqua,MODIS,39,6.03,298.9,11.4,D,0
22.4697,91.7417,309.7,1.2,1.1,2021-01-08,0726,Aqua,MODIS,42,6.03,298.6,5.1,D,0
22.4682,91.7303,321.2,1.2,1.1,2021-01-08,0726,Aqua,MODIS,58,6.03,302.3,17.3,D,0
23.7922,89.6454,309.6,1.3,1.1,2021-01-09,0459,Terra,MODIS,0,6.03,297.4,10.1,D,0
24.3587,88.4588,308.5,1.1,1.1,2021-01-09,0459,Terra,MODIS,42,6.03,298,6.9,D,0
22.281,92.2709,309.7,1,1,2021-01-10,0714,Aqua,MODIS,62,6.03,293.4,5.5,D,0
22.9516,89.4848,307,1.1,1.1,2021-01-10,0714,Aqua,MODIS,38,6.03,294.2,4.4,D,0
22.4351,91.7943,314,1,1,2021-01-10,0714,Aqua,MODIS,70,6.03,293.1,8.6,D,0
22.2824,92.2805,306,1,1,2021-01-10,0714,Aqua,MODIS,49,6.03,293.3,3.1,D,0
22.2721,92.2724,307.5,1,1,2021-01-10,0714,Aqua,MODIS,45,6.03,293.7,3.8,D,0
24.9832,92.0426,305.1,1,1,2021-01-10,0714,Aqua,MODIS,53,6.03,293.9,3.7,D,0
25.1362,89.7247,305.8,1,1,2021-01-11,0447,Terra,MODIS,0,6.03,295.1,4.7,D,0
22.8933,92.0434,302,1.9,1.3,2021-01-14,0649,Aqua,MODIS,42,6.03,289.9,5.7,D,0
24.4866,88.1603,324,1.1,1,2021-01-17,0720,Aqua,MODIS,58,6.03,294.2,21.5,D,0
24.7707,92.1177,309.3,1.1,1.1,2021-01-17,0720,Aqua,MODIS,63,6.03,297.8,5.8,D,0
22.9475,91.9053,314.7,1.1,1,2021-01-19,0708,Aqua,MODIS,73,6.03,296,10.9,D,0
22.9459,91.8951,309.8,1.1,1,2021-01-19,0708,Aqua,MODIS,66,6.03,295.9,6.8,D,0
22.8897,91.59,308.5,1.1,1,2021-01-19,0708,Aqua,MODIS,63,6.03,295.3,6.8,D,0
25.1368,89.7253,303.9,1,1,2021-01-20,0441,Terra,MODIS,35,6.03,291.6,4.3,D,0
23.4163,92.2623,305.7,1.3,1.1,2021-01-24,0726,Aqua,MODIS,54,6.03,295.2,6.7,D,0
22.8198,91.8734,310.4,1.2,1.1,2021-01-24,0726,Aqua,MODIS,64,6.03,298.7,7.8,D,0
22.7833,92.0677,309.7,1.3,1.1,2021-01-24,0726,Aqua,MODIS,62,6.03,298.4,8.1,D,0
23.4149,92.2502,325.6,1.3,1.1,2021-01-24,0726,Aqua,MODIS,83,6.03,297.2,32.2,D,0
22.8213,91.8853,309,1.2,1.1,2021-01-24,0726,Aqua,MODIS,61,6.03,298,6.5,D,0
22.7818,92.0556,317.4,1.3,1.1,2021-01-24,0726,Aqua,MODIS,74,6.03,298,16.5,D,0
23.078,91.9004,319.9,1,1,2021-01-26,0714,Aqua,MODIS,77,6.03,299.5,13.6,D,0
