latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.8481,29.9983,308.2,1,1,2021-02-26,0023,Aqua,MODIS,74,6.03,273.9,13.8,N,2
52.4617,25.0332,304.9,2.1,1.4,2021-03-10,1012,Terra,MODIS,60,6.03,275.3,29.1,D,0
52.3731,25.173,301.3,2.1,1.4,2021-03-10,1012,Terra,MODIS,46,6.03,275.8,22.8,D,0
51.9051,26.0663,300.7,2.9,1.6,2021-03-10,1200,Aqua,MODIS,39,6.03,277.2,35,D,0
52.4435,25.0352,308.5,2.6,1.6,2021-03-10,1200,Aqua,MODIS,67,6.03,276,48.9,D,0
51.9058,26.0706,301.2,2.9,1.6,2021-03-10,1200,Aqua,MODIS,39,6.03,277,33.3,D,0
51.6835,30.3946,309.3,1,1,2021-03-11,0917,Terra,MODIS,68,6.03,274.8,13.5,D,0
51.6908,30.3507,318.8,1,1,2021-03-11,0917,Terra,MODIS,79,6.03,275,20.9,D,0
51.6859,30.38,312.7,1,1,2021-03-11,0917,Terra,MODIS,67,6.03,276.3,14.9,D,0
52.4091,25.2413,307.3,1,1,2021-03-18,0923,Terra,MODIS,57,6.03,278.7,11,D,0
52.8437,29.9914,303.2,1,1,2021-03-20,0910,Terra,MODIS,52,6.03,275.7,8.5,D,2
51.6897,30.3878,312.2,3.1,1.7,2021-03-21,0815,Terra,MODIS,53,6.03,272.5,81.5,D,0
51.6892,30.4037,322.1,2.3,1.5,2021-03-21,0953,Terra,MODIS,81,6.03,271.4,82.7,D,0
51.6812,30.4354,300,2.4,1.5,2021-03-21,0953,Terra,MODIS,21,6.03,272,25.4,D,0
52.8489,29.9906,315.2,1,1,2021-03-23,0017,Aqua,MODIS,91,6.03,267.8,19.9,N,2
51.6526,30.4352,316.3,2,1.4,2021-03-23,1129,Aqua,MODIS,77,6.03,274.7,45.1,D,0
51.6495,30.4431,319.4,2,1.4,2021-03-23,1129,Aqua,MODIS,79,6.03,275.4,55,D,0
52.4618,25.2978,303.3,1.9,1.3,2021-03-24,1034,Aqua,MODIS,46,6.03,283.4,17.4,D,0
53.5325,24.308,307.7,1.9,1.3,2021-03-24,1034,Aqua,MODIS,66,6.03,283.2,24.8,D,0
53.5388,24.335,301.9,1.9,1.3,2021-03-24,1034,Aqua,MODIS,50,6.03,284.9,15.8,D,0
52.873,30.0715,303.7,1.2,1.1,2021-03-25,0929,Terra,MODIS,57,6.03,280.6,10.2,D,0
51.8294,30.1387,322.7,1.2,1.1,2021-03-25,0929,Terra,MODIS,54,6.03,284.7,27.1,D,0
51.8203,30.1275,320,1.2,1.1,2021-03-25,0929,Terra,MODIS,49,6.03,283.3,23.1,D,0
52.8481,29.9856,300.4,1.2,1.1,2021-03-25,0929,Terra,MODIS,36,6.03,287,6.8,D,2
51.8377,30.3137,316.7,1.3,1.1,2021-03-25,0929,Terra,MODIS,77,6.03,282.4,22.2,D,0
51.8344,30.3312,309.8,1.3,1.1,2021-03-25,0929,Terra,MODIS,69,6.03,282.8,14.6,D,0
52.4744,27.7047,313,1,1,2021-03-25,0929,Terra,MODIS,73,6.03,285.5,14.3,D,0
52.4769,27.6898,315.4,1,1,2021-03-25,0929,Terra,MODIS,76,6.03,282.7,16.7,D,0
51.7911,30.2266,316.3,1.2,1.1,2021-03-25,0929,Terra,MODIS,77,6.03,283.7,22.1,D,0
51.7878,30.244,317.4,1.2,1.1,2021-03-25,0929,Terra,MODIS,78,6.03,281.6,23.3,D,0
52.8747,30.0781,300.4,1.2,1.1,2021-03-25,0929,Terra,MODIS,22,6.03,280.6,6.5,D,0
52.8779,30.0613,301,1.2,1.1,2021-03-25,0929,Terra,MODIS,31,6.03,282.1,6.4,D,2
51.3363,30.4263,300,1.4,1.2,2021-03-25,1116,Aqua,MODIS,16,6.03,285.9,6.5,D,0
51.3432,30.4382,302.9,1.4,1.2,2021-03-25,1116,Aqua,MODIS,54,6.03,286.2,9.5,D,0
51.829,30.3141,301.3,1.4,1.2,2021-03-25,1116,Aqua,MODIS,46,6.03,284.7,7.8,D,0
53.0519,30.6458,300.1,1.5,1.2,2021-03-25,1117,Aqua,MODIS,28,6.03,284.4,8.7,D,0
52.8074,30.556,300.8,1.5,1.2,2021-03-25,1117,Aqua,MODIS,42,6.03,285.9,8.4,D,0
52.8046,30.5639,308.7,1.5,1.2,2021-03-25,1117,Aqua,MODIS,65,6.03,285.5,15.9,D,0
52.1991,27.0436,314,1.1,1,2021-03-25,1117,Aqua,MODIS,74,6.03,287.6,14.6,D,0
52.4764,27.6913,307.6,1.2,1.1,2021-03-25,1117,Aqua,MODIS,66,6.03,286,11.3,D,0
52.4953,26.9639,312.4,1.1,1,2021-03-25,1117,Aqua,MODIS,67,6.03,287.4,13.5,D,0
52.8468,30.5018,304.4,1.5,1.2,2021-03-25,1117,Aqua,MODIS,59,6.03,285.3,12.3,D,0
53.0944,29.1222,304.6,1.3,1.1,2021-03-25,1117,Aqua,MODIS,59,6.03,286.9,10.2,D,0
52.8092,30.5781,307,1.5,1.2,2021-03-25,1117,Aqua,MODIS,64,6.03,284.5,15.8,D,0
52.8065,30.586,303.7,1.5,1.2,2021-03-25,1117,Aqua,MODIS,30,6.03,284.6,11.3,D,0
53.062,29.1109,301.2,1.3,1.1,2021-03-25,1117,Aqua,MODIS,45,6.03,286.1,7.9,D,0
53.0639,29.1305,303.1,1.3,1.1,2021-03-25,1117,Aqua,MODIS,55,6.03,286.5,9.9,D,0
52.201,27.0595,301.5,1.1,1,2021-03-25,1117,Aqua,MODIS,43,6.03,286.5,5,D,0
52.8416,29.991,304.7,1,1,2021-03-27,0916,Terra,MODIS,60,6.03,288.9,6,D,2
52.801,29.9524,300.8,1,1,2021-03-27,0916,Terra,MODIS,42,6.03,287.5,3.8,D,0
53.2867,31.4655,301.9,1.1,1,2021-03-27,0916,Terra,MODIS,49,6.03,284.6,6.4,D,0
52.8504,29.9947,307.7,1,1,2021-03-27,0916,Terra,MODIS,66,6.03,291.6,8.1,D,2
52.4267,30.9309,304.8,1,1,2021-03-27,0916,Terra,MODIS,60,6.03,289.2,5.4,D,2
54.6438,28.9173,311.8,1,1,2021-03-27,0916,Terra,MODIS,72,6.03,287.1,12.9,D,0
52.8327,30.2848,305.4,1,1,2021-03-27,0916,Terra,MODIS,61,6.03,288,7,D,0
52.5764,30.9295,300.3,1,1,2021-03-27,0916,Terra,MODIS,35,6.03,287.7,3.9,D,0
52.5739,30.9444,309.3,1,1,2021-03-27,0916,Terra,MODIS,68,6.03,287.6,9.9,D,0
51.6853,30.4252,308.4,1,1,2021-03-27,0917,Terra,MODIS,54,6.03,288.8,7.7,D,0
51.8476,30.0636,304,1,1,2021-03-27,0917,Terra,MODIS,58,6.03,288.6,6.2,D,0
51.6918,30.4437,314.1,1,1,2021-03-27,0917,Terra,MODIS,74,6.03,289.1,12.8,D,0
52.3187,27.1312,301,1,1,2021-03-27,0917,Terra,MODIS,27,6.03,288.3,4.1,D,0
52.3167,27.1459,303.1,1,1,2021-03-27,0917,Terra,MODIS,43,6.03,288.8,4.9,D,0
51.7435,30.4095,302.7,1,1,2021-03-27,0917,Terra,MODIS,51,6.03,289.3,4.6,D,0
51.6829,30.4399,342.1,1,1,2021-03-27,0917,Terra,MODIS,93,6.03,290.1,49.4,D,0
52.572,27.7867,303,1,1,2021-03-27,0917,Terra,MODIS,54,6.03,288.1,5,D,0
52.5186,31.1706,305.1,1.2,1.1,2021-03-27,1104,Aqua,MODIS,61,6.03,288.8,7.5,D,0
51.8449,30.0855,324.1,1.1,1,2021-03-27,1104,Aqua,MODIS,83,6.03,290.5,23.6,D,0
51.843,30.0699,309.8,1.1,1,2021-03-27,1104,Aqua,MODIS,69,6.03,290.1,9.3,D,0
51.9128,26.6029,302.7,1,1,2021-03-27,1104,Aqua,MODIS,53,6.03,288.4,5,D,0
52.8467,30.3789,305.8,1.1,1.1,2021-03-27,1104,Aqua,MODIS,62,6.03,288.6,7.7,D,0
