latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.1685,3.8158,312,1.2,1.1,2021-01-01,1038,Terra,MODIS,63,6.03,271.7,20.1,D,2
51.163,3.8154,303.8,1,1,2021-01-08,1231,Aqua,MODIS,54,6.03,275.6,10,D,2
51.1724,3.8164,302.3,1.1,1,2021-02-11,2143,Terra,MODIS,48,6.03,266.6,11.9,N,2
51.1078,3.4366,304.4,1.3,1.1,2021-02-12,1301,Aqua,MODIS,59,6.03,272.3,16.4,D,2
51.1723,3.8149,311,1.2,1.1,2021-02-18,2149,Terra,MODIS,82,6.03,276.8,18.5,N,2
51.171,3.8139,306.5,1.1,1.1,2021-02-21,1108,Terra,MODIS,55,6.03,283.8,9.6,D,2
51.1678,3.8057,304.4,1.1,1.1,2021-02-21,1108,Terra,MODIS,51,6.03,282.7,9.2,D,2
51.1678,3.8156,304.5,1,1,2021-02-23,1056,Terra,MODIS,51,6.03,287.6,6.7,D,2
51.1698,3.8084,308.1,1.1,1,2021-02-25,1044,Terra,MODIS,0,6.03,282.1,10.5,D,2
51.166,3.8172,300.3,1,1,2021-03-02,1102,Terra,MODIS,29,6.03,286.9,5,D,2
50.4746,6.2268,305,1.3,1.1,2021-03-02,1249,Aqua,MODIS,60,6.03,289.7,9.3,D,0
51.17,3.8083,307.8,1.1,1,2021-03-02,1249,Aqua,MODIS,50,6.03,290.8,8.8,D,2
51.1675,3.81,309.4,1.1,1.1,2021-03-06,1225,Aqua,MODIS,52,6.03,285,13.4,D,2
51.1682,3.8268,301.1,1.2,1.1,2021-03-06,2149,Terra,MODIS,37,6.03,271.1,12.3,N,2
51.1663,3.8101,316.5,1.2,1.1,2021-03-06,2149,Terra,MODIS,93,6.03,273.5,25.6,N,2
51.1703,3.8199,314.8,1,1,2021-03-07,0157,Aqua,MODIS,90,6.03,272.9,19,N,2
51.1692,3.8164,307.8,1.5,1.2,2021-03-07,1120,Terra,MODIS,53,6.03,282.8,16.9,D,2
51.166,3.8132,305.8,1,1,2021-03-11,1243,Aqua,MODIS,0,6.03,277,10,D,2
