latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.7437,-88.3525,312.3,1,1,2021-01-09,1634,Terra,MODIS,55,6.03,294.9,8.2,D,0
16.7385,-88.3535,316.5,1.8,1.3,2021-01-09,1940,Aqua,MODIS,72,6.03,295.1,22.3,D,0
16.7502,-88.355,317.7,1.8,1.3,2021-01-09,1940,Aqua,MODIS,76,6.03,295.4,24.2,D,0
17.9536,-88.5626,314.9,1.1,1.1,2021-01-27,1928,Aqua,MODIS,66,6.03,299.9,9.4,D,0
16.5551,-88.5071,309.9,1,1,2021-02-03,1627,Terra,MODIS,65,6.03,298.7,5.5,D,0
16.6488,-88.4421,312.5,1.4,1.2,2021-02-03,1933,Aqua,MODIS,66,6.03,299.4,10.5,D,0
16.5286,-88.5091,314.6,1.3,1.1,2021-02-03,1933,Aqua,MODIS,69,6.03,300.2,11,D,0
16.9725,-88.7791,312.1,1.3,1.1,2021-02-03,1934,Aqua,MODIS,64,6.03,294.1,12.1,D,0
16.4271,-88.6434,313.9,1.6,1.2,2021-02-05,1615,Terra,MODIS,67,6.03,297.9,14.9,D,0
18.4737,-88.3673,312.3,1.6,1.2,2021-02-05,1615,Terra,MODIS,61,6.03,297.3,12.8,D,0
17.2544,-88.6321,312.4,1,1,2021-02-05,1921,Aqua,MODIS,55,6.03,302.2,4.7,D,0
16.5105,-88.5472,314.3,1,1,2021-02-05,1921,Aqua,MODIS,47,6.03,303.1,5.1,D,0
17.3312,-88.7769,314.7,1.9,1.4,2021-02-06,1658,Terra,MODIS,69,6.03,300,22,D,0
17.3856,-88.7751,314.5,1.2,1.1,2021-02-07,1909,Aqua,MODIS,66,6.03,301,9.1,D,0
17.383,-88.768,317,1.2,1.1,2021-02-07,1909,Aqua,MODIS,43,6.03,301.4,10,D,0
18.0693,-88.5384,312.4,1.1,1.1,2021-02-07,1909,Aqua,MODIS,38,6.03,298,5.4,D,0
18.2655,-88.4662,333,1.1,1.1,2021-02-07,1909,Aqua,MODIS,86,6.03,300.3,30.5,D,0
18.2597,-88.4704,311.8,1.1,1.1,2021-02-07,1909,Aqua,MODIS,41,6.03,297.9,5.1,D,0
18.4085,-88.391,315.4,1.1,1,2021-02-07,1909,Aqua,MODIS,64,6.03,302.3,7.4,D,0
15.9562,-89.1243,309.8,2.6,1.5,2021-02-08,1952,Aqua,MODIS,43,6.03,296.8,16.8,D,0
17.9823,-88.2261,313.2,1.2,1.1,2021-02-10,0421,Terra,MODIS,87,6.03,294.8,12.4,N,0
17.254,-88.5878,353.3,1,1,2021-02-10,1633,Terra,MODIS,97,6.03,302,64,D,0
17.2553,-88.5971,311.2,1,1,2021-02-10,1633,Terra,MODIS,45,6.03,299.1,4.5,D,0
17.2526,-88.5786,312.3,1,1,2021-02-10,1633,Terra,MODIS,56,6.03,297.7,5.5,D,0
17.277,-89.1133,315.2,1.6,1.2,2021-02-10,1940,Aqua,MODIS,63,6.03,301,13,D,0
17.2752,-89.128,319.1,1.6,1.2,2021-02-10,1940,Aqua,MODIS,70,6.03,301.5,20.6,D,0
16.6013,-88.515,321.4,1.1,1.1,2021-02-12,1927,Aqua,MODIS,73,6.03,299.2,11.8,D,0
17.2531,-88.4401,318.1,1.1,1.1,2021-02-12,1928,Aqua,MODIS,59,6.03,301,10.6,D,0
17.2544,-88.4296,314.9,1.1,1.1,2021-02-12,1928,Aqua,MODIS,33,6.03,301.6,7.3,D,0
17.3127,-88.834,316.8,1.5,1.2,2021-02-15,1652,Terra,MODIS,70,6.03,300.3,15.5,D,0
16.5496,-88.5192,332.8,2.4,1.5,2021-02-18,1851,Aqua,MODIS,85,6.03,296.3,94.3,D,0
16.5537,-88.4968,314.7,2.4,1.5,2021-02-18,1851,Aqua,MODIS,50,6.03,298.1,20.6,D,0
17.9815,-88.2804,309,1,1,2021-02-19,0415,Terra,MODIS,76,6.03,295.6,7.3,N,0
16.6014,-88.4787,313.6,1.1,1.1,2021-02-28,1927,Aqua,MODIS,31,6.03,296.7,7.5,D,0
16.6002,-89.1689,327.7,1,1,2021-02-28,1927,Aqua,MODIS,80,6.03,298.8,21.6,D,0
16.6076,-88.4233,315.5,2.8,1.6,2021-03-01,1704,Terra,MODIS,33,6.03,299.9,26.9,D,0
16.6047,-88.4306,323.5,2.8,1.6,2021-03-01,1704,Terra,MODIS,77,6.03,300.1,60.1,D,0
