latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.6451,90.2866,311,1,1,2021-01-01,0721,Aqua,MODIS,61,6.03,286.6,11.7,D,0
27.6633,90.3497,330.2,1,1,2021-01-01,0721,Aqua,MODIS,87,6.03,287.3,30.7,D,0
27.6619,90.3391,355.8,1,1,2021-01-01,0721,Aqua,MODIS,98,6.03,291.5,79.4,D,0
27.6606,90.329,335,1,1,2021-01-01,0721,Aqua,MODIS,89,6.03,290.3,37.5,D,0
27.6592,90.3189,325.5,1,1,2021-01-01,0721,Aqua,MODIS,84,6.03,288.5,24.8,D,0
27.6648,90.321,308.9,1.1,1,2021-01-02,0452,Terra,MODIS,35,6.03,288.6,10.7,D,0
27.2907,92.0139,305.2,3.8,1.8,2021-01-03,0357,Terra,MODIS,53,6.03,288.4,56.1,D,0
27.6329,90.3938,304.4,1.1,1,2021-01-03,0709,Aqua,MODIS,59,6.03,283,8.9,D,0
27.2979,91.9997,315.7,1,1,2021-01-04,0440,Terra,MODIS,76,6.03,286.9,13.6,D,0
27.286,92.0182,305,1,1,2021-01-04,0440,Terra,MODIS,39,6.03,288.1,6.3,D,0
27.2875,92.0082,310.6,1,1,2021-01-04,0440,Terra,MODIS,65,6.03,287.1,9.9,D,0
27.2494,89.722,309.4,1.7,1.3,2021-01-05,0657,Aqua,MODIS,0,6.03,279.6,23.6,D,0
27.2468,89.7265,317.9,1.6,1.2,2021-01-06,0428,Terra,MODIS,78,6.03,286,30.5,D,0
27.167,90.9166,303.6,1.3,1.1,2021-01-06,0428,Terra,MODIS,54,6.03,286.1,9.6,D,0
27.2592,89.7361,308.3,1.6,1.2,2021-01-06,0428,Terra,MODIS,43,6.03,286.4,15.1,D,0
27.2575,89.7297,342.1,1.6,1.2,2021-01-06,0428,Terra,MODIS,93,6.03,288.6,89.6,D,0
27.4643,91.9784,312.5,1.2,1.1,2021-01-06,0428,Terra,MODIS,70,6.03,283.6,16.2,D,0
27.248,89.7169,383.4,1.6,1.2,2021-01-06,0739,Aqua,MODIS,87,6.03,294,332,D,0
27.2501,89.7364,429,1.6,1.3,2021-01-06,0739,Aqua,MODIS,100,6.03,307.9,960,D,0
27.3387,90.8265,308.3,1.9,1.4,2021-01-06,0739,Aqua,MODIS,51,6.03,286.8,23.7,D,0
27.2081,89.4516,320.5,1.5,1.2,2021-01-06,0739,Aqua,MODIS,80,6.03,294.5,34.4,D,0
27.2452,89.7132,325.8,4.8,2,2021-01-06,1526,Terra,MODIS,100,6.03,270.9,281.3,N,0
27.2453,89.7169,328.1,4.8,2,2021-01-06,1526,Terra,MODIS,100,6.03,271.8,307.5,N,0
27.2537,89.7488,307,4.7,2,2021-01-06,1526,Terra,MODIS,70,6.03,273.9,123.7,N,0
27.2535,89.7517,300.2,4.7,2,2021-01-06,1526,Terra,MODIS,22,6.03,274,84.2,N,0
27.2406,89.7567,321.9,1.1,1,2021-01-06,1946,Aqua,MODIS,100,6.03,276.3,26.9,N,0
27.2447,89.7265,304.9,1.1,1,2021-01-06,1946,Aqua,MODIS,35,6.03,269.1,11.9,N,0
27.2313,89.7552,312.5,1.8,1.3,2021-01-07,0511,Terra,MODIS,73,6.03,284,31.5,D,0
27.4226,91.9942,302.6,2.6,1.5,2021-01-07,0511,Terra,MODIS,53,6.03,278.7,32.4,D,0
27.4293,92.0004,313.2,2.6,1.5,2021-01-07,0511,Terra,MODIS,73,6.03,278.3,56.7,D,0
27.2367,89.7476,315.3,1.8,1.3,2021-01-07,0511,Terra,MODIS,76,6.03,284.8,35.5,D,0
27.4164,91.9854,303.9,2,1.4,2021-01-07,0644,Aqua,MODIS,57,6.03,283.5,22.2,D,0
27.4208,92.0083,309.9,2,1.4,2021-01-07,0644,Aqua,MODIS,69,6.03,283.2,33.2,D,0
27.6344,90.1354,303,1.1,1.1,2021-01-08,0727,Aqua,MODIS,53,6.03,282.3,8.4,D,0
27.1503,91.2447,307.5,1.3,1.1,2021-01-08,0727,Aqua,MODIS,61,6.03,295.7,9.5,D,0
27.3467,89.0556,311.1,1.1,1,2021-01-25,0458,Terra,MODIS,71,6.03,281.7,15,D,0
27.3449,89.0673,303.5,1.1,1,2021-01-25,0458,Terra,MODIS,55,6.03,281.7,9.4,D,0
27.8296,90.0347,302.4,1,1,2021-01-26,0715,Aqua,MODIS,52,6.03,283.4,8.1,D,0
