latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.6684,114.4616,307.8,1.3,1.1,2021-01-04,0307,Terra,MODIS,44,6.03,282.9,5.3,D,0
4.5435,114.5979,315.3,1,1,2021-02-23,0255,Terra,MODIS,72,6.03,293.7,9.2,D,0
4.5423,114.5995,305.7,1.3,1.1,2021-03-06,1500,Terra,MODIS,65,6.03,293.8,7.3,N,0
4.5479,114.6013,304.3,1,1,2021-03-06,1755,Aqua,MODIS,60,6.03,294.1,4.8,N,0
4.5808,114.2222,311.6,2.8,1.6,2021-03-30,0325,Terra,MODIS,14,6.03,292.5,29,D,2
4.6108,114.3349,313.2,2.9,1.6,2021-04-09,0524,Aqua,MODIS,54,6.03,296.7,31,D,2
4.5794,114.2188,312.5,2.2,1.4,2021-04-16,0530,Aqua,MODIS,36,6.03,294.5,18.3,D,2
4.5823,114.0486,324.9,1.7,1.3,2021-04-23,0536,Aqua,MODIS,0,6.03,297.2,32.5,D,0
4.3477,114.3125,311,2.2,1.4,2021-05-26,0318,Terra,MODIS,53,6.03,291.4,18.2,D,0
4.5797,114.2126,311.5,3,1.6,2021-05-27,0524,Aqua,MODIS,41,6.03,292.5,23.8,D,2
4.3431,114.3183,315.9,1.1,1,2021-06-24,0548,Aqua,MODIS,30,6.03,296.8,8.6,D,0
4.5774,114.2062,311.2,2.2,1.4,2021-07-21,0530,Aqua,MODIS,26,6.03,291.9,15,D,2
4.345,114.3165,311.1,1.7,1.3,2021-07-28,0536,Aqua,MODIS,38,6.03,294.4,11.7,D,0
4.7083,115.0818,310.1,4.4,1.9,2021-08-01,0512,Aqua,MODIS,59,6.03,289.8,43.8,D,2
4.7061,115.0895,310.1,4.4,1.9,2021-08-01,0512,Aqua,MODIS,61,6.03,289.8,43.4,D,2
4.6706,114.4663,306.7,1.1,1,2021-08-06,1452,Terra,MODIS,69,6.03,294,5.6,N,0
4.6697,114.4682,316.5,1.7,1.3,2021-08-07,0311,Terra,MODIS,55,6.03,295.5,11.8,D,2
4.3481,114.319,316.8,1.7,1.3,2021-08-07,0311,Terra,MODIS,44,6.03,295.7,18.2,D,0
4.667,114.4596,319.6,1.6,1.3,2021-08-07,0613,Aqua,MODIS,39,6.03,296.4,13.8,D,0
4.663,114.458,307.2,1.1,1,2021-08-09,0601,Aqua,MODIS,37,6.03,275.1,5.5,D,0
4.5834,114.2039,305.7,2.1,1.4,2021-08-30,0316,Terra,MODIS,46,6.03,285.9,11.3,D,2
4.6685,114.466,315.3,1,1,2021-11-22,0555,Aqua,MODIS,28,6.03,299.2,6.9,D,0
4.5793,114.2001,311,2.2,1.4,2021-12-28,0531,Aqua,MODIS,14,6.03,292.9,18.3,D,2
