latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.7158,24.17,303.3,1,1,2021-01-02,1126,Aqua,MODIS,56,6.03,283.7,7.6,D,2
42.7176,24.1712,303.9,1.2,1.1,2021-01-24,0908,Terra,MODIS,57,6.03,282.1,10,D,2
42.7121,24.171,301.6,1.1,1.1,2021-02-01,1139,Aqua,MODIS,39,6.03,285.4,8.1,D,2
42.7129,24.1698,307.9,1,1,2021-02-03,1126,Aqua,MODIS,66,6.03,288.7,8.6,D,2
42.713,24.1738,304.2,1.1,1,2021-02-05,0932,Terra,MODIS,58,6.03,286.9,7.4,D,2
42.4665,25.9956,305.6,1,1,2021-02-05,1114,Aqua,MODIS,62,6.03,289,7.3,D,0
41.8846,25.7851,302.9,1.1,1,2021-02-05,1114,Aqua,MODIS,54,6.03,290.7,4.8,D,0
42.2602,26.397,303.5,1,1,2021-02-05,1114,Aqua,MODIS,56,6.03,290.1,5.5,D,0
42.5376,26.208,306.5,1,1,2021-02-05,1114,Aqua,MODIS,64,6.03,289,7.7,D,0
42.4684,26.0081,314.9,1,1,2021-02-05,1114,Aqua,MODIS,75,6.03,288.9,14.3,D,0
42.71,24.175,304.6,1.2,1.1,2021-02-05,1114,Aqua,MODIS,59,6.03,290.6,7.3,D,2
42.3172,25.5835,301.9,1.5,1.2,2021-02-08,1145,Aqua,MODIS,46,6.03,288.9,6.9,D,0
42.3138,25.5911,306.7,1.5,1.2,2021-02-08,1145,Aqua,MODIS,64,6.03,288.6,12.5,D,0
41.7102,23.1583,304.9,1.2,1.1,2021-02-12,1120,Aqua,MODIS,57,6.03,278,11.7,D,2
41.7032,23.1747,304,1.2,1.1,2021-02-12,1120,Aqua,MODIS,54,6.03,278.7,11,D,0
43.7051,25.2251,301.6,1.8,1.3,2021-02-15,1151,Aqua,MODIS,0,6.03,281.9,15.5,D,0
43.728,23.5485,305.9,2,1.4,2021-02-16,1056,Aqua,MODIS,60,6.03,282.1,22.4,D,0
43.7299,23.5406,305.3,2,1.4,2021-02-16,1056,Aqua,MODIS,61,6.03,282,22.7,D,0
43.7303,24.488,321.6,1.2,1.1,2021-02-17,1139,Aqua,MODIS,81,6.03,274,26.7,D,0
43.7319,24.5024,315.6,1.2,1.1,2021-02-17,1139,Aqua,MODIS,76,6.03,275.8,19.8,D,0
43.8683,23.4222,304.4,1.6,1.3,2021-02-18,0901,Terra,MODIS,31,6.03,282.9,14.4,D,0
43.8687,23.4074,301.2,1.6,1.3,2021-02-18,0901,Terra,MODIS,34,6.03,283,11.3,D,0
43.8714,23.3426,342.2,3,1.7,2021-02-18,1044,Aqua,MODIS,70,6.03,286.2,238.6,D,0
43.8799,23.3745,321,3,1.7,2021-02-18,1044,Aqua,MODIS,70,6.03,284.1,94.8,D,0
43.8805,23.3782,314.7,3,1.7,2021-02-18,1044,Aqua,MODIS,71,6.03,284.1,66.8,D,0
43.8847,23.332,314.5,3,1.7,2021-02-18,1044,Aqua,MODIS,68,6.03,284.7,65,D,0
43.8855,23.3355,316.8,3,1.7,2021-02-18,1044,Aqua,MODIS,73,6.03,284.5,76.8,D,0
43.8707,23.339,338.3,3,1.7,2021-02-18,1044,Aqua,MODIS,0,6.03,285.9,204.9,D,0
41.8879,23.4888,300.4,1.1,1,2021-02-21,0932,Terra,MODIS,36,6.03,281.7,6.3,D,2
43.0542,27.7938,304.4,1.1,1.1,2021-02-23,0919,Terra,MODIS,59,6.03,288.8,6.6,D,0
43.5738,27.7998,306.2,1.1,1,2021-02-23,0919,Terra,MODIS,38,6.03,287.2,7.2,D,0
43.574,27.9123,304.6,1.1,1,2021-02-23,0919,Terra,MODIS,59,6.03,286.8,7.7,D,0
42.7181,24.1801,301,1,1,2021-02-23,0920,Terra,MODIS,36,6.03,287,4.8,D,2
42.5395,27.3055,302.5,1.1,1,2021-02-23,0920,Terra,MODIS,53,6.03,290.9,4.4,D,0
42.5749,27.1528,302.6,1.1,1,2021-02-23,0920,Terra,MODIS,53,6.03,289.8,5,D,0
42.71,24.1719,305.4,1,1,2021-02-23,0920,Terra,MODIS,59,6.03,287,8.3,D,2
42.0919,25.241,303.4,1.5,1.2,2021-02-23,1102,Aqua,MODIS,56,6.03,290.5,8.6,D,2
