latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.9036,29.8363,310.7,1.8,1.3,2021-03-10,0849,Terra,MODIS,44,6.03,294.9,10,D,0
-3.7718,30.3389,321.8,1.2,1.1,2021-05-24,1126,Aqua,MODIS,78,6.03,299.7,17.3,D,0
-3.2069,29.216,313.2,1.3,1.1,2021-05-26,0817,Terra,MODIS,23,6.03,294.3,7.8,D,0
-3.1699,30.358,316.1,2.5,1.5,2021-06-03,1203,Aqua,MODIS,34,6.03,294.9,30,D,0
-3.182,30.3449,314.4,2.4,1.5,2021-06-03,1203,Aqua,MODIS,28,6.03,294.3,25.5,D,0
-3.2099,30.3318,310.6,1.5,1.2,2021-06-07,0841,Terra,MODIS,46,6.03,284,15,D,0
-3.1467,30.5241,318.1,1.1,1,2021-06-09,0829,Terra,MODIS,69,6.03,298.9,11.1,D,0
-3.1559,30.5229,312.8,1.1,1,2021-06-09,0829,Terra,MODIS,40,6.03,296.6,5.9,D,0
-2.9538,29.1397,321.1,1,1,2021-06-09,0829,Terra,MODIS,73,6.03,303.6,8.9,D,0
-3.2765,29.2635,322.6,1.3,1.1,2021-06-09,1126,Aqua,MODIS,77,6.03,304,17.4,D,0
-3.2663,29.2621,328.7,1.3,1.1,2021-06-09,1126,Aqua,MODIS,83,6.03,301.4,27.8,D,0
-3.2581,29.2646,324.6,2.7,1.6,2021-06-10,1209,Aqua,MODIS,79,6.03,297.7,61.9,D,0
-3.2655,29.2467,322.4,2.6,1.6,2021-06-10,1209,Aqua,MODIS,77,6.03,298.9,55.7,D,0
-3.2615,29.2413,339.5,2.6,1.6,2021-06-10,1209,Aqua,MODIS,90,6.03,298.6,147.1,D,0
-3.2516,29.2446,343.2,2.6,1.6,2021-06-10,1209,Aqua,MODIS,92,6.03,297.3,173,D,0
-3.0941,30.4186,315.2,1.8,1.3,2021-06-11,1114,Aqua,MODIS,59,6.03,298,18,D,0
-3.0734,30.4258,327.1,1.8,1.3,2021-06-11,1114,Aqua,MODIS,80,6.03,300.5,46.3,D,0
-3.0971,30.4291,324.6,1.8,1.3,2021-06-11,1114,Aqua,MODIS,76,6.03,299.4,37.8,D,0
