latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.8037,-70.9525,306.2,1.3,1.1,2021-01-01,0318,Terra,MODIS,67,6.03,290.3,12.6,N,2
-32.8211,-70.9201,321.2,1.3,1.1,2021-01-01,0318,Terra,MODIS,100,6.03,290.5,29,N,0
-32.8313,-70.9178,311.2,1.3,1.1,2021-01-01,0318,Terra,MODIS,82,6.03,291.4,16.8,N,0
-26.4334,-69.48,307.1,1,1,2021-01-01,0320,Terra,MODIS,70,6.03,284.7,11.1,N,2
-23.8228,-70.3197,303.2,1,1,2021-01-01,0321,Terra,MODIS,54,6.03,288.8,7.4,N,2
-41.8808,-73.8143,304.9,1.6,1.3,2021-01-01,1834,Aqua,MODIS,16,6.03,294.6,8,D,2
-37.7205,-72.2459,321.6,1.2,1.1,2021-01-01,1835,Aqua,MODIS,32,6.03,308.1,9.4,D,2
-39.2972,-72.228,316.6,1.3,1.1,2021-01-01,1835,Aqua,MODIS,25,6.03,302.8,11.1,D,0
-39.3719,-72.6313,314.8,1.3,1.1,2021-01-01,1835,Aqua,MODIS,56,6.03,304.4,11.1,D,2
-39.4557,-72.7707,314.7,1.3,1.1,2021-01-01,1835,Aqua,MODIS,39,6.03,303.9,9.7,D,0
-38.9885,-72.645,318.2,1.3,1.1,2021-01-01,1835,Aqua,MODIS,52,6.03,306.8,10.2,D,2
-34.1054,-70.457,330.1,1,1,2021-01-01,1836,Aqua,MODIS,46,6.03,316.2,9.2,D,2
-36.944,-72.3647,329.9,1.2,1.1,2021-01-01,1836,Aqua,MODIS,67,6.03,306.5,23.9,D,0
-32.8068,-70.9523,325.6,1,1,2021-01-01,1837,Aqua,MODIS,44,6.03,309,9.9,D,2
-33.2386,-70.6974,335.3,1,1,2021-01-01,1837,Aqua,MODIS,77,6.03,316.5,14.9,D,0
-27.2572,-70.1071,331.4,1,1,2021-01-01,1838,Aqua,MODIS,62,6.03,314.6,9,D,0
-27.2588,-70.1176,330.1,1,1,2021-01-01,1838,Aqua,MODIS,53,6.03,314.1,7.2,D,0
-38.3797,-72.9985,326.6,1.2,1.1,2021-01-02,0400,Terra,MODIS,100,6.03,285.9,34.3,N,0
-38.3784,-73.0028,304.2,1.5,1.2,2021-01-02,0539,Aqua,MODIS,59,6.03,285.2,15.8,N,0
-38.3815,-72.9869,314.5,1.5,1.2,2021-01-02,0539,Aqua,MODIS,89,6.03,284.7,28.7,N,0
-38.3815,-72.9933,321.4,1.5,1.2,2021-01-02,0539,Aqua,MODIS,100,6.03,285.5,39.3,N,0
-39.5395,-72.9645,310.4,1.1,1,2021-01-02,1504,Terra,MODIS,39,6.03,299.3,6,D,2
