latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.6651,43.3845,316,1,1,2021-05-18,0730,Terra,MODIS,44,6.03,303.3,6.7,D,1
-11.5956,43.303,319.1,1.2,1.1,2021-05-20,0718,Terra,MODIS,71,6.03,299,13.1,D,0
-11.5938,43.2918,316.2,1.2,1.1,2021-05-20,0718,Terra,MODIS,64,6.03,299.6,9.6,D,0
-11.5282,43.3105,316.8,1.7,1.3,2021-05-25,1028,Aqua,MODIS,67,6.03,298.6,25,D,0
-11.5329,43.3696,315.3,1,1,2021-06-03,1945,Terra,MODIS,88,6.03,289.6,14.7,N,0
-11.4809,43.305,312.2,1.1,1,2021-06-08,1041,Aqua,MODIS,35,6.03,298.7,6.8,D,0
-11.4258,43.3231,311.3,1.7,1.3,2021-06-10,1028,Aqua,MODIS,43,6.03,294.6,14.8,D,0
-11.6692,43.3509,317.6,1.2,1.1,2021-07-31,1059,Aqua,MODIS,39,6.03,300.6,11.9,D,1
-11.6819,43.3187,312.3,1.9,1.4,2021-08-14,1111,Aqua,MODIS,38,6.03,293.7,16.2,D,1
-11.71,43.3748,323,1.9,1.4,2021-08-14,1111,Aqua,MODIS,76,6.03,301.1,34,D,1
-11.7047,43.3854,313.4,3,1.6,2021-08-15,1016,Aqua,MODIS,40,6.03,298.7,35.9,D,1
-11.4871,43.3116,313.6,3,1.6,2021-08-15,1016,Aqua,MODIS,34,6.03,297,38.1,D,0
-11.4867,43.3027,318.6,3,1.6,2021-08-15,1016,Aqua,MODIS,45,6.03,298.6,56.5,D,0
-11.6217,43.3212,317.2,1.5,1.2,2021-08-17,0710,Terra,MODIS,67,6.03,286.9,21.9,D,0
-11.5635,43.3636,318.8,1,1,2021-09-07,0728,Terra,MODIS,63,6.03,303,8.3,D,0
-11.5545,43.3649,325.6,1,1,2021-09-07,0728,Terra,MODIS,72,6.03,299.5,14.3,D,0
-11.5624,43.3551,330.4,2.2,1.5,2021-09-07,1022,Aqua,MODIS,83,6.03,299.4,73.8,D,0
-11.5642,43.3485,330.3,2.2,1.5,2021-09-07,1022,Aqua,MODIS,83,6.03,300.2,73.6,D,0
-11.6799,43.3745,316,1.9,1.3,2021-09-11,0704,Terra,MODIS,30,6.03,301.6,15.5,D,1
-11.6867,43.3798,317.3,1.9,1.3,2021-09-11,0704,Terra,MODIS,50,6.03,301.3,17.3,D,1
-11.739,43.3788,321.1,1.1,1,2021-09-12,1041,Aqua,MODIS,53,6.03,301.2,16.6,D,1
-11.4299,43.3681,319.6,1.2,1.1,2021-09-25,0715,Terra,MODIS,71,6.03,301.5,9.9,D,0
-11.4519,43.3278,322.3,1.1,1,2021-09-28,1041,Aqua,MODIS,48,6.03,301.7,12.6,D,0
-11.3858,43.3763,324.8,1,1,2021-10-12,1053,Aqua,MODIS,44,6.03,302.5,13.9,D,0
-11.4271,43.3189,340.6,1,1,2021-12-31,1054,Aqua,MODIS,90,6.03,306.8,33.3,D,0
