latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.9654,-85.2061,315.6,1,1,2021-01-04,1617,Terra,MODIS,40,6.03,300.5,6.9,D,0
9.9752,-84.8374,310.9,1,1,2021-01-04,1617,Terra,MODIS,45,6.03,298.5,6.4,D,3
9.8067,-84.5889,312.9,1.2,1.1,2021-01-04,1919,Aqua,MODIS,58,6.03,297.5,8.3,D,0
10.6361,-85.0935,315.8,1,1,2021-01-06,1907,Aqua,MODIS,71,6.03,299.3,9.3,D,0
10.8952,-84.5045,314.6,1.2,1.1,2021-01-08,1855,Aqua,MODIS,74,6.03,295.9,10.9,D,0
10.0189,-84.7971,315,1.1,1.1,2021-01-11,1623,Terra,MODIS,59,6.03,299.2,8.4,D,0
10.0178,-85.2275,316.8,1.1,1,2021-01-11,1623,Terra,MODIS,40,6.03,298.8,7.9,D,0
10.5146,-85.6957,314,1,1,2021-01-11,1623,Terra,MODIS,63,6.03,297.5,5.5,D,0
9.9925,-85.1669,318.3,1.1,1,2021-01-11,1623,Terra,MODIS,14,6.03,300,8.4,D,0
10.0766,-85.4865,315.8,1.1,1,2021-01-11,1623,Terra,MODIS,54,6.03,298.7,7.1,D,0
10.0717,-85.4803,318.7,1.4,1.2,2021-01-11,1925,Aqua,MODIS,53,6.03,297.4,14.3,D,0
10.0609,-85.3951,313.2,1,1,2021-01-13,1913,Aqua,MODIS,71,6.03,289,8.1,D,0
9.9981,-84.1951,318.2,1.1,1,2021-01-13,1913,Aqua,MODIS,59,6.03,301.2,7,D,2
10.3929,-85.4851,302.1,1.9,1.4,2021-01-15,0343,Terra,MODIS,47,6.03,288.9,10.1,N,0
10.3598,-83.9606,324,1,1,2021-01-15,1901,Aqua,MODIS,80,6.03,295.8,17.1,D,0
9.8219,-84.1523,305.8,1,1,2021-01-20,0401,Terra,MODIS,61,6.03,287.6,8.4,N,0
10.4008,-85.3819,308.5,1,1,2021-01-20,0401,Terra,MODIS,75,6.03,293.3,6.6,N,0
10.4098,-85.3833,308.2,1,1,2021-01-20,0401,Terra,MODIS,66,6.03,292.3,6.7,N,0
10.3835,-85.447,309.9,2.5,1.5,2021-01-24,0337,Terra,MODIS,78,6.03,294.8,31.3,N,0
10.3901,-85.4416,305.8,2.5,1.5,2021-01-24,0337,Terra,MODIS,66,6.03,294.7,20.9,N,0
9.1622,-83.4143,317,1.1,1.1,2021-01-24,1855,Aqua,MODIS,41,6.03,302.8,9.9,D,0
10.0643,-84.906,321.6,1.5,1.2,2021-01-25,0419,Terra,MODIS,100,6.03,294.7,32.8,N,0
10.0661,-84.8927,346,1.5,1.2,2021-01-25,0419,Terra,MODIS,100,6.03,295.6,94.7,N,0
10.0787,-85.4853,317.6,2.3,1.5,2021-01-25,1938,Aqua,MODIS,67,6.03,299.4,25.8,D,0
10.0764,-85.4926,321.1,2.3,1.5,2021-01-25,1938,Aqua,MODIS,74,6.03,299.9,36.9,D,0
10.4264,-85.3925,311.1,4.3,1.9,2021-01-26,0324,Terra,MODIS,73,6.03,292.6,76.8,N,0
10.4359,-85.3613,305.4,4.3,1.9,2021-01-26,0324,Terra,MODIS,30,6.03,292.5,45.3,N,0
10.4289,-85.3997,308.2,4.3,1.9,2021-01-26,0324,Terra,MODIS,59,6.03,292.4,61.2,N,0
10.0189,-84.7507,306.1,1,1,2021-01-27,0407,Terra,MODIS,67,6.03,293.7,6.5,N,0
10.0268,-84.8802,314.3,1,1,2021-01-29,1611,Terra,MODIS,10,6.03,300.2,4.6,D,0
10.0099,-84.7515,333.7,1,1,2021-01-29,1913,Aqua,MODIS,85,6.03,308.9,22.8,D,0
10.2504,-85.1341,321,1,1,2021-01-29,1913,Aqua,MODIS,69,6.03,304.9,7.7,D,0
10.2491,-85.1434,327.2,1,1,2021-01-29,1913,Aqua,MODIS,80,6.03,307.2,14.7,D,0
10.0282,-84.885,334.1,1,1,2021-01-29,1913,Aqua,MODIS,0,6.03,303.6,24,D,0
10.0295,-84.8756,345.1,1,1,2021-01-29,1913,Aqua,MODIS,81,6.03,305.7,42.5,D,0
10.5177,-85.2672,333.6,1,1,2021-01-29,1913,Aqua,MODIS,85,6.03,306.1,23.1,D,0
10.5164,-85.2764,323.7,1,1,2021-01-29,1913,Aqua,MODIS,76,6.03,305.4,10.7,D,0
8.876,-83.4345,317.9,1,1,2021-01-31,1901,Aqua,MODIS,58,6.03,299.1,8.3,D,0
10.4865,-85.248,323.7,1.1,1.1,2021-01-31,1901,Aqua,MODIS,74,6.03,304.1,12.7,D,0
10.6782,-85.4989,340.9,2,1.4,2021-02-01,1641,Terra,MODIS,91,6.03,303,100.3,D,0
10.6752,-85.4807,327.4,2,1.4,2021-02-01,1641,Terra,MODIS,82,6.03,302.1,46,D,0
9.2297,-83.5015,313,2.5,1.5,2021-02-02,0330,Terra,MODIS,86,6.03,291.9,40.3,N,0
10.5058,-85.5408,344.1,1.9,1.3,2021-02-02,1849,Aqua,MODIS,93,6.03,299.8,105.4,D,0
10.4753,-85.1973,308.2,1.5,1.2,2021-02-03,0705,Aqua,MODIS,74,6.03,292.1,13.8,N,0
10.7409,-85.4685,317.1,1.8,1.3,2021-02-03,1932,Aqua,MODIS,25,6.03,300.9,16.3,D,0
10.0061,-84.7306,323.6,2,1.4,2021-02-03,1932,Aqua,MODIS,38,6.03,298.7,30.9,D,0
10.7351,-85.4623,317.5,1.8,1.3,2021-02-03,1932,Aqua,MODIS,56,6.03,300.4,16.6,D,0
10.0095,-84.738,332.7,2,1.4,2021-02-03,1932,Aqua,MODIS,81,6.03,300.1,61.2,D,0
8.8744,-83.4362,303.3,1,1,2021-02-05,0400,Terra,MODIS,55,6.03,293,3.5,N,0
8.8756,-83.4271,326.7,1,1,2021-02-05,0400,Terra,MODIS,100,6.03,293.7,23.6,N,0
10.4671,-85.1804,312.1,1,1,2021-02-05,0401,Terra,MODIS,84,6.03,294.9,9.4,N,0
10.0509,-84.8729,308.4,1,1,2021-02-05,0401,Terra,MODIS,74,6.03,295.2,6.5,N,0
10.0522,-84.8638,353.9,1,1,2021-02-05,0401,Terra,MODIS,100,6.03,297.5,69.7,N,0
10.4658,-85.1895,357.3,1,1,2021-02-05,0401,Terra,MODIS,100,6.03,296.4,79.3,N,0
10.3834,-85.1773,305.7,2.6,1.6,2021-02-05,0652,Aqua,MODIS,65,6.03,293,23.5,N,0
10.0456,-84.7935,352.2,1,1,2021-02-05,1617,Terra,MODIS,96,6.03,303.9,57.6,D,0
10.0442,-84.7844,329.4,1,1,2021-02-05,1617,Terra,MODIS,72,6.03,303.3,17.7,D,0
9.9052,-83.6845,314.2,1.1,1,2021-02-05,1617,Terra,MODIS,46,6.03,300.7,8.1,D,2
10.0234,-84.7827,324.7,1.2,1.1,2021-02-05,1919,Aqua,MODIS,56,6.03,302.4,12.8,D,0
9.1901,-83.3843,345.2,1.1,1.1,2021-02-07,0348,Terra,MODIS,100,6.03,293.4,63.5,N,0
9.1886,-83.3946,333.9,1.1,1.1,2021-02-07,0348,Terra,MODIS,100,6.03,290.9,40.5,N,0
10.4623,-85.1855,305.3,1.4,1.2,2021-02-07,0349,Terra,MODIS,64,6.03,293.9,7,N,0
9.0053,-83.0562,327.5,1,1,2021-02-07,1907,Aqua,MODIS,81,6.03,304.2,16.5,D,0
10.4965,-85.2538,331.9,1,1,2021-02-07,1907,Aqua,MODIS,83,6.03,308.8,16.4,D,0
10.0397,-84.8594,306.8,1,1,2021-02-08,0723,Aqua,MODIS,69,6.03,295.1,5.9,N,0
10.0307,-84.8607,310.6,1,1,2021-02-08,0723,Aqua,MODIS,80,6.03,294.9,8,N,0
10.0293,-84.8516,311.9,1,1,2021-02-08,0723,Aqua,MODIS,84,6.03,294.9,9.2,N,0
10.5097,-85.5334,316.9,2.5,1.5,2021-02-09,0336,Terra,MODIS,94,6.03,294.5,52.2,N,0
10.5271,-85.5127,314.1,2.5,1.5,2021-02-09,0336,Terra,MODIS,89,6.03,294.4,42.7,N,0
10.5135,-85.5106,346.6,2.5,1.5,2021-02-09,0336,Terra,MODIS,100,6.03,295.8,208.6,N,0
10.3798,-85.2086,324.7,2,1.4,2021-02-09,1552,Terra,MODIS,78,6.03,299.7,39.6,D,0
10.3775,-85.1904,327.7,2,1.4,2021-02-09,1552,Terra,MODIS,81,6.03,300.2,48.7,D,0
10.5303,-85.703,320.6,1.5,1.2,2021-02-09,1855,Aqua,MODIS,71,6.03,303.7,12.3,D,0
11.0159,-84.5776,306.4,1.6,1.2,2021-02-10,0419,Terra,MODIS,68,6.03,292,14.1,N,0
11.0153,-84.5732,302.8,1.1,1.1,2021-02-10,0711,Aqua,MODIS,52,6.03,291.6,6.2,N,0
10.4525,-85.3663,323.5,1.2,1.1,2021-02-10,0711,Aqua,MODIS,100,6.03,295.7,27.8,N,0
10.4509,-85.3548,309,1.2,1.1,2021-02-10,0711,Aqua,MODIS,76,6.03,295.2,10.4,N,0
11.0092,-84.5776,306.8,1.1,1,2021-02-12,0407,Terra,MODIS,69,6.03,292,7.8,N,0
10.3255,-85.2012,304.2,1,1,2021-02-12,0407,Terra,MODIS,59,6.03,293.7,4.4,N,0
10.5841,-84.5159,312.4,1.2,1.1,2021-02-12,1623,Terra,MODIS,60,6.03,298.7,6,D,0
10.3215,-85.1991,323.1,1.1,1,2021-02-12,1623,Terra,MODIS,55,6.03,307.8,12.4,D,0
10.4693,-83.8273,318.7,1,1,2021-02-14,1610,Terra,MODIS,66,6.03,302.6,11.2,D,0
10.7309,-85.4582,326.9,1,1,2021-02-14,1913,Aqua,MODIS,78,6.03,305,13.2,D,0
9.9714,-84.8396,313.6,1,1,2021-02-14,1913,Aqua,MODIS,55,6.03,301.9,7.9,D,3
10.4939,-85.5111,307.4,1.9,1.4,2021-02-16,0342,Terra,MODIS,71,6.03,292.4,17.1,N,0
