latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.7103,16.39,300,1.2,1.1,2021-02-04,1210,Aqua,MODIS,23,6.03,287.5,6,D,0
43.7443,16.6264,307.5,2.2,1.4,2021-02-12,1121,Aqua,MODIS,66,6.03,276,35.6,D,0
43.7458,16.6325,312.4,2.2,1.4,2021-02-12,1121,Aqua,MODIS,72,6.03,276.1,49.3,D,0
44.3888,16.124,300.1,1,1,2021-02-15,1152,Aqua,MODIS,25,6.03,279.1,7.1,D,0
44.8499,15.7651,307.2,1.2,1.1,2021-02-21,2039,Terra,MODIS,71,6.03,273.2,15.8,N,0
44.857,15.7654,302.6,1.2,1.1,2021-02-22,1014,Terra,MODIS,43,6.03,292,6,D,0
44.8473,15.7619,332.3,1.2,1.1,2021-02-22,1014,Terra,MODIS,88,6.03,291.3,42.1,D,0
45.2698,16.2032,311.8,1,1,2021-02-22,1158,Aqua,MODIS,72,6.03,292.2,10.3,D,0
45.2681,16.1906,323,1,1,2021-02-22,1158,Aqua,MODIS,82,6.03,293.3,20.4,D,0
45.3177,16.4122,307.2,1,1,2021-02-22,1158,Aqua,MODIS,65,6.03,291.4,7.2,D,0
44.628,15.9899,304.5,1,1,2021-02-22,1158,Aqua,MODIS,59,6.03,291.7,6,D,0
44.6298,16.0023,301.4,1,1,2021-02-22,1158,Aqua,MODIS,47,6.03,290.2,4.2,D,0
45.5425,15.4029,307.8,1,1,2021-02-22,1158,Aqua,MODIS,66,6.03,289.3,8.2,D,0
44.8369,15.7674,316.8,1,1,2021-02-22,1158,Aqua,MODIS,52,6.03,294.3,13.1,D,0
44.8457,15.7648,330.9,1,1,2021-02-22,1158,Aqua,MODIS,87,6.03,295.5,27.8,D,0
45.3377,18.2506,305.1,1.1,1,2021-02-22,1158,Aqua,MODIS,61,6.03,291.2,6.7,D,0
45.1435,16.3561,301.6,1,1,2021-02-22,1158,Aqua,MODIS,48,6.03,291.5,3.8,D,0
44.8439,15.7524,321.5,1,1,2021-02-22,1158,Aqua,MODIS,69,6.03,293.3,17.7,D,0
45.8436,15.7563,315.5,1,1,2021-02-22,1158,Aqua,MODIS,76,6.03,291.1,13.3,D,0
