latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.8751,-77.7991,313.1,1.2,1.1,2021-01-01,1543,Terra,MODIS,61,6.03,299.1,8,D,0
20.2099,-74.885,314.9,2.4,1.5,2021-01-01,1851,Aqua,MODIS,69,6.03,298.2,33.4,D,0
20.8612,-77.8111,315.8,1.5,1.2,2021-01-01,1851,Aqua,MODIS,67,6.03,303.9,13.3,D,0
20.2077,-74.9065,312.7,2.4,1.5,2021-01-01,1851,Aqua,MODIS,65,6.03,299,26.8,D,0
20.4166,-76.8269,322.3,1.7,1.3,2021-01-01,1851,Aqua,MODIS,76,6.03,303.7,27.8,D,0
20.8629,-77.7968,314,1.5,1.2,2021-01-01,1851,Aqua,MODIS,63,6.03,302.3,10.9,D,0
20.2133,-74.9024,317.5,2.4,1.5,2021-01-01,1851,Aqua,MODIS,73,6.03,298.9,40.9,D,0
22.9293,-81.9942,313.4,1,1,2021-01-01,1852,Aqua,MODIS,58,6.03,302.4,5.5,D,0
22.7659,-81.0342,320.2,1.1,1,2021-01-01,1852,Aqua,MODIS,74,6.03,301.9,11.3,D,0
22.8562,-81.383,313.6,1,1,2021-01-01,1852,Aqua,MODIS,60,6.03,297.7,7.5,D,0
21.7733,-78.8542,336.3,1.3,1.1,2021-01-01,1852,Aqua,MODIS,83,6.03,298.3,47.4,D,0
21.8384,-82.9265,311.5,1,1,2021-01-01,1852,Aqua,MODIS,0,6.03,294.9,6.8,D,0
22.7485,-81.2871,331.9,1,1,2021-01-01,1852,Aqua,MODIS,85,6.03,301.7,26,D,0
22.7472,-81.2972,335.6,1,1,2021-01-01,1852,Aqua,MODIS,87,6.03,301.1,31.7,D,0
20.3772,-76.8252,324.7,3.4,1.7,2021-01-02,1626,Terra,MODIS,78,6.03,300.4,100.6,D,0
22.9773,-81.5433,309,1.4,1.2,2021-01-02,1626,Terra,MODIS,54,6.03,297.9,7.7,D,0
20.3822,-76.8291,315.2,3.4,1.7,2021-01-02,1626,Terra,MODIS,63,6.03,300.5,47.7,D,0
20.3668,-76.8327,312.7,3.4,1.7,2021-01-02,1626,Terra,MODIS,55,6.03,299.5,35.5,D,0
21.144,-76.6177,307,1,1,2021-01-03,0321,Terra,MODIS,70,6.03,291.8,7.8,N,0
21.2627,-78.1963,325.5,1.9,1.4,2021-01-03,1531,Terra,MODIS,80,6.03,300.5,47.9,D,0
21.5288,-78.4435,312.9,1,1,2021-01-03,1839,Aqua,MODIS,59,6.03,302.3,6.5,D,0
21.5274,-78.4532,311.9,1,1,2021-01-03,1839,Aqua,MODIS,55,6.03,301.5,5.6,D,0
20.517,-76.8749,321,1.1,1.1,2021-01-03,1839,Aqua,MODIS,72,6.03,305,12.4,D,0
21.2897,-78.4426,314,1,1,2021-01-03,1839,Aqua,MODIS,57,6.03,302,6.8,D,0
20.8581,-77.4155,311.1,1.1,1,2021-01-03,1839,Aqua,MODIS,37,6.03,300.9,4.5,D,0
20.3825,-76.8384,319.4,1.1,1.1,2021-01-03,1839,Aqua,MODIS,56,6.03,306,9.4,D,0
21.3341,-78.3206,316.3,1,1,2021-01-03,1839,Aqua,MODIS,67,6.03,303.7,8.5,D,0
22.1039,-78.7375,316.7,1,1,2021-01-03,1839,Aqua,MODIS,71,6.03,296.2,11,D,0
22.1823,-79.55,315.1,1,1,2021-01-03,1839,Aqua,MODIS,34,6.03,301.5,7.4,D,0
20.2533,-75.7536,314.5,1.3,1.1,2021-01-03,1839,Aqua,MODIS,45,6.03,299.9,10.9,D,0
20.2262,-76.9965,327.2,1.1,1,2021-01-03,1839,Aqua,MODIS,81,6.03,302.9,17.3,D,0
20.415,-76.8106,317,1.1,1.1,2021-01-03,1839,Aqua,MODIS,54,6.03,305.7,6.4,D,0
20.2248,-77.0069,349.7,1.1,1,2021-01-03,1839,Aqua,MODIS,95,6.03,305.8,60,D,0
20.2342,-77.0083,320.7,1.1,1,2021-01-03,1839,Aqua,MODIS,74,6.03,303.3,10.9,D,0
21.8058,-79.9294,312.5,1,1,2021-01-03,1839,Aqua,MODIS,55,6.03,298.5,7,D,0
21.7086,-78.6687,327,1,1,2021-01-03,1839,Aqua,MODIS,81,6.03,303.4,18.8,D,0
20.1889,-76.9161,313.2,1.1,1.1,2021-01-03,1839,Aqua,MODIS,42,6.03,301.4,6.4,D,0
20.3597,-76.8933,325.2,1.1,1.1,2021-01-03,1839,Aqua,MODIS,78,6.03,305.6,17.5,D,0
22.2344,-80.3308,313.7,1,1,2021-01-03,1840,Aqua,MODIS,64,6.03,302.2,7.3,D,0
22.2987,-80.3985,315.6,1,1,2021-01-03,1840,Aqua,MODIS,67,6.03,303.1,7.6,D,0
22.7344,-81.238,327.9,1.1,1,2021-01-03,1840,Aqua,MODIS,81,6.03,303,19.9,D,0
22.7328,-81.2482,316.7,1.1,1,2021-01-03,1840,Aqua,MODIS,68,6.03,303.7,7.5,D,0
22.4631,-80.4095,325.6,1,1,2021-01-03,1840,Aqua,MODIS,80,6.03,301.7,17.7,D,0
22.4646,-80.3997,339,1,1,2021-01-03,1840,Aqua,MODIS,90,6.03,302.5,36.4,D,0
22.957,-81.6471,311.4,1.1,1,2021-01-03,1840,Aqua,MODIS,58,6.03,300.5,6,D,0
22.8424,-82.0661,318.8,1.1,1.1,2021-01-03,1840,Aqua,MODIS,73,6.03,299.6,12.9,D,0
22.773,-82.4149,311.4,1.2,1.1,2021-01-03,1840,Aqua,MODIS,54,6.03,299.4,5.6,D,0
22.8225,-82.6791,311.9,1.2,1.1,2021-01-03,1840,Aqua,MODIS,62,6.03,299.6,6,D,0
22.7424,-81.8555,315.2,1,1,2021-01-04,1614,Terra,MODIS,69,6.03,298.2,8.3,D,0
20.4978,-76.8247,317.5,2,1.4,2021-01-04,1614,Terra,MODIS,72,6.03,301.9,23.2,D,0
20.6661,-76.4525,335.3,2.1,1.4,2021-01-04,1614,Terra,MODIS,88,6.03,302.5,89.7,D,0
22.4785,-83.3135,319.2,1,1,2021-01-04,1614,Terra,MODIS,71,6.03,297.2,12,D,0
