latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.8788,32.5468,307.1,2,1.4,2021-01-09,1130,Aqua,MODIS,65,6.03,292.9,16.6,D,0
34.7815,32.7086,301.3,1,1,2021-02-07,1100,Aqua,MODIS,40,6.03,291.1,3.5,D,0
34.8473,32.8447,303.9,1,1,2021-02-07,1100,Aqua,MODIS,56,6.03,292,4.4,D,0
34.849,32.8795,301.3,2,1.4,2021-02-25,0909,Terra,MODIS,30,6.03,289.7,9.7,D,0
34.8317,32.8997,307.1,2,1.4,2021-02-25,0909,Terra,MODIS,56,6.03,291.1,18.3,D,0
34.844,32.9031,311.9,2,1.4,2021-02-25,0909,Terra,MODIS,72,6.03,290.6,28.7,D,0
34.8424,32.8964,324.8,2,1.4,2021-02-25,0909,Terra,MODIS,83,6.03,291.2,61.7,D,0
35.1034,33.2686,352.2,1.2,1.1,2021-04-29,0826,Terra,MODIS,95,6.03,309.6,67,D,0
34.7264,32.9494,320.9,1.4,1.2,2021-05-02,0856,Terra,MODIS,52,6.03,306.8,10.1,D,0
34.7867,32.6059,302.7,1.1,1,2021-05-20,1946,Terra,MODIS,51,6.03,289.2,6.1,N,0
34.8562,32.6207,342.3,1.3,1.1,2021-06-03,0856,Terra,MODIS,91,6.03,307.4,53.5,D,0
34.8536,32.6355,329.2,1.3,1.1,2021-06-03,0856,Terra,MODIS,82,6.03,307.6,24.9,D,0
34.7404,33.3221,323.5,1.8,1.3,2021-06-11,1124,Aqua,MODIS,54,6.03,303.3,22.1,D,0
34.7311,33.3111,325,1.8,1.3,2021-06-11,1124,Aqua,MODIS,0,6.03,303.3,23.7,D,0
34.9105,33.4859,334.7,1.2,1.1,2021-06-29,1112,Aqua,MODIS,59,6.03,312.9,14.5,D,0
34.8432,32.6192,352.5,1,1,2021-07-01,1059,Aqua,MODIS,94,6.03,319.5,45.1,D,0
34.6901,32.7166,350.6,2,1.4,2021-07-01,2022,Terra,MODIS,100,6.03,301.8,169.5,N,0
34.6921,32.7396,363.4,2,1.4,2021-07-01,2022,Terra,MODIS,100,6.03,302.2,260.4,N,0
34.7045,32.7374,310.5,2,1.4,2021-07-01,2022,Terra,MODIS,71,6.03,300.2,18.9,N,0
34.7025,32.7143,313.6,2,1.4,2021-07-01,2022,Terra,MODIS,82,6.03,299.9,25.4,N,0
34.6934,32.7322,323.5,3.8,1.8,2021-07-01,2302,Aqua,MODIS,100,6.03,298.4,132.3,N,0
34.6988,32.7407,324.2,3.8,1.8,2021-07-01,2302,Aqua,MODIS,100,6.03,298.6,137.9,N,0
34.7545,33.0146,334.8,1.2,1.1,2021-07-02,0825,Terra,MODIS,75,6.03,314.6,20.3,D,0
34.753,33.0278,344.8,1.2,1.1,2021-07-02,0825,Terra,MODIS,88,6.03,314.9,42.2,D,0
34.8414,33.1075,341.8,1.2,1.1,2021-07-03,1047,Aqua,MODIS,86,6.03,317.2,36.7,D,0
34.8876,33.1595,311,1.4,1.2,2021-07-03,2010,Terra,MODIS,42,6.03,294.6,13.3,N,0
34.8859,33.1437,313.2,1.4,1.2,2021-07-03,2010,Terra,MODIS,53,6.03,293.6,16,N,0
34.8461,33.1694,315.5,1.4,1.2,2021-07-03,2010,Terra,MODIS,66,6.03,296.1,15.6,N,0
34.8476,33.1847,328.2,1.4,1.2,2021-07-03,2010,Terra,MODIS,100,6.03,297.3,37.4,N,0
34.8356,33.171,322.6,1.4,1.2,2021-07-03,2010,Terra,MODIS,100,6.03,296.4,27.6,N,0
34.8372,33.1866,318.7,1.4,1.2,2021-07-03,2010,Terra,MODIS,97,6.03,296.5,22.1,N,0
34.8425,33.1915,320.3,1.4,1.2,2021-07-03,2010,Terra,MODIS,100,6.03,296.9,26.2,N,0
34.8409,33.1763,340.5,1.4,1.2,2021-07-03,2010,Terra,MODIS,100,6.03,298,68.3,N,0
34.8392,33.1608,311,1.4,1.2,2021-07-03,2010,Terra,MODIS,43,6.03,295.9,12.6,N,0
34.8622,33.1198,313.6,1.4,1.2,2021-07-03,2010,Terra,MODIS,87,6.03,294.6,16.6,N,0
34.7696,32.7963,352,1.6,1.3,2021-07-12,0901,Terra,MODIS,96,6.03,312.7,104.1,D,0
34.7661,32.8143,337.1,1.6,1.3,2021-07-12,0901,Terra,MODIS,88,6.03,308.5,48.2,D,0
34.7806,32.7993,325.2,1.6,1.3,2021-07-12,0901,Terra,MODIS,74,6.03,307.7,17.3,D,0
34.8401,32.6049,334.2,1.6,1.3,2021-07-13,1124,Aqua,MODIS,66,6.03,315.1,26.8,D,0
34.8385,32.5998,334.6,1.6,1.3,2021-07-13,1124,Aqua,MODIS,76,6.03,314.9,30.6,D,0
34.8497,32.5982,329.2,1.6,1.3,2021-07-13,1124,Aqua,MODIS,37,6.03,314.2,16.4,D,0
34.9921,33.2849,336.3,1.4,1.2,2021-07-28,1041,Aqua,MODIS,61,6.03,322.9,18.8,D,0
34.9941,33.2744,340.3,1.4,1.2,2021-07-28,1041,Aqua,MODIS,73,6.03,322.6,29.8,D,0
34.9839,33.2772,353,1.4,1.2,2021-07-28,1041,Aqua,MODIS,95,6.03,323.9,69.3,D,0
34.9895,33.2706,337.1,1.4,1.2,2021-07-28,1041,Aqua,MODIS,60,6.03,323.5,22.2,D,0
34.7177,33.251,361.4,1.4,1.2,2021-07-28,1041,Aqua,MODIS,0,6.03,318.4,113.7,D,0
34.7119,33.259,380.6,1.4,1.2,2021-07-28,1041,Aqua,MODIS,100,6.03,320.3,238,D,3
34.9661,32.4522,345.8,2,1.4,2021-08-21,1130,Aqua,MODIS,89,6.03,307.6,104.8,D,0
34.9645,32.458,342.6,2,1.4,2021-08-21,1130,Aqua,MODIS,87,6.03,307,86.9,D,0
35.0175,32.4009,343,1.3,1.1,2021-08-23,1118,Aqua,MODIS,86,6.03,311.8,48,D,0
35.0159,32.3865,327.5,1.3,1.1,2021-08-23,1118,Aqua,MODIS,47,6.03,311.2,15,D,0
34.9574,32.4499,321.5,1.3,1.1,2021-09-08,1118,Aqua,MODIS,36,6.03,304.6,9.3,D,0
34.9552,32.462,319.2,3,1.6,2021-09-19,0918,Terra,MODIS,63,6.03,300.6,31.9,D,0
34.9413,32.4552,357.8,3,1.6,2021-09-19,0918,Terra,MODIS,99,6.03,301.9,344.7,D,0
34.948,32.4925,341.9,3,1.7,2021-09-19,0918,Terra,MODIS,86,6.03,302.5,179.6,D,0
34.9338,32.4874,377.5,3,1.7,2021-09-19,0918,Terra,MODIS,100,6.03,302.8,659.5,D,0
34.9479,32.4877,340.6,3,1.7,2021-09-19,0918,Terra,MODIS,90,6.03,302.9,167.3,D,0
34.9412,32.4494,341.7,3,1.6,2021-09-19,0918,Terra,MODIS,91,6.03,301.4,177.1,D,0
34.9335,32.4829,383.1,3,1.7,2021-09-19,0918,Terra,MODIS,100,6.03,302.9,776.3,D,0
34.9237,32.5079,433.7,1,1,2021-09-19,1100,Aqua,MODIS,100,6.03,312.2,512.1,D,0
34.9221,32.497,476.3,1,1,2021-09-19,1100,Aqua,MODIS,100,6.03,400.1,1112.7,D,0
34.9204,32.486,328.3,1,1,2021-09-19,1100,Aqua,MODIS,71,6.03,309.2,12.9,D,0
34.9326,32.5059,347.1,1,1,2021-09-19,1100,Aqua,MODIS,92,6.03,306.9,40.9,D,0
34.931,32.4949,379.1,1,1,2021-09-19,1100,Aqua,MODIS,100,6.03,313.1,135.2,D,0
34.9293,32.484,352,1,1,2021-09-19,1100,Aqua,MODIS,95,6.03,312.7,51.5,D,0
34.9277,32.4732,331.4,1,1,2021-09-19,1100,Aqua,MODIS,58,6.03,308.5,16,D,0
34.9399,32.493,376.1,1,1,2021-09-19,1100,Aqua,MODIS,100,6.03,312.8,122.4,D,0
34.9382,32.482,377,1,1,2021-09-19,1100,Aqua,MODIS,100,6.03,318,126.2,D,0
34.9366,32.4711,350.9,1,1,2021-09-19,1100,Aqua,MODIS,94,6.03,312.2,49.8,D,0
34.7266,32.9531,341,1.4,1.2,2021-09-23,0854,Terra,MODIS,90,6.03,306.8,55.4,D,0
34.8732,32.4823,314.1,1.3,1.1,2021-09-23,0854,Terra,MODIS,43,6.03,300.4,7.4,D,0
34.8757,32.4685,312.3,1.3,1.1,2021-09-23,0854,Terra,MODIS,26,6.03,299.8,6.1,D,0
34.7239,32.9678,319.5,1.4,1.2,2021-09-23,0854,Terra,MODIS,71,6.03,305.2,10.2,D,0
34.7743,32.4852,320.1,1,1,2021-09-26,1106,Aqua,MODIS,52,6.03,306.1,5.7,D,0
34.7728,32.4742,326.7,1,1,2021-09-26,1106,Aqua,MODIS,72,6.03,307.6,12.6,D,0
34.722,32.9487,315.2,2.1,1.4,2021-10-07,0906,Terra,MODIS,49,6.03,302,17.6,D,0
34.7825,33.3336,339.4,1.4,1.2,2021-10-09,0853,Terra,MODIS,89,6.03,309.7,53.7,D,0
34.7797,33.3486,327.6,1.4,1.2,2021-10-09,0853,Terra,MODIS,80,6.03,307.3,25.5,D,0
34.8527,33.6047,320.5,1.1,1.1,2021-10-22,0822,Terra,MODIS,56,6.03,305,10.7,D,0
