latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.6754,18.6723,301.6,1.7,1.3,2021-01-10,2004,Terra,MODIS,27,6.03,267.7,21.7,N,2
49.6741,18.6538,312.4,1.7,1.3,2021-01-10,2004,Terra,MODIS,85,6.03,267.9,38.3,N,2
49.6787,18.6662,304.4,1.1,1,2021-01-21,0049,Aqua,MODIS,60,6.03,272.2,12.6,N,2
49.6718,18.664,306.5,1,1,2021-02-01,1141,Aqua,MODIS,64,6.03,272.1,12.3,D,2
49.6768,18.6654,304.2,1.3,1.1,2021-02-22,1013,Terra,MODIS,51,6.03,284.4,11.6,D,2
49.6781,18.655,307,1.2,1.1,2021-02-22,1159,Aqua,MODIS,56,6.03,288.4,12.2,D,2
49.8151,18.3154,302,1.2,1.1,2021-02-22,1159,Aqua,MODIS,50,6.03,281.1,10.2,D,2
49.6735,18.6585,304.5,1,1,2021-02-24,1147,Aqua,MODIS,51,6.03,284.3,7.3,D,2
49.6763,18.6613,307.8,1.3,1.1,2021-02-25,2016,Terra,MODIS,73,6.03,280.3,17.4,N,2
49.6777,18.6677,303.4,1,1,2021-02-26,0949,Terra,MODIS,53,6.03,288.2,5.9,D,2
49.6796,18.6539,304.4,1,1,2021-02-26,0949,Terra,MODIS,51,6.03,288,6.3,D,2
49.6793,18.6582,303.5,1,1,2021-02-26,1135,Aqua,MODIS,49,6.03,290.7,5.3,D,2
49.6757,18.6586,302.2,1.1,1.1,2021-03-03,1007,Terra,MODIS,44,6.03,288,6.2,D,2
49.6783,18.6568,305.4,1.1,1,2021-03-03,1153,Aqua,MODIS,53,6.03,292,7.2,D,2
49.6733,18.665,303,1.1,1,2021-03-03,1153,Aqua,MODIS,53,6.03,291.4,5,D,2
49.5085,16.6379,303,1.1,1.1,2021-03-10,1013,Terra,MODIS,54,6.03,280.7,9.2,D,0
48.9946,15.8363,313.8,1,1,2021-03-12,1147,Aqua,MODIS,74,6.03,282.9,15.5,D,0
48.9923,15.8225,336.4,1,1,2021-03-12,1147,Aqua,MODIS,90,6.03,282.6,42.5,D,0
49.6806,18.6581,301.2,1.3,1.1,2021-03-26,1013,Terra,MODIS,39,6.03,289.9,5.1,D,2
49.4617,16.6772,300.4,1.1,1,2021-03-26,1159,Aqua,MODIS,34,6.03,289.4,3.5,D,0
49.6805,18.66,307,1.2,1.1,2021-03-26,1159,Aqua,MODIS,61,6.03,294,7.9,D,2
49.6161,14.9647,302.4,1.3,1.1,2021-03-30,0948,Terra,MODIS,51,6.03,289.4,4.9,D,0
49.758,15.3117,301.4,1.3,1.1,2021-03-30,1135,Aqua,MODIS,38,6.03,287.1,5.1,D,0
49.5437,16.3231,303.8,1.6,1.3,2021-03-31,1031,Terra,MODIS,44,6.03,292.1,7.3,D,0
49.5209,16.4629,307,1.5,1.2,2021-04-01,0936,Terra,MODIS,60,6.03,294.1,7.5,D,0
49.6732,18.6684,308.9,1.2,1.1,2021-04-01,0936,Terra,MODIS,61,6.03,296.9,6.6,D,2
49.5227,16.4425,307.8,1.5,1.2,2021-04-01,0936,Terra,MODIS,62,6.03,293.2,8.2,D,0
49.1522,15.2274,305.5,1.8,1.3,2021-04-01,1122,Aqua,MODIS,39,6.03,294.2,10.2,D,0
49.5507,12.7773,304.1,1.1,1,2021-04-04,1153,Aqua,MODIS,58,6.03,289.4,6,D,0
49.9829,13.4985,303.4,1.1,1,2021-04-04,1153,Aqua,MODIS,35,6.03,290.8,4.6,D,2
49.9805,13.4842,303.6,1.1,1,2021-04-04,1153,Aqua,MODIS,36,6.03,291.2,4.8,D,2
49.6036,13.0855,307.5,1.1,1,2021-04-04,1153,Aqua,MODIS,54,6.03,288.7,8.7,D,2
49.6756,18.6518,305.2,1.2,1.1,2021-04-08,2052,Terra,MODIS,63,6.03,271,16.3,N,2
49.6775,18.6686,309.7,1.2,1.1,2021-04-08,2052,Terra,MODIS,78,6.03,271.4,20.3,N,2
49.3056,15.7697,304,1.9,1.3,2021-04-10,0930,Terra,MODIS,58,6.03,286.9,12.7,D,0
50.4772,14.1278,306,1,1,2021-04-20,1006,Terra,MODIS,20,6.03,292.4,3.2,D,0
49.3724,17.6911,306.3,1,1,2021-04-20,1153,Aqua,MODIS,63,6.03,290.3,6.5,D,0
50.1788,17.423,308.9,1,1,2021-04-22,1141,Aqua,MODIS,68,6.03,286.1,9.6,D,0
