latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.9748,126.7741,307.9,1.3,1.1,2021-01-06,0425,Aqua,MODIS,66,6.03,270.8,18.9,D,0
40.6892,128.4357,315.2,1.9,1.4,2021-02-01,0502,Aqua,MODIS,70,6.03,280.8,40.4,D,0
40.6899,128.4047,309.1,1.9,1.4,2021-02-01,0502,Aqua,MODIS,68,6.03,279.2,31.6,D,0
40.6919,128.4291,317.2,1.9,1.4,2021-02-01,0502,Aqua,MODIS,77,6.03,280.3,48.3,D,0
40.6871,128.411,324.3,1.9,1.4,2021-02-01,0502,Aqua,MODIS,83,6.03,280.4,63.3,D,0
40.8983,129.5342,305.1,1,1,2021-02-20,0214,Terra,MODIS,44,6.03,283,8.6,D,0
40.9055,129.5425,309.2,1,1,2021-02-20,0214,Terra,MODIS,68,6.03,282.7,10.4,D,0
41.8885,129.4761,300.7,1.2,1.1,2021-02-25,0414,Aqua,MODIS,34,6.03,278.3,9.2,D,0
41.8862,129.4631,316.2,1.2,1.1,2021-02-25,0414,Aqua,MODIS,76,6.03,275.2,23.8,D,0
37.9371,125.0943,324.9,3.1,1.7,2021-02-26,0316,Terra,MODIS,78,6.03,288.1,119.1,D,0
37.9382,125.0879,321.4,3.1,1.7,2021-02-26,0316,Terra,MODIS,74,6.03,288,100.8,D,0
42.7543,130.0864,335.8,1.2,1.1,2021-03-13,0231,Terra,MODIS,0,6.03,267.5,44,D,0
42.8239,130.1403,301.1,1.1,1,2021-03-13,0414,Aqua,MODIS,35,6.03,278.1,5.3,D,0
42.726,130.108,315.6,1.1,1,2021-03-13,0414,Aqua,MODIS,76,6.03,280,16.5,D,0
42.8201,130.0593,325.3,1.1,1,2021-03-13,0414,Aqua,MODIS,74,6.03,279.6,26.1,D,0
42.7924,130.0677,342.5,1.1,1,2021-03-13,0414,Aqua,MODIS,83,6.03,283.1,51.1,D,0
42.7648,130.0765,338.9,1.1,1,2021-03-13,0414,Aqua,MODIS,64,6.03,281.2,42.8,D,0
42.7512,130.0536,315.9,1.1,1,2021-03-13,0414,Aqua,MODIS,68,6.03,276.3,17,D,0
42.7533,130.0664,318.7,1.1,1,2021-03-13,0414,Aqua,MODIS,16,6.03,277.8,17.6,D,0
42.8838,130.1703,311.8,1.1,1,2021-03-13,0414,Aqua,MODIS,66,6.03,275,13.4,D,0
42.8724,130.16,312.9,1.1,1,2021-03-13,0414,Aqua,MODIS,64,6.03,275,13.9,D,0
42.7281,130.121,304.3,1.1,1,2021-03-13,0414,Aqua,MODIS,24,6.03,280.6,7,D,0
42.8309,130.1243,300.5,1.1,1,2021-03-13,0414,Aqua,MODIS,30,6.03,279,5.4,D,0
42.7962,130.1487,311,1.1,1,2021-03-13,0414,Aqua,MODIS,57,6.03,280.6,11,D,0
42.7753,130.1082,306.1,2.1,1.4,2021-03-14,0457,Aqua,MODIS,63,6.03,291.2,13.9,D,0
42.7758,130.1138,308.9,2.1,1.4,2021-03-14,0457,Aqua,MODIS,68,6.03,291.3,18.1,D,0
42.1468,130.1325,304.9,2.1,1.4,2021-03-14,0457,Aqua,MODIS,60,6.03,290.6,15.2,D,0
