latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
55.9143,8.6787,320.8,3.5,1.8,2021-02-26,1315,Aqua,MODIS,64,6.03,278.8,129.5,D,0
55.9056,8.675,322.5,3.5,1.8,2021-02-26,1315,Aqua,MODIS,71,6.03,279.3,142.5,D,0
56.6107,9.3427,304.9,1,1,2021-02-28,0149,Aqua,MODIS,62,6.03,274.5,11.4,N,0
56.155,8.6431,313.4,2.2,1.4,2021-03-09,1256,Aqua,MODIS,58,6.03,280.7,46.6,D,0
55.5857,8.1611,311.8,1,1,2021-03-22,1036,Terra,MODIS,51,6.03,275.2,13.6,D,0
55.3201,10.2816,308.2,1.2,1.1,2021-04-13,1149,Aqua,MODIS,62,6.03,283.4,12.9,D,0
55.16,11.9082,303.7,1.1,1,2021-04-13,1149,Aqua,MODIS,57,6.03,284.2,7.2,D,0
55.3234,10.2991,305.4,1.2,1.1,2021-04-13,1149,Aqua,MODIS,34,6.03,283.3,10.7,D,0
55.4358,10.3694,302.5,1,1,2021-04-14,1042,Terra,MODIS,47,6.03,287.5,4.5,D,2
55.7031,9.1852,307.2,1,1,2021-04-18,1207,Aqua,MODIS,58,6.03,293.8,4.9,D,0
56.3731,8.4802,303,1,1,2021-04-18,1207,Aqua,MODIS,31,6.03,291.1,2.7,D,0
57.0608,9.9741,305.7,1,1,2021-04-18,1208,Aqua,MODIS,0,6.03,291.3,5.1,D,2
54.9023,11.2006,309.3,1,1,2021-04-20,1155,Aqua,MODIS,21,6.03,294.8,5.2,D,0
55.4224,11.4529,308.4,1,1,2021-04-20,1155,Aqua,MODIS,11,6.03,293.2,5.4,D,0
55.4274,11.4267,305.4,1,1,2021-04-20,1155,Aqua,MODIS,47,6.03,294.2,4.1,D,0
55.3553,10.425,308.7,1.1,1,2021-04-20,1155,Aqua,MODIS,57,6.03,294.3,5.8,D,0
56.4833,10.099,306.9,1,1,2021-04-20,1155,Aqua,MODIS,47,6.03,293.2,4.7,D,0
56.5219,10.2738,314.9,1,1,2021-04-20,1155,Aqua,MODIS,72,6.03,295,10.3,D,0
56.5157,9.8406,330.9,1.1,1,2021-04-20,1155,Aqua,MODIS,86,6.03,295.8,29.2,D,0
55.1557,11.9033,307.7,1,1,2021-04-20,1155,Aqua,MODIS,31,6.03,296.4,4.1,D,0
54.9112,11.1961,311.1,1,1,2021-04-20,1155,Aqua,MODIS,66,6.03,293.6,6.7,D,0
54.8216,11.1636,305.8,1.2,1.1,2021-04-21,1048,Terra,MODIS,54,6.03,288.5,8.1,D,2
55.7003,9.1616,304.4,1,1,2021-04-21,1048,Terra,MODIS,37,6.03,285.7,7,D,0
55.5208,11.4871,301.3,1.2,1.1,2021-04-21,1048,Terra,MODIS,46,6.03,286.5,5.5,D,0
55.7235,11.6049,318.5,1.2,1.1,2021-04-21,1048,Terra,MODIS,79,6.03,286.6,20.6,D,0
55.3047,10.4348,302.2,1,1,2021-04-23,1036,Terra,MODIS,51,6.03,290.2,3.7,D,0
55.1683,11.8902,309.4,1,1,2021-04-23,1036,Terra,MODIS,28,6.03,286.1,8.4,D,0
56.2661,9.7104,323.3,1,1,2021-04-27,1201,Aqua,MODIS,77,6.03,294.9,19,D,0
57.1334,10.0678,311.8,1.9,1.3,2021-04-29,0958,Terra,MODIS,51,6.03,288.9,23.8,D,0
57.1289,10.0438,318.4,1.1,1,2021-04-29,1149,Aqua,MODIS,74,6.03,291.2,18,D,0
55.5901,8.1329,305.8,1,1,2021-05-20,1207,Aqua,MODIS,52,6.03,286,6.2,D,0
56.3738,8.4783,305.9,1,1,2021-06-08,1047,Terra,MODIS,53,6.03,293,4.9,D,0
55.8819,8.646,310.2,1.1,1,2021-06-15,1053,Terra,MODIS,68,6.03,295,7.2,D,0
56.0227,12.1679,316,1.2,1.1,2021-06-18,1136,Aqua,MODIS,66,6.03,296.3,13.2,D,0
55.7011,9.1908,310.3,1,1,2021-06-24,1047,Terra,MODIS,63,6.03,296.9,6.8,D,0
55.8171,12.3548,311.6,1,1,2021-07-12,1034,Terra,MODIS,46,6.03,298.6,7.4,D,2
54.8296,11.1879,416.1,1,1,2021-07-16,1201,Aqua,MODIS,100,6.03,302.8,357.8,D,0
55.4155,12.203,310.5,1,1,2021-07-16,1201,Aqua,MODIS,32,6.03,295.5,3.6,D,0
54.8273,11.1726,407.2,1,1,2021-07-16,1201,Aqua,MODIS,94,6.03,306.7,292.9,D,2
54.7171,11.3518,309.1,1.3,1.1,2021-07-17,1053,Terra,MODIS,55,6.03,296.7,6.8,D,0
55.0129,12.3941,331,1,1,2021-07-23,1016,Terra,MODIS,84,6.03,294,28.3,D,0
54.8979,11.8477,314.7,1.1,1,2021-07-23,1016,Terra,MODIS,62,6.03,294.2,9.7,D,0
