latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.592,42.4249,329.9,2.5,1.5,2021-04-27,1010,Aqua,MODIS,43,6.03,302.7,31.7,D,0
12.1218,42.4581,335.1,2.4,1.5,2021-04-27,1010,Aqua,MODIS,77,6.03,309.3,52.5,D,0
11.4612,41.9928,332.2,2.7,1.6,2021-04-27,1010,Aqua,MODIS,65,6.03,305.6,52.6,D,0
11.9382,42.321,339.1,1.1,1.1,2021-05-05,0755,Terra,MODIS,84,6.03,312.5,20.1,D,0
11.5563,43.1101,332.9,1.1,1,2021-05-14,0748,Terra,MODIS,38,6.03,312.5,8.1,D,2
11.5086,43.0975,335.8,1.1,1,2021-06-03,1028,Aqua,MODIS,72,6.03,318.3,10.7,D,0
11.5124,43.0963,343.2,1,1,2021-06-08,0742,Terra,MODIS,84,6.03,314.7,24.6,D,0
11.5122,43.0981,334.4,1.2,1.1,2021-06-08,1047,Aqua,MODIS,68,6.03,314.8,11.1,D,0
11.5577,43.0857,329.8,1.1,1,2021-08-02,0747,Terra,MODIS,69,6.03,304,8.5,D,0
11.5829,41.9833,329.6,4.7,2,2021-09-04,0958,Aqua,MODIS,41,6.03,301.5,94,D,0
11.4552,42.3203,336.7,1.9,1.4,2021-09-25,1016,Aqua,MODIS,48,6.03,310.1,41.5,D,0
11.4468,42.278,332.5,1,1,2021-10-05,0746,Terra,MODIS,41,6.03,306.2,11.7,D,0
11.4689,42.3137,335.3,1.8,1.3,2021-10-10,0804,Terra,MODIS,69,6.03,305.9,38.6,D,0
11.4365,42.3187,333.9,1.8,1.3,2021-10-10,0804,Terra,MODIS,66,6.03,305,35.7,D,0
11.422,42.3331,333.1,1.8,1.3,2021-10-10,0804,Terra,MODIS,68,6.03,304.7,31.3,D,0
11.4693,43.2286,328.5,1,1,2021-12-01,0739,Terra,MODIS,68,6.03,308.9,13.4,D,0
