latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.9338,-70.3515,305.1,1.1,1.1,2021-01-01,0619,Aqua,MODIS,63,6.03,289.7,9.7,N,2
18.9243,-70.3533,304,1.8,1.3,2021-01-02,0237,Terra,MODIS,58,6.03,287.3,20,N,2
18.9249,-70.3391,304.7,3,1.6,2021-01-02,1448,Terra,MODIS,48,6.03,292.9,16.4,D,2
18.9276,-70.3613,305.6,3,1.7,2021-01-02,1448,Terra,MODIS,42,6.03,293.1,17.1,D,2
18.5304,-70.8936,315.3,1.2,1.1,2021-01-02,1755,Aqua,MODIS,66,6.03,300.4,8.6,D,0
19.301,-71.0853,308.2,1.2,1.1,2021-01-02,1756,Aqua,MODIS,55,6.03,297.8,6.9,D,0
19.7906,-71.0955,308.1,1,1,2021-01-03,1531,Terra,MODIS,45,6.03,296.2,5.2,D,0
18.9261,-70.3504,321.3,1.1,1.1,2021-01-03,1531,Terra,MODIS,79,6.03,292,19.7,D,2
19.7891,-71.0857,315.6,1,1,2021-01-03,1531,Terra,MODIS,71,6.03,297.5,11.1,D,0
18.9265,-70.3483,303.1,1.8,1.3,2021-01-04,0649,Aqua,MODIS,53,6.03,288.9,15.3,N,2
18.9259,-70.3457,310.6,1.8,1.3,2021-01-04,1743,Aqua,MODIS,56,6.03,296.8,15.3,D,2
18.9229,-70.3625,315.4,1.8,1.3,2021-01-04,1743,Aqua,MODIS,71,6.03,295.5,23.4,D,2
18.518,-70.8079,311,2,1.4,2021-01-04,1743,Aqua,MODIS,64,6.03,299.2,15.4,D,0
18.06,-71.4947,306.2,1,1,2021-01-05,0308,Terra,MODIS,67,6.03,286,9.1,N,0
18.9222,-70.3565,307.4,1.1,1.1,2021-01-05,0308,Terra,MODIS,71,6.03,291,9.1,N,2
18.9317,-70.3576,312.7,1.1,1.1,2021-01-05,0308,Terra,MODIS,85,6.03,290.8,13.1,N,2
18.9314,-70.345,301.3,3,1.6,2021-01-05,0554,Aqua,MODIS,39,6.03,289.4,25.7,N,2
18.3442,-70.0902,312.6,1,1,2021-01-05,1519,Terra,MODIS,61,6.03,297.5,6.8,D,0
18.4268,-70.5988,321.1,1,1,2021-01-05,1519,Terra,MODIS,0,6.03,301.8,12.5,D,0
18.925,-70.3483,323.9,1,1,2021-01-05,1519,Terra,MODIS,81,6.03,297.4,18.6,D,2
18.9264,-70.3578,322.5,1,1,2021-01-05,1519,Terra,MODIS,79,6.03,297.5,16.9,D,2
18.5585,-71.5028,315.4,1.4,1.2,2021-01-05,1826,Aqua,MODIS,66,6.03,297.2,15.2,D,0
18.9268,-70.3532,315.7,1.7,1.3,2021-01-05,1826,Aqua,MODIS,68,6.03,298.5,20.1,D,2
18.9305,-70.3544,305.3,1.4,1.2,2021-01-09,0243,Terra,MODIS,64,6.03,271.6,14.6,N,2
18.9226,-70.3459,306.7,2.3,1.5,2021-01-09,1455,Terra,MODIS,45,6.03,284.7,14.4,D,2
18.9255,-70.3521,308,2.3,1.5,2021-01-09,1455,Terra,MODIS,62,6.03,284.6,17.6,D,2
18.4209,-71.2061,301.4,2.1,1.4,2021-01-11,0656,Aqua,MODIS,41,6.03,290.3,12.7,N,0
18.9357,-70.3455,301.8,2.3,1.5,2021-01-11,0656,Aqua,MODIS,44,6.03,289.6,17.3,N,2
18.9255,-70.3532,300.2,2.3,1.5,2021-01-11,0656,Aqua,MODIS,20,6.03,289.5,13.3,N,2
