latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.0152,-78.3431,307.6,1.9,1.4,2021-01-01,0625,Aqua,MODIS,72,6.03,269.4,32.8,N,1
-2.0036,-78.3378,345.8,1.9,1.4,2021-01-01,0625,Aqua,MODIS,100,6.03,273.9,153.5,N,1
-2.0189,-78.3185,312.5,1.9,1.4,2021-01-01,0625,Aqua,MODIS,65,6.03,275.6,39,N,1
-2.0171,-78.33,355.1,1.9,1.4,2021-01-01,0625,Aqua,MODIS,100,6.03,278.6,206.1,N,1
-2.007,-78.3152,300.7,1.9,1.4,2021-01-01,0625,Aqua,MODIS,13,6.03,274.8,20.3,N,1
-2.0053,-78.3263,375.8,1.9,1.4,2021-01-01,0625,Aqua,MODIS,100,6.03,286.8,371.8,N,1
-0.0823,-77.655,318.8,1.2,1.1,2021-01-04,0655,Aqua,MODIS,97,6.03,279.9,24.5,N,1
-0.0728,-77.6531,307.2,1.2,1.1,2021-01-04,0655,Aqua,MODIS,71,6.03,281.9,13.6,N,1
-2.0079,-78.3272,320,1,1,2021-01-06,0643,Aqua,MODIS,100,6.03,274.1,24.2,N,1
-2.0067,-78.3354,353.6,1,1,2021-01-06,0643,Aqua,MODIS,100,6.03,275.7,78.9,N,1
-2.1424,-79.5898,315.5,1.9,1.3,2021-01-06,1608,Terra,MODIS,18,6.03,292.1,16.6,D,0
-0.2727,-80.1992,315.3,1.1,1.1,2021-01-06,1904,Aqua,MODIS,19,6.03,293.5,6.6,D,0
-2.4664,-79.4677,321.2,1.2,1.1,2021-01-06,1904,Aqua,MODIS,64,6.03,295.6,9.6,D,0
-2.4679,-79.478,329.1,1.2,1.1,2021-01-06,1904,Aqua,MODIS,79,6.03,297.4,19.5,D,0
-2.0097,-78.3516,333,2,1.4,2021-01-10,0321,Terra,MODIS,100,6.03,273.7,108,N,1
-2.0074,-78.362,314.7,2,1.4,2021-01-10,0321,Terra,MODIS,90,6.03,271.4,52.6,N,1
-2.0071,-78.3331,305.5,2,1.4,2021-01-10,0321,Terra,MODIS,65,6.03,272.1,34,N,1
-2.0038,-78.3377,326.2,2,1.4,2021-01-10,0321,Terra,MODIS,100,6.03,273.3,83.4,N,1
-2.7384,-80.1629,354.1,1,1,2021-01-10,1544,Terra,MODIS,97,6.03,301.8,65.1,D,0
-2.7462,-80.1735,367.5,1,1,2021-01-10,1544,Terra,MODIS,94,6.03,294.8,103.7,D,0
-2.737,-80.1722,348.5,1,1,2021-01-10,1544,Terra,MODIS,89,6.03,302,52.3,D,0
-2.7476,-80.1642,372.2,1,1,2021-01-10,1544,Terra,MODIS,94,6.03,300.8,120.5,D,0
-2.7479,-80.1718,343.6,1.6,1.2,2021-01-10,1839,Aqua,MODIS,92,6.03,300.7,79.2,D,0
-1.8721,-79.9819,317.2,1.5,1.2,2021-01-10,1839,Aqua,MODIS,43,6.03,296.6,12.4,D,2
-2.0052,-78.3416,304.4,1.1,1,2021-01-13,0351,Terra,MODIS,60,6.03,270.4,12.8,N,1
-0.0778,-77.6526,303.8,1.3,1.1,2021-01-13,0352,Terra,MODIS,57,6.03,276.9,13.4,N,1
-2.3095,-80.2067,304.9,1,1,2021-01-13,0649,Aqua,MODIS,62,6.03,288.2,6.7,N,0
-2.3019,-80.2085,308.7,1,1,2021-01-13,0649,Aqua,MODIS,75,6.03,288.4,8.9,N,0
