latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.3611,30.3369,315.5,1.4,1.2,2021-01-01,0905,Terra,MODIS,66,6.03,293.2,18.8,D,0
31.3651,30.3328,325.6,1,1,2021-01-01,2005,Terra,MODIS,100,6.03,287.4,25.8,N,0
31.3741,30.3309,308.4,1,1,2021-01-01,2005,Terra,MODIS,74,6.03,286.8,10.8,N,0
31.3688,30.3368,322.8,1.9,1.4,2021-01-02,2328,Aqua,MODIS,100,6.03,286.3,61.3,N,0
31.3691,30.3371,317.1,1,1,2021-01-03,0852,Terra,MODIS,63,6.03,291.5,13.7,D,0
28.042,34.258,303.3,1,1,2021-01-03,1952,Terra,MODIS,54,6.03,287.9,7.2,N,0
31.3627,30.3275,307.4,1.3,1.1,2021-01-03,1953,Terra,MODIS,54,6.03,287.6,15.3,N,0
31.3649,30.3326,320.9,1.3,1.1,2021-01-03,1953,Terra,MODIS,100,6.03,287.2,30.6,N,0
31.3697,30.3382,305.4,1.4,1.2,2021-01-04,0011,Aqua,MODIS,64,6.03,269.3,16.8,N,0
30.4433,31.9376,303.5,1,1,2021-01-05,0840,Terra,MODIS,42,6.03,290.6,3.6,D,0
24.4467,33.0586,319.3,1.1,1.1,2021-01-05,0842,Terra,MODIS,63,6.03,295.6,15.6,D,2
24.5359,32.9265,320.2,1,1,2021-01-07,0830,Terra,MODIS,67,6.03,297.1,14.7,D,0
29.6953,32.3235,301.1,1,1,2021-01-07,2346,Aqua,MODIS,38,6.03,285.1,7.2,N,0
31.1252,29.8143,300.3,1,1,2021-01-08,2011,Terra,MODIS,24,6.03,288.4,5.1,N,2
31.0055,29.8294,307,1.2,1.1,2021-01-09,1129,Aqua,MODIS,58,6.03,295.6,6.3,D,0
30.3323,30.2295,308.4,1.2,1.1,2021-01-10,0859,Terra,MODIS,58,6.03,294.4,5.9,D,0
30.3771,30.0803,321.2,1.1,1.1,2021-01-10,0859,Terra,MODIS,78,6.03,293.4,18.5,D,0
30.1868,30.9537,315.1,1.3,1.1,2021-01-10,0859,Terra,MODIS,71,6.03,292.6,15.8,D,0
30.3752,30.092,318.5,1.1,1.1,2021-01-10,0859,Terra,MODIS,75,6.03,294.1,15.5,D,0
30.0266,31.5087,310.8,1.1,1,2021-01-11,1117,Aqua,MODIS,40,6.03,299.1,6,D,0
30.5831,30.0825,317.1,1,1,2021-01-12,0846,Terra,MODIS,77,6.03,288.3,14.1,D,0
30.2538,30.8211,309,1,1,2021-01-12,0846,Terra,MODIS,62,6.03,296.2,4.8,D,0
29.7803,31.3227,312.9,1,1,2021-01-12,0847,Terra,MODIS,66,6.03,295.4,7.7,D,2
30.4028,30.7201,309.7,1.2,1.1,2021-01-14,0834,Terra,MODIS,67,6.03,292.6,9,D,0
30.399,30.7257,304.5,1.2,1.1,2021-01-14,0834,Terra,MODIS,54,6.03,292.5,4.9,D,0
30.4062,31.7875,304.3,1.1,1,2021-01-14,0834,Terra,MODIS,47,6.03,292.2,4.3,D,0
30.4005,30.7136,303.6,1.2,1.1,2021-01-14,0834,Terra,MODIS,49,6.03,292.3,4.3,D,0
24.4936,33.1772,312,1,1,2021-01-14,0836,Terra,MODIS,49,6.03,293.4,9.2,D,0
27.8767,30.7926,308,2.8,1.6,2021-01-15,0918,Terra,MODIS,38,6.03,290.3,35.2,D,2
24.3757,32.936,315.8,1.1,1.1,2021-01-16,0823,Terra,MODIS,50,6.03,289,13.7,D,2
24.3663,32.9345,319.9,1.1,1.1,2021-01-16,0823,Terra,MODIS,70,6.03,288.1,17.8,D,2
31.4664,31.7349,305.6,2,1.4,2021-01-17,1040,Aqua,MODIS,0,6.03,291.1,16.8,D,2
24.4174,33.2735,301.6,1,1,2021-01-17,2003,Terra,MODIS,42,6.03,280,8.5,N,0
24.4188,33.2833,305.9,1,1,2021-01-17,2003,Terra,MODIS,66,6.03,280.6,11,N,0
24.4222,33.108,328.4,1.6,1.3,2021-01-18,0811,Terra,MODIS,83,6.03,292.7,52.4,D,0
31.1199,29.8053,303.1,1.1,1,2021-01-18,1123,Aqua,MODIS,52,6.03,291.8,5.7,D,2
30.2205,30.6744,325.4,1.1,1.1,2021-01-18,1123,Aqua,MODIS,82,6.03,296.8,23.3,D,0
30.222,30.686,308.4,1.1,1.1,2021-01-18,1123,Aqua,MODIS,58,6.03,295.9,5.4,D,0
30.4294,30.3697,305.5,1,1,2021-01-19,0852,Terra,MODIS,57,6.03,292.7,5,D,0
27.8605,30.8115,310.2,1.1,1.1,2021-01-19,0853,Terra,MODIS,63,6.03,290.7,11.5,D,0
30.2291,30.9264,306,1.1,1,2021-01-19,0853,Terra,MODIS,58,6.03,292.2,5.6,D,0
24.4076,33.305,314,1.2,1.1,2021-01-19,1951,Terra,MODIS,88,6.03,281.3,20.5,N,0
30.4296,30.3683,303.1,1,1,2021-01-20,1111,Aqua,MODIS,54,6.03,291.3,4.3,D,0
29.8052,32.0927,307.6,1,1,2021-01-21,0840,Terra,MODIS,63,6.03,295,5.4,D,0
30.6897,31.9766,304.2,1,1,2021-01-21,0840,Terra,MODIS,56,6.03,291.7,4.2,D,0
30.3589,30.5693,308,1.1,1,2021-01-21,2359,Aqua,MODIS,73,6.03,279.4,13.5,N,0
24.4861,33.181,322.1,1.2,1.1,2021-01-22,1057,Aqua,MODIS,61,6.03,304.1,14.8,D,0
31.4682,31.7345,309.6,1.1,1.1,2021-01-22,1059,Aqua,MODIS,0,6.03,294.9,9.1,D,2
24.4129,33.3221,324.9,1,1,2021-01-23,0829,Terra,MODIS,77,6.03,298.6,16.7,D,0
24.4143,33.3124,326.9,1,1,2021-01-23,0829,Terra,MODIS,79,6.03,297.9,18.8,D,0
