latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3401,-88.5445,319.4,2.8,1.6,2021-01-01,1850,Aqua,MODIS,75,6.03,292.7,50.6,D,0
13.3322,-88.597,354.5,1,1,2021-01-02,1629,Terra,MODIS,97,6.03,300,63.9,D,0
13.5458,-88.6292,321.5,1.2,1.1,2021-01-02,1933,Aqua,MODIS,68,6.03,300.5,15,D,0
13.4211,-88.1663,319.8,1.3,1.1,2021-01-04,1616,Terra,MODIS,73,6.03,298.2,13.6,D,0
13.4051,-88.047,316.6,1.3,1.1,2021-01-04,1616,Terra,MODIS,66,6.03,299,8.7,D,0
13.4067,-88.0588,334.4,1.3,1.1,2021-01-04,1616,Terra,MODIS,86,6.03,299.8,38.2,D,0
14.0844,-89.0414,302,2.3,1.5,2021-01-06,0350,Terra,MODIS,46,6.03,290.9,14.7,N,0
13.4454,-89.0858,319.3,1.3,1.1,2021-01-07,1647,Terra,MODIS,58,6.03,300,13.8,D,0
14.0767,-89.1854,318.7,1.3,1.1,2021-01-07,1647,Terra,MODIS,68,6.03,299.5,10.2,D,0
13.4434,-89.0739,337,1.3,1.1,2021-01-07,1647,Terra,MODIS,88,6.03,300.5,45.6,D,0
13.6437,-88.7812,312.8,1.4,1.2,2021-01-07,1647,Terra,MODIS,44,6.03,297.8,8.8,D,2
13.8097,-89.5152,317.1,1,1,2021-01-09,1635,Terra,MODIS,62,6.03,303.2,8.6,D,0
13.694,-89.9795,323.4,1.2,1.1,2021-01-09,1939,Aqua,MODIS,58,6.03,299.1,16.6,D,0
13.9805,-89.1429,332.5,2,1.4,2021-01-13,1610,Terra,MODIS,85,6.03,296.8,67.7,D,0
13.6111,-89.8143,317.4,1.5,1.2,2021-01-14,1653,Terra,MODIS,63,6.03,301.9,10.7,D,0
13.5793,-88.6536,308.8,1,1,2021-01-18,0414,Terra,MODIS,76,6.03,293.1,7.8,N,0
13.7176,-88.0732,310.2,1,1,2021-01-18,0414,Terra,MODIS,79,6.03,292.6,9,N,0
13.4474,-89.1637,319.2,1,1,2021-01-18,1628,Terra,MODIS,46,6.03,303.8,7.6,D,0
13.8096,-89.508,319.4,1.1,1,2021-01-18,1628,Terra,MODIS,70,6.03,304.1,10.7,D,0
13.4488,-89.1732,321.7,1,1,2021-01-18,1628,Terra,MODIS,37,6.03,305.1,9.3,D,0
13.6544,-89.7491,330.3,1.1,1,2021-01-18,1933,Aqua,MODIS,81,6.03,305.4,18.3,D,0
13.6451,-89.7478,320.3,1.1,1,2021-01-18,1933,Aqua,MODIS,45,6.03,302.9,5.7,D,0
13.4287,-88.0294,320.7,1.3,1.1,2021-01-20,1616,Terra,MODIS,61,6.03,301.8,13.4,D,0
13.6451,-89.7863,324.1,1.1,1,2021-01-20,1920,Aqua,MODIS,72,6.03,308.6,11.1,D,0
14.009,-89.6327,318.9,1,1,2021-01-20,1920,Aqua,MODIS,22,6.03,304.1,9.9,D,0
14.0037,-89.168,328.3,1.3,1.1,2021-01-23,1647,Terra,MODIS,81,6.03,302.3,21.7,D,0
13.7538,-90.054,318.4,1.1,1.1,2021-01-23,1647,Terra,MODIS,60,6.03,302.4,9.1,D,0
13.7554,-90.0645,322.2,1.1,1.1,2021-01-23,1647,Terra,MODIS,74,6.03,304.4,13,D,0
13.7649,-90.0629,329.2,1.1,1.1,2021-01-23,1647,Terra,MODIS,82,6.03,301.3,21.7,D,0
13.4366,-89.0808,335.6,1.3,1.1,2021-01-23,1647,Terra,MODIS,86,6.03,301.1,39.3,D,0
13.3772,-88.0605,321.2,2,1.4,2021-01-24,1856,Aqua,MODIS,71,6.03,298.9,28.9,D,0
13.7218,-88.9313,312.6,1,1,2021-01-25,1634,Terra,MODIS,36,6.03,299.6,5.6,D,0
13.4811,-88.8646,319.5,1,1,2021-01-25,1634,Terra,MODIS,42,6.03,305.9,6.2,D,0
13.4675,-89.2033,330,1,1,2021-01-25,1635,Terra,MODIS,61,6.03,307.3,16.2,D,0
13.4014,-88.8672,325.7,1,1,2021-01-27,1926,Aqua,MODIS,68,6.03,308.4,11.7,D,0
13.4027,-88.8579,322.9,1,1,2021-01-27,1926,Aqua,MODIS,60,6.03,307.5,8,D,0
13.3319,-88.3667,329.9,1.1,1,2021-01-27,1926,Aqua,MODIS,77,6.03,310.8,15.2,D,0
13.2997,-88.2773,322.8,1.1,1,2021-01-27,1926,Aqua,MODIS,66,6.03,308.2,11.1,D,0
14.0232,-89.6139,323.5,1,1,2021-01-27,1927,Aqua,MODIS,45,6.03,309.9,8.8,D,0
14.0154,-89.6294,315.7,2.2,1.4,2021-01-29,1610,Terra,MODIS,59,6.03,300.7,26.1,D,0
13.3895,-89.0001,318.6,1.9,1.4,2021-01-29,1610,Terra,MODIS,48,6.03,303.8,16.3,D,0
13.3792,-89.0041,337.8,1.1,1.1,2021-01-29,1914,Aqua,MODIS,85,6.03,312.3,31.4,D,0
13.7294,-89.5742,320.1,1.2,1.1,2021-01-29,1914,Aqua,MODIS,63,6.03,308.8,10.4,D,0
13.7277,-89.5852,325.1,1.2,1.1,2021-01-29,1914,Aqua,MODIS,74,6.03,307.5,17,D,0
13.3776,-89.0145,330.8,1.1,1.1,2021-01-29,1914,Aqua,MODIS,78,6.03,308.7,19.4,D,0
14.0792,-89.6333,314.7,1.2,1.1,2021-01-29,1914,Aqua,MODIS,39,6.03,302.7,5.6,D,0
13.6356,-88.7849,318,1.1,1,2021-01-29,1914,Aqua,MODIS,29,6.03,305.7,5.3,D,2
13.5393,-88.8154,333.6,1.1,1.1,2021-01-29,1914,Aqua,MODIS,75,6.03,310.1,24.4,D,0
13.5408,-88.8054,333.9,1.1,1.1,2021-01-29,1914,Aqua,MODIS,83,6.03,312.6,23.9,D,0
14.0809,-89.6224,325.6,1.2,1.1,2021-01-29,1914,Aqua,MODIS,77,6.03,303.4,19,D,0
13.6653,-88.7725,318.8,1.7,1.3,2021-01-30,1653,Terra,MODIS,68,6.03,300.3,19.6,D,0
13.3961,-88.8616,302.1,1,1,2021-02-03,0414,Terra,MODIS,47,6.03,292,4.4,N,0
13.578,-88.7991,322.1,1,1,2021-02-03,1628,Terra,MODIS,60,6.03,308.4,10.6,D,0
13.8001,-89.1318,317.8,1.1,1,2021-02-03,1628,Terra,MODIS,64,6.03,300.1,9.5,D,0
13.5534,-89.2746,322.3,1.1,1,2021-02-03,1628,Terra,MODIS,70,6.03,304.3,11.8,D,0
13.5457,-89.2857,322.7,1.1,1,2021-02-03,1628,Terra,MODIS,63,6.03,304.8,11.1,D,0
13.5365,-89.2872,326.6,1.1,1,2021-02-03,1628,Terra,MODIS,73,6.03,303,15,D,0
13.5443,-89.276,336.5,1.1,1,2021-02-03,1628,Terra,MODIS,87,6.03,305.9,30.5,D,0
13.5351,-89.2775,352.4,1.1,1,2021-02-03,1628,Terra,MODIS,96,6.03,305,62.1,D,0
13.2846,-88.381,320,1.2,1.1,2021-02-03,1933,Aqua,MODIS,49,6.03,304.1,10.5,D,0
13.3606,-88.9203,320.7,1.5,1.2,2021-02-05,1616,Terra,MODIS,65,6.03,303,17.6,D,0
13.3831,-88.9723,330.4,1,1,2021-02-05,1920,Aqua,MODIS,75,6.03,306,16.2,D,0
13.3755,-88.9617,324.1,1,1,2021-02-05,1920,Aqua,MODIS,49,6.03,305.9,8.9,D,0
13.3742,-88.9709,323.1,1,1,2021-02-05,1920,Aqua,MODIS,45,6.03,308.1,7.6,D,0
