latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.8195,10.2313,313.4,1,1,2021-01-11,1248,Aqua,MODIS,64,6.03,295.7,7.8,D,0
1.9665,11.3182,319.5,1,1,2021-01-11,1248,Aqua,MODIS,75,6.03,299.5,12.1,D,0
1.9678,11.3271,318.2,1,1,2021-01-11,1248,Aqua,MODIS,73,6.03,297.4,10.8,D,0
2.1415,10.6167,311.4,1,1,2021-01-11,1248,Aqua,MODIS,60,6.03,296.2,5.9,D,0
1.9602,11.2738,324,1,1,2021-01-11,1248,Aqua,MODIS,79,6.03,298.3,16.8,D,0
1.8385,10.2162,324.9,1,1,2021-01-18,1254,Aqua,MODIS,80,6.03,294.9,17.3,D,0
1.706,11.0233,322.6,1,1,2021-01-18,1254,Aqua,MODIS,74,6.03,294,16.6,D,0
1.8149,10.4483,311.1,1.2,1.1,2021-01-20,1242,Aqua,MODIS,62,6.03,294.8,8,D,0
1.8134,10.4376,326.6,1.2,1.1,2021-01-20,1242,Aqua,MODIS,82,6.03,295.2,27.2,D,0
2.1623,11.2456,314.5,1.7,1.3,2021-01-22,1229,Aqua,MODIS,70,6.03,293.8,19.7,D,0
1.7677,9.7654,314.1,1,1,2021-01-25,1300,Aqua,MODIS,56,6.03,297.2,5.8,D,0
1.7808,10.683,312,1.1,1.1,2021-01-25,1300,Aqua,MODIS,57,6.03,295.2,6.6,D,0
2.0222,11.2915,312.4,1.2,1.1,2021-01-25,1300,Aqua,MODIS,58,6.03,293.5,8.3,D,0
2.0985,10.6029,311,1.1,1.1,2021-01-25,1300,Aqua,MODIS,36,6.03,294.4,5.5,D,0
2.0207,11.2805,313.1,1.2,1.1,2021-01-25,1300,Aqua,MODIS,63,6.03,292,9.1,D,0
1.8903,10.8624,305.1,1,1,2021-01-27,1248,Aqua,MODIS,36,6.03,285.4,4,D,0
1.7588,9.7629,313.7,1.1,1,2021-01-27,1248,Aqua,MODIS,72,6.03,284.7,10.4,D,0
1.7681,9.7616,315.8,1.1,1,2021-01-27,1248,Aqua,MODIS,66,6.03,287.3,12.2,D,0
2.1021,11.3181,312.7,1,1,2021-01-27,1248,Aqua,MODIS,60,6.03,289.2,7.3,D,0
2.0018,11.1931,306.6,1,1,2021-01-27,1248,Aqua,MODIS,48,6.03,281.9,4.8,D,0
