latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.4075,36.9415,341.8,1,1,2021-01-13,1100,Aqua,MODIS,86,6.03,315.8,29,D,0
15.4634,37.7192,331.8,1,1,2021-01-13,1100,Aqua,MODIS,72,6.03,319,11.1,D,0
14.5652,36.7555,334.8,1,1,2021-01-13,1100,Aqua,MODIS,76,6.03,315.6,16.7,D,0
14.5639,36.7463,341.5,1,1,2021-01-13,1100,Aqua,MODIS,85,6.03,317.5,26.3,D,0
14.5738,36.7485,340.6,1,1,2021-01-13,1100,Aqua,MODIS,84,6.03,316.2,27,D,0
14.4088,36.9507,353.4,1,1,2021-01-13,1100,Aqua,MODIS,95,6.03,317.3,52.7,D,0
14.5337,36.7334,323.4,1.1,1.1,2021-01-20,0801,Terra,MODIS,63,6.03,308.2,11.2,D,0
14.5262,36.7396,331.4,1.1,1,2021-01-20,1106,Aqua,MODIS,69,6.03,314.5,14,D,0
14.6109,36.7509,336,1.1,1,2021-01-20,1106,Aqua,MODIS,78,6.03,315.5,18.5,D,0
14.5468,37.3356,318,1.4,1.2,2021-01-21,1936,Terra,MODIS,96,6.03,293.7,24.9,N,0
14.5363,37.3373,305.2,1.4,1.2,2021-01-21,1936,Terra,MODIS,63,6.03,293.6,8.7,N,0
14.8949,36.9597,327.7,1,1,2021-02-03,0813,Terra,MODIS,63,6.03,312.8,11.2,D,0
14.451,37.0281,326.4,1,1,2021-02-03,0814,Terra,MODIS,59,6.03,310.5,9.8,D,0
14.878,36.959,339.5,1.7,1.3,2021-02-03,1119,Aqua,MODIS,80,6.03,317.2,47.6,D,0
14.8762,36.944,337,1.7,1.3,2021-02-03,1119,Aqua,MODIS,75,6.03,318.5,37.9,D,0
14.8875,36.9419,337.9,1.7,1.3,2021-02-03,1119,Aqua,MODIS,77,6.03,318.1,40.6,D,0
14.7796,37.0914,324.8,3.2,1.7,2021-02-04,1023,Aqua,MODIS,40,6.03,309.9,36.6,D,0
14.7904,37.0822,306.2,1,1,2021-02-04,1948,Terra,MODIS,67,6.03,293.2,6.7,N,0
15.7631,37.7287,334.8,1.3,1.1,2021-02-09,1042,Aqua,MODIS,38,6.03,316.4,16.9,D,0
15.7838,37.7317,332.5,1.3,1.1,2021-02-09,1042,Aqua,MODIS,32,6.03,313.9,15.8,D,0
15.7613,37.717,334.4,1.3,1.1,2021-02-09,1042,Aqua,MODIS,21,6.03,315.8,16,D,0
15.7686,37.7686,307.6,1.5,1.2,2021-02-09,2006,Terra,MODIS,72,6.03,295.2,11.5,N,0
14.2821,37.4967,304.6,1.4,1.2,2021-02-25,2006,Terra,MODIS,29,6.03,294,6.8,N,0
14.27,37.4855,313.5,1.4,1.2,2021-02-25,2006,Terra,MODIS,87,6.03,294.7,16.1,N,0
14.2716,37.498,304.4,1.4,1.2,2021-02-25,2006,Terra,MODIS,37,6.03,294,6.5,N,0
14.2733,37.5107,303.8,1.4,1.2,2021-02-25,2006,Terra,MODIS,32,6.03,292.9,6.4,N,0
14.2702,37.4867,306.1,1.6,1.2,2021-02-25,2255,Aqua,MODIS,65,6.03,292.3,11.9,N,0
14.2701,37.4935,305.9,1.6,1.2,2021-02-25,2255,Aqua,MODIS,66,6.03,292.2,12.4,N,0
14.284,37.5104,327.5,1.3,1.1,2021-02-26,0819,Terra,MODIS,58,6.03,309.8,14.3,D,0
14.2579,37.4836,325.7,1.3,1.1,2021-02-26,0819,Terra,MODIS,49,6.03,308.6,10.9,D,0
14.3126,37.5279,314.2,1,1,2021-02-27,1953,Terra,MODIS,89,6.03,295.9,11.1,N,0
14.3113,37.5186,310.1,1,1,2021-02-27,1953,Terra,MODIS,79,6.03,295.9,7.7,N,0
14.5011,37.6323,339.1,1.5,1.2,2021-02-28,1112,Aqua,MODIS,80,6.03,321.2,30.5,D,0
14.5176,36.5852,319.2,1.3,1.1,2021-03-01,1941,Terra,MODIS,98,6.03,296.6,21.3,N,0
14.5257,36.5718,305.9,1.3,1.1,2021-03-01,1941,Terra,MODIS,66,6.03,295.5,7.2,N,0
14.5157,36.5735,332.2,1.3,1.1,2021-03-01,1941,Terra,MODIS,100,6.03,297.5,42.6,N,0
14.5148,36.5673,315.7,1.3,1.1,2021-03-01,1941,Terra,MODIS,92,6.03,295.8,16.8,N,0
14.5167,36.5791,345.3,1.3,1.1,2021-03-01,1941,Terra,MODIS,100,6.03,298.2,72.9,N,0
12.7942,43.0445,330.6,1.3,1.1,2021-03-08,1023,Aqua,MODIS,61,6.03,311,18.3,D,0
12.7916,43.0266,329,1.3,1.1,2021-03-08,1023,Aqua,MODIS,50,6.03,314.1,14.2,D,0
