latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.1167,27.7984,305.1,1.6,1.2,2021-04-11,1010,Terra,MODIS,57,6.03,283,17.1,D,0
59.1172,27.8078,310.9,1.3,1.1,2021-04-11,1023,Aqua,MODIS,57,6.03,285.6,15.9,D,0
59.2657,27.7345,300.2,1,1,2021-04-17,0933,Terra,MODIS,25,6.03,289.4,3.6,D,0
58.5371,23.7114,308.4,1.4,1.2,2021-04-18,1016,Terra,MODIS,67,6.03,292,11.4,D,0
58.5325,23.7334,306.9,1.4,1.2,2021-04-18,1016,Terra,MODIS,64,6.03,292.1,10.1,D,0
58.5369,23.7163,301.9,1.6,1.2,2021-04-18,1030,Aqua,MODIS,47,6.03,291.6,7.4,D,0
57.9422,26.3567,307.3,1.1,1,2021-04-19,0921,Terra,MODIS,65,6.03,290.3,7.3,D,0
57.94,26.375,305,1.1,1,2021-04-19,0921,Terra,MODIS,60,6.03,289.6,6,D,0
57.9426,26.355,306.5,1.1,1.1,2021-04-19,1112,Aqua,MODIS,64,6.03,292.6,6.4,D,0
58.0865,27.42,316.7,1.6,1.2,2021-04-20,1017,Aqua,MODIS,77,6.03,289.6,29.1,D,0
58.092,27.4446,322.6,1.6,1.2,2021-04-20,1017,Aqua,MODIS,82,6.03,288.6,39.9,D,0
58.4262,24.537,312.9,1.1,1.1,2021-05-12,1118,Aqua,MODIS,65,6.03,301.4,7.8,D,0
57.8284,26.7663,300.3,2.4,1.5,2021-06-03,1027,Terra,MODIS,33,6.03,290,8.8,D,0
59.0246,24.2336,306,1.2,1.1,2021-06-03,1042,Aqua,MODIS,48,6.03,292.3,5.6,D,0
59.1138,25.0648,304.7,1,1,2021-06-17,1054,Aqua,MODIS,33,6.03,290.2,4.1,D,0
57.8398,27.0178,313.2,1.1,1,2021-06-19,1041,Aqua,MODIS,41,6.03,302,5.9,D,0
58.8049,26.2569,310.6,1.1,1,2021-06-19,1042,Aqua,MODIS,55,6.03,299,5.4,D,0
59.3522,27.5379,312.3,1.2,1.1,2021-06-22,1112,Aqua,MODIS,56,6.03,298.5,7.1,D,0
58.9742,26.3751,311.2,1.1,1,2021-06-25,0950,Terra,MODIS,55,6.03,295.3,7.6,D,0
59.1375,27.6638,308.3,1,1,2021-06-27,0938,Terra,MODIS,51,6.03,284.7,9.6,D,0
58.7263,25.6235,309.3,1.5,1.2,2021-06-30,1023,Aqua,MODIS,51,6.03,298.1,10.4,D,0
58.385,26.465,309,1.2,1.1,2021-07-01,0914,Terra,MODIS,45,6.03,297.2,6.3,D,0
58.4293,26.9837,313.8,1.4,1.2,2021-07-09,1002,Terra,MODIS,57,6.03,299.3,10.4,D,0
58.38,26.4746,313.1,1,1,2021-07-13,0938,Terra,MODIS,0,6.03,296.9,7.6,D,0
59.2363,27.669,312.4,2.9,1.6,2021-07-16,0830,Terra,MODIS,56,6.03,293.5,28.7,D,0
58.417,22.6033,314.8,1.2,1.1,2021-07-16,1009,Terra,MODIS,61,6.03,298.7,11.4,D,0
58.3764,26.4703,313.2,1.1,1,2021-07-17,1106,Aqua,MODIS,0,6.03,299.5,7,D,0
58.3685,26.2199,310.5,1.1,1,2021-07-18,1933,Terra,MODIS,80,6.03,289.5,13,N,0
58.5478,24.3407,322.6,1.2,1.1,2021-07-21,1042,Aqua,MODIS,62,6.03,295.5,22.2,D,0
58.3456,25.3195,313.9,1.2,1.1,2021-07-25,1002,Terra,MODIS,69,6.03,296.5,12.3,D,0
59.2295,26.5554,307.2,2.3,1.5,2021-08-05,0959,Aqua,MODIS,59,6.03,290.8,20.6,D,0
58.9371,23.5385,302.1,1.2,1.1,2021-08-06,1042,Aqua,MODIS,16,6.03,291.5,2.6,D,0
59.1794,26.1922,303.4,1.6,1.2,2021-11-02,1131,Aqua,MODIS,56,6.03,279.6,18.3,D,0
