latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-51.852,-59.1876,325.8,1.2,1.1,2021-09-02,1356,Terra,MODIS,84,6.03,283.6,32.7,D,0
-51.9971,-59.519,316.3,1.1,1.1,2021-09-02,1356,Terra,MODIS,66,6.03,281.8,20.9,D,0
-52.0078,-59.5188,306.3,1,1,2021-09-02,1807,Aqua,MODIS,63,6.03,283.4,10.1,D,0
-51.9534,-59.4306,331.6,1,1,2021-09-02,1807,Aqua,MODIS,86,6.03,284.2,33.3,D,0
-51.9593,-59.4766,331.3,1,1,2021-09-02,1807,Aqua,MODIS,81,6.03,285.6,31.9,D,0
-51.95,-59.4797,318.4,1,1,2021-09-02,1807,Aqua,MODIS,55,6.03,285.4,17.1,D,0
-51.8953,-59.276,312.6,1,1,2021-09-02,1807,Aqua,MODIS,69,6.03,284.6,13.8,D,0
-51.8972,-59.2911,314.6,1,1,2021-09-02,1807,Aqua,MODIS,65,6.03,284.9,15.3,D,0
-51.8943,-59.4188,307.4,1,1,2021-09-02,1807,Aqua,MODIS,33,6.03,283.9,9,D,0
-51.8873,-59.4122,300.7,1,1,2021-09-02,1807,Aqua,MODIS,39,6.03,283.7,6.7,D,0
-51.8931,-59.4579,302.9,1,1,2021-09-02,1807,Aqua,MODIS,41,6.03,283,8.3,D,0
