latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.6936,178.7327,322.6,1,1,2021-01-12,0154,Aqua,MODIS,49,6.03,301.8,7.2,D,0
-16.6898,178.7243,330,1.8,1.3,2021-01-17,0212,Aqua,MODIS,83,6.03,297.6,42,D,0
-16.7016,178.7263,327.2,1.8,1.3,2021-01-17,0212,Aqua,MODIS,80,6.03,297.2,35.6,D,0
-16.6869,178.7411,340.3,1.8,1.3,2021-01-17,0212,Aqua,MODIS,90,6.03,297.2,78.3,D,0
-16.6567,178.7486,310.8,1,1,2021-01-18,1042,Terra,MODIS,80,6.03,293.6,8.4,N,0
-18.2034,-178.816,314.7,1.5,1.2,2021-01-19,0159,Aqua,MODIS,34,6.03,293.3,8.6,D,0
-18.2058,-178.83,316.5,1.5,1.2,2021-01-19,0159,Aqua,MODIS,0,6.03,294.7,11.3,D,0
-18.2078,-178.8156,316,1,1,2021-01-19,2217,Terra,MODIS,65,6.03,298.6,5.7,D,0
-18.221,-178.7883,319.2,1,1,2021-01-19,2217,Terra,MODIS,71,6.03,298.3,8.9,D,0
-16.782,178.5764,315.3,1,1,2021-03-06,2228,Terra,MODIS,63,6.03,296.5,7.5,D,0
-16.7847,178.5668,304.5,1,1,2021-03-07,1041,Terra,MODIS,60,6.03,292.5,4.3,N,0
-16.7833,178.5763,307.9,1,1,2021-03-07,1041,Terra,MODIS,73,6.03,292.6,6.5,N,0
-16.6317,178.7577,319.9,1.1,1.1,2021-03-19,0142,Aqua,MODIS,64,6.03,302.5,11.3,D,0
-17.4473,177.9021,312.5,1,1,2021-06-05,0153,Aqua,MODIS,55,6.03,298.4,6.8,D,0
-18.2206,-178.7848,312.5,1,1,2021-06-23,0141,Aqua,MODIS,55,6.03,295.1,7.7,D,0
-17.9974,177.705,311.5,1,1,2021-06-28,0159,Aqua,MODIS,70,6.03,297.5,6.4,D,0
-17.8689,177.4257,311.3,1.2,1.1,2021-06-28,2215,Terra,MODIS,67,6.03,297.3,7.2,D,0
-16.6827,178.5816,314.9,1,1,2021-07-05,2221,Terra,MODIS,47,6.03,294.9,9.9,D,0
