latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
60.3104,25.5396,304.5,1.1,1,2021-03-03,0040,Aqua,MODIS,60,6.03,270.5,12.9,N,2
62.4896,21.3691,304.4,1,1,2021-04-11,1009,Terra,MODIS,59,6.03,280.6,8.5,D,0
60.31,25.5223,300.3,1.8,1.3,2021-04-15,1137,Aqua,MODIS,0,6.03,286.6,11.2,D,2
60.3683,25.0226,307.8,1.3,1.1,2021-04-18,1030,Aqua,MODIS,66,6.03,291.1,10.7,D,0
60.3727,25.0442,316.5,1.3,1.1,2021-04-18,1030,Aqua,MODIS,77,6.03,291.8,19.9,D,2
63.9103,25.128,300.6,1,1,2021-04-20,1002,Terra,MODIS,40,6.03,283.2,6.1,D,0
63.9071,25.1475,301.1,1,1,2021-04-20,1002,Terra,MODIS,44,6.03,282.9,6.2,D,0
60.9132,26.7953,327.5,1.1,1,2021-05-12,0926,Terra,MODIS,73,6.03,297.3,25.2,D,0
63.4749,22.3762,305.8,2.1,1.4,2021-05-12,1103,Terra,MODIS,43,6.03,291.6,13.4,D,0
63.4741,22.3706,302.8,2.1,1.4,2021-05-12,1103,Terra,MODIS,0,6.03,291.2,10.8,D,0
62.0726,23.1064,310.5,1,1,2021-05-13,1009,Terra,MODIS,61,6.03,298.4,6.3,D,0
61.3179,22.1239,313.3,1,1,2021-05-13,1009,Terra,MODIS,66,6.03,300.8,7.4,D,2
62.0682,23.1174,309.6,1.4,1.2,2021-05-13,1024,Aqua,MODIS,61,6.03,297.7,9.6,D,0
62.5993,23.0353,302.4,1.2,1.1,2021-05-14,0128,Aqua,MODIS,49,6.03,280.7,10.6,N,0
62.3722,24.0224,301,1,1,2021-05-16,1055,Aqua,MODIS,37,6.03,287.2,2.9,D,0
62.7876,22.8711,303.7,1,1,2021-05-25,1049,Aqua,MODIS,31,6.03,291.3,3.5,D,2
61.319,22.1156,312.2,1,1,2021-05-30,1107,Aqua,MODIS,68,6.03,300.5,7.6,D,2
64.647,24.4391,312.6,1.1,1,2021-06-02,0943,Terra,MODIS,0,6.03,297.1,11.3,D,0
61.4321,24.0947,311.8,1,1,2021-06-02,0944,Terra,MODIS,0,6.03,295.6,8,D,0
63.361,27.3975,301.6,1.5,1.2,2021-06-02,1000,Aqua,MODIS,21,6.03,291.4,4.4,D,0
63.2611,30.319,314,1.7,1.3,2021-06-03,0848,Terra,MODIS,50,6.03,294.7,19.4,D,0
63.2578,30.3237,312.7,1.7,1.3,2021-06-03,0848,Terra,MODIS,71,6.03,295,19,D,0
63.2601,30.2902,317,1.7,1.3,2021-06-03,0848,Terra,MODIS,76,6.03,294.3,26.4,D,0
63.2624,30.3029,304.4,3.1,1.7,2021-06-03,0905,Aqua,MODIS,53,6.03,293.5,23.4,D,0
63.2598,30.2977,307.3,3.1,1.7,2021-06-03,0905,Aqua,MODIS,62,6.03,293.5,32.6,D,0
67.1384,28.6777,310.5,1.1,1.1,2021-06-03,1044,Aqua,MODIS,57,6.03,298.8,7.1,D,0
66.6245,28.4061,313.4,1.3,1.1,2021-06-04,0948,Aqua,MODIS,67,6.03,298.5,11.2,D,0
66.6223,28.402,310.8,1.3,1.1,2021-06-04,0948,Aqua,MODIS,62,6.03,298.7,8.6,D,0
66.6264,28.4315,317.7,2.3,1.5,2021-06-04,1108,Terra,MODIS,75,6.03,296.6,43.3,D,0
66.6396,28.39,306.6,2.3,1.5,2021-06-04,1108,Terra,MODIS,53,6.03,295.9,13.9,D,0
66.6224,28.4309,315.9,2.3,1.5,2021-06-04,1108,Terra,MODIS,73,6.03,296.6,37.9,D,0
66.6356,28.3896,309.7,2.3,1.5,2021-06-04,1108,Terra,MODIS,63,6.03,296.1,21.1,D,0
66.6309,28.3995,312.5,2.1,1.4,2021-06-04,1127,Aqua,MODIS,68,6.03,297,21.7,D,0
66.6182,28.4029,315.9,2.1,1.4,2021-06-04,1127,Aqua,MODIS,73,6.03,297.8,30.2,D,0
66.6131,28.3841,303.1,3.4,1.7,2021-06-04,1734,Terra,MODIS,43,6.03,290.2,30.5,D,0
66.6055,28.407,302.1,3.4,1.7,2021-06-04,1734,Terra,MODIS,48,6.03,290.1,29.5,D,0
66.6141,28.4237,316.3,1,1,2021-06-04,1911,Terra,MODIS,93,6.03,286.9,16.5,N,0
66.6175,28.445,300.9,1,1,2021-06-04,1911,Terra,MODIS,35,6.03,286.5,5.8,N,0
66.6225,28.4151,300.2,1,1,2021-06-04,1911,Terra,MODIS,21,6.03,285.8,5.3,N,0
62.5039,23.0185,308.5,1.6,1.2,2021-06-06,0919,Terra,MODIS,38,6.03,293.7,6.8,D,0
66.9259,27.5806,338.1,1,1,2021-06-07,1001,Terra,MODIS,90,6.03,295.6,38.9,D,0
66.9224,27.6021,330.9,1,1,2021-06-07,1001,Terra,MODIS,86,6.03,291.9,28.4,D,0
66.9156,27.5879,308.4,1,1,2021-06-07,1001,Terra,MODIS,63,6.03,293.9,6.3,D,0
66.9181,27.6045,311.6,1,1,2021-06-07,1019,Aqua,MODIS,41,6.03,293.8,7.6,D,0
66.923,27.574,320.8,1,1,2021-06-07,1019,Aqua,MODIS,79,6.03,295.3,16.7,D,0
66.9265,27.5955,312.2,1,1,2021-06-07,1019,Aqua,MODIS,69,6.03,293.8,9.1,D,0
66.9146,27.583,330.7,1,1,2021-06-07,1019,Aqua,MODIS,86,6.03,296.1,27.2,D,0
66.9159,27.626,302.1,3.3,1.7,2021-06-07,1138,Terra,MODIS,36,6.03,288.5,19.8,D,0
66.9134,27.6232,307.6,3.3,1.7,2021-06-07,1138,Terra,MODIS,65,6.03,287.8,37.5,D,0
66.9054,27.5971,303.4,3.3,1.7,2021-06-07,1138,Terra,MODIS,53,6.03,288.9,24.3,D,0
66.9344,27.5705,307.2,3.2,1.7,2021-06-07,1138,Terra,MODIS,64,6.03,289.6,35.6,D,0
66.9158,27.5315,306.4,3.5,1.8,2021-06-07,1157,Aqua,MODIS,38,6.03,289.7,38.9,D,0
66.9217,27.5407,308.4,3.5,1.8,2021-06-07,1157,Aqua,MODIS,58,6.03,288.7,46.7,D,0
63.9913,27.2548,308.1,1,1,2021-06-07,1941,Terra,MODIS,73,6.03,274.7,12.5,N,0
65.8473,28.0819,301.8,1.7,1.3,2021-06-08,1044,Terra,MODIS,28,6.03,287.2,9.4,D,0
62.9635,22.3228,309.3,1,1,2021-06-08,1101,Aqua,MODIS,29,6.03,295.3,4.7,D,0
65.8451,28.0894,304.8,1.3,1.1,2021-06-08,1102,Aqua,MODIS,46,6.03,284.9,8.1,D,0
65.176,28.4825,300.7,1.3,1.1,2021-06-08,1846,Terra,MODIS,41,6.03,285.3,8.8,D,0
63.8766,26.5451,306.1,1,1,2021-06-09,0949,Terra,MODIS,58,6.03,295.4,4.2,D,0
65.2825,28.5829,313.7,1.8,1.3,2021-06-10,0854,Terra,MODIS,70,6.03,290.4,24.1,D,0
60.9815,28.0415,304.2,4.3,1.9,2021-06-10,0911,Aqua,MODIS,34,6.03,292.9,33.3,D,0
60.9794,28.045,304.3,4.3,1.9,2021-06-10,0911,Aqua,MODIS,37,6.03,292.9,33.1,D,0
65.1496,27.5474,316.5,2.7,1.6,2021-06-10,0912,Aqua,MODIS,52,6.03,288.2,54.8,D,0
