latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.3455,3.4725,301.1,1.6,1.2,2021-01-04,1111,Terra,MODIS,45,6.03,278.3,13.5,D,0
43.4428,4.8992,304.5,1.2,1.1,2021-01-05,2123,Terra,MODIS,60,6.03,273.6,15.2,N,2
51.0453,2.2957,303.3,1,1,2021-01-06,1057,Terra,MODIS,0,6.03,271.7,9.4,D,2
43.4436,4.9003,309.2,1,1,2021-01-08,1046,Terra,MODIS,52,6.03,278.8,13.4,D,2
51.0382,2.2979,300.7,1.1,1.1,2021-01-08,1231,Aqua,MODIS,31,6.03,277.7,8.4,D,2
51.0322,2.2806,301.5,1,1,2021-01-09,0203,Aqua,MODIS,21,6.03,273.9,9,N,2
43.2025,3.0195,301,1,1,2021-01-11,1259,Aqua,MODIS,43,6.03,276.9,8.4,D,0
43.4495,4.9007,302.3,1.5,1.2,2021-01-13,1105,Terra,MODIS,39,6.03,285,12,D,2
43.4453,4.902,302.1,1,1,2021-01-13,1247,Aqua,MODIS,36,6.03,283.6,6.4,D,2
43.4492,4.8959,300.1,2.1,1.4,2021-01-13,2212,Terra,MODIS,18,6.03,277.1,23.7,N,2
43.4469,4.9064,301,1.3,1.1,2021-01-15,0128,Aqua,MODIS,36,6.03,277,12.9,N,2
43.4486,6.2217,303.4,1,1,2021-01-15,1235,Aqua,MODIS,49,6.03,283.8,7.7,D,0
43.5224,3.1574,337.4,1.2,1.1,2021-01-15,1235,Aqua,MODIS,90,6.03,281.8,58.9,D,0
43.7537,6.0428,301.9,1.1,1,2021-01-24,1046,Terra,MODIS,47,6.03,279.2,9.1,D,0
43.4475,4.9002,302.3,1,1,2021-01-24,1046,Terra,MODIS,39,6.03,282.3,8,D,2
43.4446,4.8989,302.2,1.2,1.1,2021-01-24,1229,Aqua,MODIS,0,6.03,284.3,9.4,D,2
43.446,4.9008,316.3,1,1,2021-01-26,1034,Terra,MODIS,58,6.03,281.9,18.7,D,2
43.4455,4.8897,301.3,1.3,1.1,2021-01-28,1022,Terra,MODIS,40,6.03,277.3,9.9,D,2
43.4472,4.8961,308.3,1.5,1.2,2021-01-29,1105,Terra,MODIS,50,6.03,289.5,16.6,D,2
42.3125,9.3563,316,1.1,1.1,2021-01-30,1010,Terra,MODIS,61,6.03,285.5,19.8,D,0
43.447,4.8926,302.4,1.1,1.1,2021-01-31,1052,Terra,MODIS,39,6.03,285.8,7.7,D,2
43.4447,4.9062,301.5,1.1,1.1,2021-01-31,1052,Terra,MODIS,36,6.03,285.6,7.1,D,2
44.3988,6.0281,306.3,1,1,2021-01-31,1235,Aqua,MODIS,60,6.03,279.7,10.2,D,0
45.105,5.2506,318.6,1,1,2021-01-31,1235,Aqua,MODIS,74,6.03,283.5,19.1,D,0
43.6913,5.8328,328.7,1,1,2021-01-31,1235,Aqua,MODIS,86,6.03,285.9,30.3,D,0
45.107,5.2634,330.9,1,1,2021-01-31,1235,Aqua,MODIS,82,6.03,283.1,33.3,D,0
43.7512,5.9778,302.4,1,1,2021-01-31,1235,Aqua,MODIS,46,6.03,285,6.8,D,0
43.6893,5.8204,301.3,1,1,2021-01-31,1235,Aqua,MODIS,46,6.03,284.6,6.2,D,0
43.7501,6.0302,335.6,1,1,2021-01-31,1235,Aqua,MODIS,85,6.03,286.2,39.7,D,0
43.4472,4.9014,303.9,1.1,1,2021-02-02,2147,Terra,MODIS,57,6.03,280.3,10.1,N,2
44.6744,0.4722,309.2,1,1,2021-02-03,0158,Aqua,MODIS,77,6.03,280.9,13.5,N,0
42.5624,2.5969,313,2.2,1.4,2021-02-03,1123,Terra,MODIS,73,6.03,286.5,39.6,D,0
42.5636,2.5894,323.8,2.2,1.4,2021-02-03,1123,Terra,MODIS,70,6.03,287.4,64.7,D,0
42.5692,2.5668,323.2,2.1,1.4,2021-02-03,1123,Terra,MODIS,82,6.03,287.9,67.9,D,0
42.57,2.5601,315.4,2.1,1.4,2021-02-03,1123,Terra,MODIS,34,6.03,287.6,40.3,D,0
42.9959,-0.6128,309.9,1,1,2021-02-03,1305,Aqua,MODIS,52,6.03,281.7,12.2,D,0
43.5415,4.7816,321.7,1.1,1,2021-02-05,1253,Aqua,MODIS,70,6.03,277.8,22.2,D,0
43.5307,4.7707,325.9,1.1,1,2021-02-05,1253,Aqua,MODIS,0,6.03,271,25.6,D,0
42.9983,-0.3739,308,1.1,1.1,2021-02-05,1253,Aqua,MODIS,63,6.03,282.2,12.1,D,0
43.5398,4.7685,345.9,1.1,1,2021-02-05,1253,Aqua,MODIS,88,6.03,277.4,61.7,D,0
42.9958,-0.3886,305.3,1.1,1.1,2021-02-05,1253,Aqua,MODIS,61,6.03,283.8,10,D,0
43.4459,4.8933,303.8,1.2,1.1,2021-02-06,2122,Terra,MODIS,57,6.03,283.5,11.3,N,2
51.0258,2.2717,317.9,1.2,1.1,2021-02-09,1044,Terra,MODIS,56,6.03,271.6,26.1,D,2
