latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.5356,-53.5078,310.3,1.2,1.1,2021-02-20,1656,Aqua,MODIS,62,6.03,293.9,8.6,D,0
4.737,-52.9238,310.7,1.1,1.1,2021-03-08,1656,Aqua,MODIS,23,6.03,295.1,5.3,D,0
5.1639,-52.6403,308,1.6,1.2,2021-03-20,1420,Terra,MODIS,0,6.03,290,10.8,D,2
4.4789,-52.509,317.2,1,1,2021-03-31,1702,Aqua,MODIS,70,6.03,299.6,9,D,0
4.9253,-52.2979,308.5,3,1.6,2021-05-05,1432,Terra,MODIS,0,6.03,290,29.8,D,2
4.925,-52.3048,308.4,3,1.6,2021-05-05,1432,Terra,MODIS,0,6.03,289.7,30.4,D,2
5.1637,-52.6487,311.5,1.6,1.2,2021-06-24,1419,Terra,MODIS,0,6.03,295.9,14.3,D,2
5.1651,-52.6446,312.7,1,1,2021-07-05,1400,Terra,MODIS,0,6.03,295.5,5.4,D,2
4.9358,-52.2995,307.5,3,1.6,2021-07-08,1431,Terra,MODIS,0,6.03,290.6,23.6,D,2
5.4034,-53.1078,312.4,3.1,1.7,2021-07-18,1632,Aqua,MODIS,51,6.03,293.2,35.7,D,0
5.4042,-53.1008,313,3.1,1.7,2021-07-18,1632,Aqua,MODIS,48,6.03,293.2,35.9,D,0
5.1652,-52.6438,311.8,1.6,1.2,2021-07-26,1418,Terra,MODIS,0,6.03,295.3,12.7,D,2
4.9382,-52.3101,308.7,3.9,1.8,2021-07-31,1436,Terra,MODIS,0,6.03,290.4,44.4,D,2
5.1627,-52.6432,312.9,1.6,1.3,2021-08-01,1644,Aqua,MODIS,0,6.03,296.3,13,D,2
4.9338,-52.2985,310.5,3,1.6,2021-08-09,1430,Terra,MODIS,0,6.03,294.7,29.1,D,2
4.9348,-52.3057,311.6,2.2,1.4,2021-08-18,1424,Terra,MODIS,0,6.03,295.1,19.8,D,2
4.9925,-52.5605,303.1,1,1,2021-08-20,0153,Terra,MODIS,53,6.03,292.9,3.6,N,0
5.334,-52.9333,318.1,1,1,2021-08-22,1702,Aqua,MODIS,71,6.03,298.2,9,D,0
5.4198,-53.1081,317.2,1,1,2021-08-22,1702,Aqua,MODIS,70,6.03,299.2,7.1,D,0
5.3903,-53.0965,319.3,1.4,1.2,2021-08-24,1650,Aqua,MODIS,45,6.03,296.3,16.6,D,0
5.4196,-53.0951,320.3,1.4,1.2,2021-08-24,1650,Aqua,MODIS,41,6.03,298.9,15.4,D,0
5.1666,-52.6467,314.1,1.6,1.2,2021-08-27,1418,Terra,MODIS,0,6.03,296.4,15.1,D,2
4.8953,-52.5009,310.9,1,1,2021-09-07,1359,Terra,MODIS,57,6.03,291.1,4.9,D,0
5.0913,-52.7737,340.6,1,1,2021-09-14,1708,Aqua,MODIS,90,6.03,300,39.6,D,0
5.09,-52.7831,323.4,1,1,2021-09-14,1708,Aqua,MODIS,77,6.03,298.6,14.8,D,0
4.9946,-52.565,317.9,1.1,1,2021-09-16,1656,Aqua,MODIS,71,6.03,298.4,10.3,D,0
4.847,-52.3299,313.3,1.3,1.1,2021-09-21,1411,Terra,MODIS,57,6.03,297.4,11,D,0
5.5446,-53.6007,324,1.5,1.2,2021-09-25,1650,Aqua,MODIS,79,6.03,296,29.5,D,0
5.094,-52.7853,313.2,1.3,1.1,2021-09-25,1650,Aqua,MODIS,63,6.03,299.1,9.5,D,0
