latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-10.5364,-138.6345,311.3,1.2,1.1,2021-01-06,1928,Terra,MODIS,0,6.03,297.6,7.7,D,3
-10.5448,-138.6507,311.6,1.2,1.1,2021-01-22,1928,Terra,MODIS,31,6.03,298.1,8.5,D,3
-10.5438,-138.658,313.1,1.9,1.3,2021-01-24,1916,Terra,MODIS,30,6.03,298.9,20,D,3
-10.5421,-138.6494,318.9,1.4,1.2,2021-01-31,1922,Terra,MODIS,27,6.03,303.3,20.4,D,3
-10.5424,-138.6398,311.2,2.4,1.5,2021-02-02,1910,Terra,MODIS,26,6.03,298.3,25,D,3
-10.5416,-138.6486,310.2,4.2,1.9,2021-02-04,1857,Terra,MODIS,27,6.03,297.5,57.4,D,3
-9.902,-139.0774,311.6,1.6,1.3,2021-02-10,1958,Terra,MODIS,0,6.03,297.9,17,D,0
-10.5353,-138.6578,312.9,3.2,1.7,2021-02-11,1903,Terra,MODIS,36,6.03,297.6,46.3,D,3
-10.5425,-138.6492,317.1,1.4,1.2,2021-02-16,1922,Terra,MODIS,44,6.03,302.2,17.1,D,3
-10.5457,-138.6568,318.3,1.6,1.3,2021-02-22,2315,Aqua,MODIS,40,6.03,305.2,24.7,D,3
-8.8802,-140.2247,318,1,1,2021-02-24,2303,Aqua,MODIS,0,6.03,299.4,9.8,D,0
-10.539,-138.6586,312.2,2.1,1.4,2021-03-01,2321,Aqua,MODIS,30,6.03,298.8,20,D,3
-10.5353,-138.6374,313.7,1.4,1.2,2021-03-04,1922,Terra,MODIS,0,6.03,298.7,11.6,D,3
-10.4834,-138.6729,311.2,1.1,1,2021-03-12,2302,Aqua,MODIS,0,6.03,297.3,4.8,D,3
-8.7999,-140.2133,317.5,1.9,1.4,2021-04-17,2238,Aqua,MODIS,22,6.03,300.3,22.8,D,0
-8.8846,-139.5284,312.8,2.3,1.5,2021-04-30,1914,Terra,MODIS,0,6.03,296.7,26.8,D,0
-8.7918,-140.201,311.2,1.2,1.1,2021-05-01,2251,Aqua,MODIS,15,6.03,296.9,9.8,D,0
-9.7586,-139.1128,313.1,1.6,1.3,2021-06-04,2238,Aqua,MODIS,47,6.03,299.4,18.3,D,0
-9.75,-139.1059,311.5,1,1,2021-07-31,1937,Terra,MODIS,21,6.03,298.3,8,D,0
-8.8393,-140.1823,315,1.7,1.3,2021-09-23,0812,Terra,MODIS,87,6.03,290.9,29.9,N,0
-10.5439,-138.6545,311,1.3,1.1,2021-10-13,2309,Aqua,MODIS,22,6.03,299.8,8.9,D,3
-10.5416,-138.6458,314.3,1.6,1.3,2021-11-05,2315,Aqua,MODIS,28,6.03,304.1,18.4,D,3
-8.8751,-140.226,314.1,1,1,2021-11-23,2303,Aqua,MODIS,0,6.03,298.3,8,D,0
