latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.9578,9.8795,303.6,1.1,1.1,2021-01-02,0957,Terra,MODIS,48,6.03,275.1,5.3,D,2
-1.9549,9.8797,305.2,1.1,1.1,2021-01-05,0103,Aqua,MODIS,63,6.03,291.3,6.5,N,2
-0.7423,12.9725,301.7,1,1,2021-01-08,2141,Terra,MODIS,44,6.03,291.3,3.8,N,0
-0.6473,12.3499,302.6,1,1,2021-01-11,1247,Aqua,MODIS,53,6.03,282.2,4.2,D,0
1.5741,11.7322,309.2,1,1,2021-01-11,1248,Aqua,MODIS,50,6.03,294.4,4.5,D,0
-0.8548,10.3096,304.1,3,1.6,2021-01-15,1223,Aqua,MODIS,15,6.03,286.2,13.6,D,0
-0.8594,10.2902,304.8,3,1.6,2021-01-15,1223,Aqua,MODIS,15,6.03,284.9,15.1,D,0
-0.7389,12.9716,303.9,1.2,1.1,2021-01-15,2147,Terra,MODIS,58,6.03,291,6.1,N,0
-0.7404,12.9612,301.5,1.2,1.1,2021-01-15,2147,Terra,MODIS,42,6.03,291.1,4.4,N,0
-3.269,11.4106,333.3,1.3,1.1,2021-01-16,1305,Aqua,MODIS,86,6.03,295.4,39.8,D,0
-3.2625,11.4042,316,1.3,1.1,2021-01-16,1305,Aqua,MODIS,53,6.03,294.2,10.5,D,0
-3.2608,11.4161,322.2,1.3,1.1,2021-01-16,1305,Aqua,MODIS,77,6.03,293.9,19.3,D,0
-3.2672,11.4226,323.6,1.3,1.1,2021-01-16,1305,Aqua,MODIS,78,6.03,294.7,21.3,D,0
-1.9656,9.8726,309.8,1,1,2021-01-18,1253,Aqua,MODIS,57,6.03,285.1,6.8,D,2
2.0949,11.4934,315.9,1.1,1,2021-01-18,1254,Aqua,MODIS,43,6.03,295.8,7.7,D,2
2.112,11.4813,314.7,1.1,1,2021-01-18,1254,Aqua,MODIS,49,6.03,294.9,7.4,D,0
2.1467,11.4126,314.4,1.1,1,2021-01-18,1254,Aqua,MODIS,56,6.03,291.6,9,D,0
-1.3155,14.404,309.1,1.3,1.1,2021-01-20,0944,Terra,MODIS,37,6.03,280.2,10.7,D,0
-0.6437,12.3445,305.4,1,1,2021-01-20,1241,Aqua,MODIS,27,6.03,282.7,4.6,D,0
-0.865,12.6674,315,1,1,2021-01-20,1241,Aqua,MODIS,71,6.03,293.1,9.3,D,0
-0.8663,12.6582,311.6,1,1,2021-01-20,1241,Aqua,MODIS,57,6.03,294.3,6.4,D,0
-1.5243,9.9548,308,1.4,1.2,2021-01-20,1241,Aqua,MODIS,54,6.03,292.8,6.7,D,2
-0.7389,12.9665,313,1,1,2021-01-20,1241,Aqua,MODIS,63,6.03,295.6,6.4,D,0
0.8175,9.7019,305.2,1.4,1.2,2021-01-20,1241,Aqua,MODIS,26,6.03,290.2,3.8,D,0
2.0075,11.5119,314,1.1,1,2021-01-20,1242,Aqua,MODIS,69,6.03,296,9.3,D,0
-1.5224,9.957,304.6,1.1,1.1,2021-01-21,0103,Aqua,MODIS,61,6.03,288.9,6.6,N,2
-2.1269,11.2411,312,3,1.7,2021-01-21,1323,Aqua,MODIS,64,6.03,289.1,31.3,D,0
1.8763,11.4132,308.9,1.7,1.3,2021-01-22,1229,Aqua,MODIS,53,6.03,292.8,11,D,0
-0.8639,12.6628,308.4,1.4,1.2,2021-01-25,1259,Aqua,MODIS,26,6.03,289.4,4.8,D,0
-2.5439,11.522,317.6,1.1,1.1,2021-01-25,1259,Aqua,MODIS,71,6.03,296.2,10,D,0
2.0423,11.5048,319.3,1.3,1.1,2021-01-25,1300,Aqua,MODIS,72,6.03,293.3,17.1,D,0
-2.3477,11.1633,314.7,1,1,2021-01-27,1247,Aqua,MODIS,70,6.03,288.5,9.4,D,0
2.1263,11.4869,329.3,1,1,2021-01-27,1248,Aqua,MODIS,85,6.03,294.3,22.6,D,0
-0.7062,10.2638,310.5,1.1,1.1,2021-02-01,0044,Aqua,MODIS,80,6.03,289.6,10.5,N,0
-0.6966,10.2652,307,1.1,1.1,2021-02-01,0044,Aqua,MODIS,70,6.03,289.9,8,N,0
-3.42,10.6893,304.4,2.2,1.4,2021-02-01,1009,Terra,MODIS,0,6.03,282.4,13.4,D,0
-0.703,10.2649,315.7,1.8,1.3,2021-02-01,1009,Terra,MODIS,64,6.03,284.8,26,D,0
2.2015,11.6647,322.8,1.7,1.3,2021-02-01,1306,Aqua,MODIS,79,6.03,293.1,34.4,D,0
-0.7056,10.2649,321.1,1.2,1.1,2021-02-01,1306,Aqua,MODIS,77,6.03,284.9,18.5,D,0
-0.7411,12.9672,303.9,1,1,2021-02-02,2135,Terra,MODIS,57,6.03,280.7,6.2,N,0
-0.7047,10.2614,303.2,1.3,1.1,2021-02-02,2135,Terra,MODIS,54,6.03,291.1,6.2,N,0
-0.9044,9.4338,311.3,1.1,1,2021-02-03,0957,Terra,MODIS,47,6.03,292.4,5.4,D,0
-1.5902,9.9774,311.3,1.1,1.1,2021-02-03,0957,Terra,MODIS,60,6.03,293.6,6.5,D,0
-2.1628,11.1035,316.6,1,1,2021-02-03,1253,Aqua,MODIS,65,6.03,297.2,6.3,D,0
-1.5258,9.9542,318.2,1,1,2021-02-03,1253,Aqua,MODIS,72,6.03,293.5,10.6,D,2
-0.7084,10.263,313.1,1,1,2021-02-03,1253,Aqua,MODIS,30,6.03,290.9,4.9,D,0
-1.9564,9.8745,313.1,1,1,2021-02-05,0945,Terra,MODIS,53,6.03,289.8,7.2,D,2
-2.7645,11.5131,312.9,1.2,1.1,2021-02-05,1240,Aqua,MODIS,45,6.03,295.3,8,D,0
-2.766,11.5026,322.3,1.2,1.1,2021-02-05,1240,Aqua,MODIS,77,6.03,294.2,19.2,D,0
