latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.1495,40.8104,302.7,1.1,1,2021-01-03,1031,Aqua,MODIS,53,6.03,285.4,8.1,D,0
42.5129,41.6602,325.8,1.4,1.2,2021-01-04,0754,Terra,MODIS,84,6.03,288.2,39.2,D,0
42.4652,41.9158,307.8,1.3,1.1,2021-01-04,0754,Terra,MODIS,66,6.03,287.4,13.8,D,0
42.5148,41.7024,316.7,2.8,1.6,2021-01-04,0936,Aqua,MODIS,66,6.03,289.9,69.1,D,0
42.4264,41.9337,319.3,2.7,1.6,2021-01-04,0936,Aqua,MODIS,79,6.03,289.3,78.1,D,0
42.4186,41.9017,314.9,2.8,1.6,2021-01-04,0936,Aqua,MODIS,75,6.03,289.1,61.9,D,0
42.2451,42.0947,300.3,2.7,1.6,2021-01-04,0936,Aqua,MODIS,34,6.03,287.8,20.5,D,0
42.5262,41.7013,314.5,2.8,1.6,2021-01-04,0936,Aqua,MODIS,75,6.03,290.1,59.7,D,0
42.4557,41.7863,314.9,4.6,2,2021-01-04,1114,Aqua,MODIS,62,6.03,289.1,128.4,D,0
42.4551,41.795,310.4,4.6,2,2021-01-04,1114,Aqua,MODIS,37,6.03,289,96.8,D,0
42.5585,41.649,317.7,1.1,1.1,2021-01-04,1900,Terra,MODIS,58,6.03,284.6,18.3,N,0
42.5609,41.6627,325.6,1.1,1.1,2021-01-04,1900,Terra,MODIS,80,6.03,285.1,29,N,0
42.5755,41.6085,316.2,1.1,1.1,2021-01-04,1900,Terra,MODIS,93,6.03,284.9,19.4,N,0
42.5562,41.6353,314.1,1.1,1.1,2021-01-04,1900,Terra,MODIS,38,6.03,284.3,16,N,0
43.3417,40.204,300.6,1.3,1.1,2021-01-04,1900,Terra,MODIS,31,6.03,275.7,11.8,N,0
42.5661,41.6115,300.9,1.1,1.1,2021-01-04,1900,Terra,MODIS,19,6.03,284,7.1,N,0
42.5685,41.6252,301.1,1.1,1.1,2021-01-04,1900,Terra,MODIS,18,6.03,284,7.2,N,0
42.5662,41.6692,302.5,1.1,1.1,2021-01-04,1900,Terra,MODIS,50,6.03,284.7,8.8,N,0
42.5638,41.6555,312.2,1.1,1.1,2021-01-04,1900,Terra,MODIS,84,6.03,284.8,15.9,N,0
42.5793,41.7716,327.5,1.1,1.1,2021-01-04,1900,Terra,MODIS,100,6.03,284.4,34.2,N,0
42.5369,42.0733,307,1.1,1.1,2021-01-04,1900,Terra,MODIS,70,6.03,284.8,11.3,N,0
42.5411,42.0661,307.7,1.1,1.1,2021-01-04,1900,Terra,MODIS,72,6.03,284.6,12.8,N,0
42.5515,41.6657,310.9,1.1,1.1,2021-01-04,1900,Terra,MODIS,23,6.03,283.7,13.1,N,0
42.0772,41.7889,301.9,1.2,1.1,2021-01-04,1900,Terra,MODIS,45,6.03,280.9,10.2,N,0
42.577,41.7581,314.7,1.1,1.1,2021-01-04,1900,Terra,MODIS,90,6.03,284.3,18.6,N,0
42.5827,41.7643,300.5,1.1,1.1,2021-01-04,1900,Terra,MODIS,28,6.03,283.5,8.1,N,0
42.5827,41.707,301.6,1.1,1.1,2021-01-04,1900,Terra,MODIS,43,6.03,283.2,8.5,N,0
42.5779,41.6222,324.9,1.1,1.1,2021-01-04,1900,Terra,MODIS,100,6.03,285.4,29.5,N,0
