latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.4941,6.7403,334.4,1,1,2021-01-01,1038,Terra,MODIS,77,6.03,272.9,40.3,D,2
51.3628,6.7115,319.2,1,1,2021-01-01,1224,Aqua,MODIS,79,6.03,275.8,21.4,D,2
51.3607,6.6975,306.8,1,1,2021-01-01,1224,Aqua,MODIS,61,6.03,274.5,11.4,D,2
51.4874,6.7312,300,1,1,2021-01-01,1225,Aqua,MODIS,16,6.03,275.9,7.2,D,2
52.1508,10.4022,306.6,1,1,2021-01-10,1218,Aqua,MODIS,64,6.03,276.9,12.5,D,2
52.154,10.4013,305.9,1.4,1.2,2021-01-12,2131,Terra,MODIS,66,6.03,273,20.9,N,2
51.4934,6.7341,306.8,1.1,1,2021-01-12,2131,Terra,MODIS,69,6.03,274.3,13,N,2
52.1596,10.4074,312,1,1,2021-01-22,0131,Aqua,MODIS,84,6.03,279.4,15.2,N,2
53.1338,8.6946,300.4,1.2,1.1,2021-01-22,1056,Terra,MODIS,27,6.03,271,11.6,D,2
53.137,8.6776,301.6,1.2,1.1,2021-01-22,1056,Terra,MODIS,36,6.03,269.6,12.4,D,2
54.8467,8.6686,302.4,1,1,2021-01-31,1049,Terra,MODIS,52,6.03,273.6,10.1,D,0
54.8155,8.8561,303.7,1,1,2021-01-31,1049,Terra,MODIS,57,6.03,273.2,11.2,D,0
51.3666,6.7048,301.3,1,1,2021-01-31,1050,Terra,MODIS,35,6.03,272.1,9.6,D,2
51.4851,6.7198,300.5,1,1,2021-01-31,1050,Terra,MODIS,0,6.03,266.5,8.5,D,2
51.4829,6.7045,306,1.1,1,2021-01-31,1237,Aqua,MODIS,0,6.03,277.4,11.8,D,2
51.4794,6.719,302.3,1.2,1.1,2021-02-04,1026,Terra,MODIS,0,6.03,277.5,8.6,D,2
51.0642,6.8284,304.5,1,1,2021-02-09,1231,Aqua,MODIS,51,6.03,267.6,11.8,D,2
49.2427,6.8501,302,1,1,2021-02-16,1236,Aqua,MODIS,50,6.03,280.1,7.7,D,2
53.1369,8.6901,302.5,1.1,1,2021-02-19,0156,Aqua,MODIS,50,6.03,277.1,11,N,2
51.4883,6.7122,304.3,1,1,2021-02-19,0156,Aqua,MODIS,42,6.03,277.2,10.1,N,2
51.3688,6.7099,308.8,1.2,1.1,2021-02-20,1025,Terra,MODIS,59,6.03,282.7,14.3,D,2
52.1602,10.4186,300.5,1,1,2021-02-20,1025,Terra,MODIS,24,6.03,279.7,5.4,D,2
51.4886,6.7299,302.2,1.2,1.1,2021-02-20,1025,Terra,MODIS,33,6.03,284.4,7.2,D,2
52.1533,10.4008,310.6,1,1,2021-02-20,1025,Terra,MODIS,70,6.03,280.1,12.2,D,2
52.1492,10.3963,313,1,1,2021-02-20,1212,Aqua,MODIS,73,6.03,282.5,13.2,D,2
49.4557,9.5115,311,1,1,2021-02-20,1212,Aqua,MODIS,71,6.03,284.2,12.6,D,0
50.0485,10.4552,306.4,1,1,2021-02-20,1212,Aqua,MODIS,63,6.03,281.8,9.1,D,0
52.1513,10.4106,304.2,1,1,2021-02-20,1212,Aqua,MODIS,58,6.03,282.8,7,D,2
51.4854,6.724,301.3,1.1,1.1,2021-02-20,1212,Aqua,MODIS,0,6.03,286.9,5.8,D,2
51.3638,6.7066,308.2,1.1,1.1,2021-02-20,1212,Aqua,MODIS,0,6.03,286.5,11.7,D,2
49.6801,9.869,302.8,1,1,2021-02-20,1212,Aqua,MODIS,54,6.03,283.9,6.7,D,0
53.5191,9.9027,315.5,1,1,2021-02-20,1213,Aqua,MODIS,57,6.03,280.3,15.9,D,2
52.1551,10.3911,307.4,1.7,1.3,2021-02-20,2137,Terra,MODIS,71,6.03,274.9,25.8,N,2
52.1541,10.4095,305.6,1.7,1.3,2021-02-20,2137,Terra,MODIS,53,6.03,274.4,21.9,N,2
51.4821,6.717,306.9,1,1,2021-02-21,0144,Aqua,MODIS,7,6.03,279.8,9.2,N,2
53.1351,8.6844,332.6,1,1,2021-02-21,0144,Aqua,MODIS,100,6.03,276.4,37.4,N,2
