latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.4618,24.0293,312.1,1.4,1.2,2021-01-04,0934,Terra,MODIS,53,6.03,287.5,18.5,D,0
38.6688,22.9066,302.4,1.9,1.3,2021-01-09,0952,Terra,MODIS,52,6.03,289.2,11,D,0
38.3848,23.0531,305,1,1,2021-01-09,1131,Aqua,MODIS,60,6.03,290.2,5.3,D,0
38.383,23.0415,302.1,1,1,2021-01-09,1131,Aqua,MODIS,51,6.03,289.9,3.7,D,0
39.7874,22.424,300.6,1,1,2021-01-09,1132,Aqua,MODIS,38,6.03,288.8,3.7,D,0
37.1996,24.4839,327.2,1.6,1.3,2021-01-11,0940,Terra,MODIS,0,6.03,291.4,51.3,D,0
40.4596,21.2035,312.5,1.1,1,2021-01-30,1150,Aqua,MODIS,73,6.03,283.5,15,D,0
38.4504,23.0758,304.1,1.1,1.1,2021-02-03,1125,Aqua,MODIS,52,6.03,292.9,4.6,D,0
41.1787,24.0645,302.2,1,1,2021-02-03,1126,Aqua,MODIS,51,6.03,291,3.9,D,0
40.3907,22.51,300.9,1.1,1.1,2021-02-03,1126,Aqua,MODIS,42,6.03,289.7,4.5,D,0
40.9616,23.1232,302.1,2.3,1.5,2021-02-04,1209,Aqua,MODIS,50,6.03,289.4,14,D,0
40.4251,21.165,301,1.8,1.3,2021-02-04,1209,Aqua,MODIS,43,6.03,290.1,7.6,D,0
40.9566,23.1189,300,2.3,1.5,2021-02-04,1209,Aqua,MODIS,23,6.03,289.5,11.1,D,0
35.0845,25.9078,307.4,1.8,1.3,2021-02-05,0934,Terra,MODIS,65,6.03,290.4,18.5,D,0
35.0889,25.8861,304.2,1.8,1.3,2021-02-05,0934,Terra,MODIS,56,6.03,287,14.5,D,0
38.0621,24.4939,304.5,2.8,1.6,2021-02-06,0838,Terra,MODIS,59,6.03,290.5,25.5,D,0
38.06,24.4873,309.8,2.8,1.6,2021-02-06,0838,Terra,MODIS,69,6.03,291,41.2,D,0
37.6554,24.3833,309.2,1.1,1,2021-02-09,0909,Terra,MODIS,68,6.03,290.3,9.9,D,0
38.7958,21.1291,302.7,1.1,1,2021-02-12,0939,Terra,MODIS,46,6.03,287.2,6.8,D,0
40.581,22.6745,305.3,1.2,1.1,2021-02-12,0939,Terra,MODIS,61,6.03,277.4,11.5,D,0
40.6002,22.7572,306.2,1.2,1.1,2021-02-12,0939,Terra,MODIS,63,6.03,277.8,12.2,D,0
40.6026,22.7438,304.1,1.2,1.1,2021-02-12,0939,Terra,MODIS,58,6.03,278,10.6,D,0
40.7114,22.7118,305.1,1.2,1.1,2021-02-12,0939,Terra,MODIS,60,6.03,278.7,11.2,D,0
40.5774,22.6803,303.4,1.3,1.1,2021-02-12,1120,Aqua,MODIS,55,6.03,279.6,10.3,D,0
40.58,22.6948,304.4,1.3,1.1,2021-02-12,1120,Aqua,MODIS,59,6.03,280.3,11,D,0
40.6348,22.6567,321.3,1.3,1.1,2021-02-12,1120,Aqua,MODIS,81,6.03,279.6,28.4,D,0
40.6374,22.6713,311.5,1.3,1.1,2021-02-12,1120,Aqua,MODIS,53,6.03,279.3,16.3,D,0
40.625,22.6598,320.1,1.3,1.1,2021-02-12,1120,Aqua,MODIS,80,6.03,280.2,26.6,D,0
40.6276,22.6744,313.3,1.3,1.1,2021-02-12,1120,Aqua,MODIS,59,6.03,279.5,18.2,D,0
40.3476,23.2524,308.2,1.2,1.1,2021-02-12,1120,Aqua,MODIS,67,6.03,286.9,12.1,D,0
40.5786,22.69,312.4,1.3,1.1,2021-02-12,1120,Aqua,MODIS,72,6.03,280.3,18.7,D,0
41.0911,23.3885,305.8,1.1,1,2021-02-16,0914,Terra,MODIS,62,6.03,277.7,10.7,D,0
39.8912,20.6217,301.2,1,1,2021-02-17,1138,Aqua,MODIS,45,6.03,279.9,7.6,D,0
39.8892,20.6096,300.8,1,1,2021-02-17,1138,Aqua,MODIS,42,6.03,280.1,7.2,D,0
40.924,22.6408,301.6,1.1,1,2021-02-19,1126,Aqua,MODIS,48,6.03,284.7,3.9,D,0
40.8852,23.9113,304.5,1,1,2021-02-19,1126,Aqua,MODIS,38,6.03,287.9,5.7,D,0
40.6862,22.7358,301.9,1.1,1,2021-02-19,1126,Aqua,MODIS,48,6.03,285,4.4,D,0
41.4275,26.5391,301.9,1,1,2021-02-21,1114,Aqua,MODIS,50,6.03,284.6,6.1,D,0
37.9754,22.0446,307.7,1.2,1.1,2021-02-22,1156,Aqua,MODIS,62,6.03,291,10,D,0
37.9764,22.0499,301.5,1.2,1.1,2021-02-22,1156,Aqua,MODIS,20,6.03,291,4.8,D,0
37.9008,21.3831,306.6,1.2,1.1,2021-02-22,1156,Aqua,MODIS,64,6.03,292.7,8.1,D,0
39.2035,20.8976,304,1.1,1.1,2021-02-22,1156,Aqua,MODIS,58,6.03,292.5,5.8,D,0
37.9747,22.0356,304,1.2,1.1,2021-02-22,1156,Aqua,MODIS,46,6.03,291.5,6.9,D,0
37.899,21.389,304.3,1.2,1.1,2021-02-22,1156,Aqua,MODIS,58,6.03,292.7,5.9,D,0
41.0362,24.0574,304.4,1.7,1.3,2021-02-22,1157,Aqua,MODIS,59,6.03,292.2,9.6,D,0
40.6944,22.723,308.6,1.5,1.2,2021-02-22,1157,Aqua,MODIS,67,6.03,294.6,9.5,D,0
40.7002,22.7324,307.2,1.5,1.2,2021-02-22,1157,Aqua,MODIS,65,6.03,294.3,7.6,D,0
40.9472,23.5656,303.2,1.6,1.3,2021-02-22,1157,Aqua,MODIS,52,6.03,291.2,5.8,D,0
40.9459,23.5534,304.1,1.6,1.3,2021-02-22,1157,Aqua,MODIS,58,6.03,292.2,7,D,0
40.6961,22.7401,307.6,1.5,1.2,2021-02-22,1157,Aqua,MODIS,66,6.03,294.4,7.9,D,0
41.0286,23.4694,312.7,1.6,1.2,2021-02-22,1157,Aqua,MODIS,73,6.03,292.1,17.8,D,0
41.0303,23.4746,311.4,1.6,1.2,2021-02-22,1157,Aqua,MODIS,71,6.03,292,16.9,D,0
40.2603,22.4098,306.3,1,1,2021-02-23,0920,Terra,MODIS,63,6.03,290,6.5,D,0
40.4242,22.0566,305.7,1.1,1,2021-02-23,0920,Terra,MODIS,60,6.03,287.7,8.3,D,0
41.1992,23.296,302.3,1,1,2021-02-23,0920,Terra,MODIS,51,6.03,289.8,3.9,D,0
40.4258,22.0441,302.1,1.1,1,2021-02-23,0920,Terra,MODIS,46,6.03,289.8,5.7,D,0
41.0758,23.345,313.1,2,1.4,2021-02-23,1102,Aqua,MODIS,73,6.03,293,26.4,D,0
40.5733,22.648,305.4,2.4,1.5,2021-02-24,1003,Terra,MODIS,61,6.03,290,20.4,D,0
40.6718,22.6927,319.2,2.4,1.5,2021-02-24,1003,Terra,MODIS,79,6.03,291.2,57.3,D,0
40.7052,22.5613,313,1.1,1,2021-02-24,1144,Aqua,MODIS,73,6.03,293.3,9.3,D,0
40.0587,22.0953,305.5,1,1,2021-02-24,1144,Aqua,MODIS,61,6.03,294.9,4.3,D,0
38.7501,22.6367,311,1,1,2021-02-24,1144,Aqua,MODIS,71,6.03,293.2,9.7,D,0
40.691,22.6473,308.7,1.1,1,2021-02-24,1144,Aqua,MODIS,46,6.03,295.1,4.9,D,0
40.6481,22.6825,308.8,1.1,1,2021-02-24,1144,Aqua,MODIS,67,6.03,295.2,5.3,D,0
38.7411,22.6387,304.9,1,1,2021-02-24,1144,Aqua,MODIS,45,6.03,291.8,5.5,D,0
37.7427,21.3419,311.7,1,1,2021-02-24,1144,Aqua,MODIS,71,6.03,295.2,8.6,D,0
41.2132,23.3296,309.3,1.1,1.1,2021-02-24,1144,Aqua,MODIS,68,6.03,293.1,6.7,D,0
41.2148,23.3431,311.7,1.1,1.1,2021-02-24,1144,Aqua,MODIS,72,6.03,294.6,8.7,D,0
40.9056,22.6208,310.6,1.1,1,2021-02-24,1144,Aqua,MODIS,70,6.03,295.1,7.5,D,0
40.6776,22.7666,309,1.1,1,2021-02-24,1144,Aqua,MODIS,67,6.03,296.6,5.1,D,0
40.4724,21.8223,303.4,1,1,2021-02-24,1144,Aqua,MODIS,52,6.03,293.3,3.4,D,0
41.0983,23.4562,307.8,1.1,1.1,2021-02-24,1144,Aqua,MODIS,66,6.03,295,5.2,D,0
40.6786,22.6243,308.8,1.1,1,2021-02-24,1144,Aqua,MODIS,67,6.03,294.8,5.4,D,0
40.6176,22.7992,308.3,1.1,1,2021-02-24,1144,Aqua,MODIS,66,6.03,296.1,5.3,D,0
40.6021,22.7508,309.9,1.1,1,2021-02-24,1144,Aqua,MODIS,69,6.03,296,6.4,D,0
40.904,22.6082,311.7,1.1,1,2021-02-24,1144,Aqua,MODIS,71,6.03,293.7,8.2,D,0
41.2595,22.9459,304.1,1.1,1,2021-02-24,1145,Aqua,MODIS,58,6.03,292.5,4.3,D,0
40.7081,22.6574,321.4,1,1,2021-02-26,1132,Aqua,MODIS,80,6.03,296.3,15.4,D,0
39.0316,22.2575,305,1.1,1,2021-02-26,1132,Aqua,MODIS,42,6.03,294.5,3.4,D,0
40.5927,22.6333,307.3,1,1,2021-02-26,1132,Aqua,MODIS,63,6.03,296.3,3.7,D,0
40.5748,22.6929,309.3,1,1,2021-02-26,1132,Aqua,MODIS,67,6.03,296.3,6,D,0
38.9855,22.8377,310.2,1,1,2021-02-26,1132,Aqua,MODIS,70,6.03,290.2,10.1,D,0
41.0828,23.3113,311,1,1,2021-02-26,1132,Aqua,MODIS,69,6.03,296.8,6.5,D,0
39.5567,21.6539,305.5,1.1,1,2021-02-26,1132,Aqua,MODIS,62,6.03,294.2,4.7,D,0
39.988,25.1742,300,1,1,2021-02-26,1132,Aqua,MODIS,16,6.03,289.5,3,D,0
40.3398,21.273,319.3,1.1,1,2021-02-26,1132,Aqua,MODIS,79,6.03,293.3,17.6,D,0
40.7063,22.6455,338.7,1,1,2021-02-26,1132,Aqua,MODIS,91,6.03,297.5,38.1,D,0
41.0444,22.6495,308,2.7,1.6,2021-02-27,1215,Aqua,MODIS,65,6.03,295.7,21.3,D,0
40.5973,22.6594,309.9,2.7,1.6,2021-02-27,1215,Aqua,MODIS,67,6.03,296.7,19.7,D,0
41.1293,23.4056,304.6,1.2,1.1,2021-02-28,0938,Terra,MODIS,59,6.03,291.3,5.1,D,0
