latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
66.9963,-50.4317,304.6,1.1,1,2021-05-09,1529,Terra,MODIS,0,6.03,290.3,7.5,D,0
67.1497,-51.1731,306.1,1.1,1,2021-06-10,1528,Terra,MODIS,0,6.03,292.9,5,D,0
67.1525,-51.1842,301.5,1,1,2021-06-21,1510,Terra,MODIS,0,6.03,291,3,D,0
73.6472,-26.6054,302,1.1,1.1,2021-06-28,1335,Terra,MODIS,27,6.03,288.6,7.9,D,0
80.5702,-18.2733,300.3,1,1,2021-07-02,1447,Terra,MODIS,0,6.03,289.4,6.8,D,0
67.3635,-51.4857,303.1,1.2,1.1,2021-07-08,1611,Aqua,MODIS,41,6.03,292.1,6.3,D,0
73.6971,-27.1334,301.3,1.1,1.1,2021-07-18,1448,Terra,MODIS,26,6.03,286.9,5.9,D,0
66.2266,-49.9055,304.8,1.1,1,2021-07-21,1521,Terra,MODIS,34,6.03,291.5,5.3,D,0
80.3043,-19.3645,301.6,1,1,2021-07-28,1523,Terra,MODIS,12,6.03,291.6,7,D,0
66.2278,-49.9066,307.5,1,1,2021-07-30,1515,Terra,MODIS,34,6.03,294.7,6.4,D,0
73.7035,-27.1439,302.1,2.2,1.5,2021-08-03,1625,Terra,MODIS,23,6.03,289.9,15.6,D,0
73.6491,-26.5932,300.5,1.2,1.1,2021-08-08,1328,Terra,MODIS,19,6.03,288.4,8.7,D,0
66.2274,-49.9109,302.5,1.2,1.1,2021-08-20,1533,Terra,MODIS,41,6.03,289.9,6.6,D,0
66.2283,-49.9126,303.9,1.1,1,2021-08-22,1521,Terra,MODIS,34,6.03,291.5,6.3,D,0
63.5753,-50.2852,300.9,1.2,1.1,2021-08-22,1522,Terra,MODIS,19,6.03,288.1,10.5,D,0
