latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.3677,-88.9675,313,2.8,1.6,2021-01-01,1850,Aqua,MODIS,67,6.03,297.3,23.8,D,0
14.1831,-91.1082,314.2,1.3,1.1,2021-01-02,1628,Terra,MODIS,36,6.03,297.4,7.1,D,0
14.2481,-90.8267,347.5,1.3,1.1,2021-01-02,1628,Terra,MODIS,94,6.03,298.3,70.8,D,0
14.067,-90.6198,322.4,1.2,1.1,2021-01-02,1628,Terra,MODIS,75,6.03,297.8,16.8,D,0
14.009,-91.0226,317.1,1.3,1.1,2021-01-02,1628,Terra,MODIS,62,6.03,298.1,12.2,D,0
13.9601,-90.5834,316.6,1.2,1.1,2021-01-02,1628,Terra,MODIS,52,6.03,299.1,9.2,D,0
14.4712,-91.4234,315.3,1.4,1.2,2021-01-02,1628,Terra,MODIS,65,6.03,296.9,11.8,D,0
14.0388,-91.2064,371.8,1,1,2021-01-02,1933,Aqua,MODIS,100,6.03,302.6,114.4,D,0
14.1853,-90.3503,318.2,1,1,2021-01-02,1933,Aqua,MODIS,65,6.03,297.5,10,D,0
14.1895,-91.1194,318,1,1,2021-01-02,1933,Aqua,MODIS,54,6.03,299.9,6.2,D,0
14.1908,-91.1102,322.7,1,1,2021-01-02,1933,Aqua,MODIS,69,6.03,301.4,11.6,D,0
14.0065,-91.2895,320.8,2.8,1.6,2021-01-03,0458,Terra,MODIS,100,6.03,292.5,81.1,N,0
14.4591,-92.0226,314.7,2.1,1.4,2021-01-03,1711,Terra,MODIS,62,6.03,295,19.9,D,0
14.4654,-92.0241,318.8,2.6,1.6,2021-01-04,1616,Terra,MODIS,71,6.03,295.6,42,D,0
14.2255,-91.3121,312.6,2.3,1.5,2021-01-04,1616,Terra,MODIS,54,6.03,295.4,16.8,D,0
14.4731,-92.0409,313.6,2.6,1.6,2021-01-04,1616,Terra,MODIS,14,6.03,295.1,22.1,D,0
14.0006,-91.2891,315.4,2.3,1.5,2021-01-04,1616,Terra,MODIS,66,6.03,295.1,20.5,D,0
13.9648,-90.5825,316.6,2,1.4,2021-01-04,1616,Terra,MODIS,62,6.03,296.5,20.8,D,0
14.4704,-92.0166,314,2.6,1.6,2021-01-04,1616,Terra,MODIS,30,6.03,295.1,22,D,0
14.4746,-92.0415,328.1,1.3,1.1,2021-01-04,1921,Aqua,MODIS,82,6.03,299,28.2,D,0
13.9534,-91.179,322.7,1.2,1.1,2021-01-04,1921,Aqua,MODIS,77,6.03,299.1,16.1,D,0
14.4645,-92.0398,330.4,1.3,1.1,2021-01-04,1921,Aqua,MODIS,84,6.03,300.3,33,D,0
14.4625,-92.0519,317.5,1.3,1.1,2021-01-04,1921,Aqua,MODIS,54,6.03,298,12.2,D,0
14.19,-91.248,333.5,1.2,1.1,2021-01-04,1921,Aqua,MODIS,86,6.03,300,31.9,D,0
14.3769,-90.5743,343.5,2.8,1.6,2021-01-06,0817,Aqua,MODIS,100,6.03,287.2,236.1,N,1
14.3786,-90.5657,313.7,2.8,1.6,2021-01-06,0817,Aqua,MODIS,88,6.03,285.3,65.7,N,1
14.3487,-91.3838,309,4,1.9,2021-01-06,1604,Terra,MODIS,48,6.03,292,29.5,D,0
14.337,-91.3792,310.4,4,1.9,2021-01-06,1604,Terra,MODIS,57,6.03,292.2,36.5,D,0
15.3487,-89.5336,315.6,1.4,1.2,2021-01-06,1909,Aqua,MODIS,65,6.03,299,10.9,D,0
15.3546,-89.5411,315.3,1.4,1.2,2021-01-06,1909,Aqua,MODIS,49,6.03,298,11.1,D,0
14.0101,-90.8739,302.8,1.1,1.1,2021-01-07,0433,Terra,MODIS,52,6.03,291.7,5.3,N,0
14.1916,-91.1225,344.2,1,1,2021-01-07,1647,Terra,MODIS,92,6.03,299.9,45.8,D,0
14.3002,-91.1126,312.8,1,1,2021-01-07,1647,Terra,MODIS,52,6.03,298,5.1,D,0
14.1235,-90.8592,324.3,1.1,1,2021-01-07,1647,Terra,MODIS,76,6.03,299.7,14.8,D,0
14.4088,-91.8289,328.1,1,1,2021-01-07,1647,Terra,MODIS,81,6.03,299.5,16.4,D,0
14.125,-90.8688,319.1,1.1,1,2021-01-07,1647,Terra,MODIS,52,6.03,299.3,9.5,D,0
14.1143,-90.8606,321.4,1.1,1,2021-01-07,1647,Terra,MODIS,55,6.03,300.3,10.8,D,0
14.3953,-91.4338,319.7,1,1,2021-01-07,1647,Terra,MODIS,72,6.03,299.3,11.9,D,0
14.1789,-90.9233,317.2,1.1,1,2021-01-07,1647,Terra,MODIS,56,6.03,300.3,7.8,D,0
14.1901,-91.113,318.5,1,1,2021-01-07,1647,Terra,MODIS,69,6.03,299.7,10.1,D,0
14.1964,-91.1191,304,1.5,1.2,2021-01-08,0805,Aqua,MODIS,58,6.03,290.6,10.5,N,0
13.9572,-90.8601,313.1,1.1,1,2021-01-09,1635,Terra,MODIS,38,6.03,298.4,5.3,D,0
14.0324,-90.3563,322.8,1,1,2021-01-09,1635,Terra,MODIS,77,6.03,300.2,10.9,D,0
14.0579,-90.7893,314.3,1.1,1,2021-01-09,1635,Terra,MODIS,56,6.03,299.4,6.4,D,0
14.0311,-90.3469,323.4,1,1,2021-01-09,1635,Terra,MODIS,77,6.03,299.7,11.5,D,0
14.0761,-90.731,320.1,1.1,1,2021-01-09,1635,Terra,MODIS,72,6.03,299.5,9.5,D,0
14.0064,-90.757,328,1.1,1,2021-01-09,1635,Terra,MODIS,81,6.03,302.1,19.4,D,0
14.2033,-91.4422,310.4,1.1,1,2021-01-09,1939,Aqua,MODIS,30,6.03,290.8,5.3,D,0
14.2287,-91.3248,354.4,1.1,1,2021-01-09,1939,Aqua,MODIS,97,6.03,300.7,73.3,D,0
14.2258,-91.4153,326.5,1.1,1,2021-01-09,1939,Aqua,MODIS,81,6.03,293.6,21.2,D,0
14.2244,-91.4252,331.4,1.1,1,2021-01-09,1939,Aqua,MODIS,85,6.03,296,28,D,0
14.0712,-90.7312,336.3,1.1,1.1,2021-01-09,1939,Aqua,MODIS,88,6.03,302.4,33,D,0
14.2778,-90.961,326.9,1.1,1.1,2021-01-09,1939,Aqua,MODIS,81,6.03,291.1,21.7,D,0
14.131,-91.2226,320.9,1.1,1,2021-01-09,1939,Aqua,MODIS,75,6.03,300.2,13.3,D,0
13.8713,-90.2847,305.8,1.1,1.1,2021-01-10,0753,Aqua,MODIS,66,6.03,291.7,8.1,N,0
13.8697,-90.2744,309.2,1.1,1.1,2021-01-10,0753,Aqua,MODIS,77,6.03,292.6,10.6,N,0
14.0055,-91.2443,311.8,3.3,1.7,2021-01-10,1717,Terra,MODIS,28,6.03,297.2,24.3,D,0
13.9648,-90.7233,312,3.6,1.8,2021-01-10,1717,Terra,MODIS,57,6.03,297.4,30.2,D,0
14.0714,-91.0315,312.4,3.4,1.7,2021-01-10,1717,Terra,MODIS,37,6.03,298.5,27.9,D,0
13.9657,-90.6947,314.8,3.6,1.8,2021-01-10,1717,Terra,MODIS,62,6.03,297.9,47.1,D,0
14.0075,-91.2682,312.5,3.3,1.7,2021-01-10,1717,Terra,MODIS,54,6.03,297.1,29.3,D,0
14.0656,-91.0006,316,3.4,1.7,2021-01-10,1717,Terra,MODIS,65,6.03,297.1,43.9,D,0
13.9586,-90.6906,312.8,3.6,1.8,2021-01-10,1717,Terra,MODIS,60,6.03,298.2,37.4,D,0
14,-90.8743,308,1.5,1.2,2021-01-11,0408,Terra,MODIS,73,6.03,291.8,13.3,N,0
13.9978,-90.8876,307,1.5,1.2,2021-01-11,0408,Terra,MODIS,70,6.03,291.8,12.3,N,0
14.1828,-91.1167,321.5,1.7,1.3,2021-01-11,1622,Terra,MODIS,73,6.03,299.5,25.4,D,0
14.2759,-89.6957,315.1,1.3,1.2,2021-01-11,1622,Terra,MODIS,66,6.03,299.3,9.7,D,0
14.0113,-90.75,318.1,1.6,1.2,2021-01-11,1622,Terra,MODIS,61,6.03,301,15.3,D,0
14.3248,-91.0686,313.5,1.7,1.3,2021-01-11,1622,Terra,MODIS,36,6.03,299,11.2,D,0
14.0085,-91.2794,312.8,1.7,1.3,2021-01-11,1622,Terra,MODIS,43,6.03,298.6,10,D,0
14.011,-90.7569,325.7,1.6,1.2,2021-01-11,1622,Terra,MODIS,79,6.03,301.4,30.8,D,0
14.3633,-91.2885,313.5,1.7,1.3,2021-01-11,1622,Terra,MODIS,43,6.03,298.8,12,D,0
14.0375,-90.3473,322.5,1.5,1.2,2021-01-11,1622,Terra,MODIS,75,6.03,303.6,16.5,D,0
14.0131,-90.7645,325.1,1.6,1.2,2021-01-11,1622,Terra,MODIS,78,6.03,300.8,29.1,D,0
14.3618,-91.6306,319.7,1.9,1.3,2021-01-11,1622,Terra,MODIS,62,6.03,300.6,22.7,D,0
14.3269,-91.0743,316.2,1.7,1.3,2021-01-11,1622,Terra,MODIS,64,6.03,299.7,16.9,D,0
14.277,-91.1183,316.6,1,1,2021-01-11,1927,Aqua,MODIS,59,6.03,301.1,6.6,D,0
14.0493,-91.0348,325.4,1,1,2021-01-11,1927,Aqua,MODIS,68,6.03,308,14.3,D,0
14.4244,-89.8426,314.7,1,1,2021-01-11,1927,Aqua,MODIS,49,6.03,301.3,6,D,0
14.1174,-90.759,347.4,1,1,2021-01-11,1927,Aqua,MODIS,93,6.03,305,46.7,D,0
14.1725,-90.7645,319.5,1,1,2021-01-11,1927,Aqua,MODIS,47,6.03,304.4,6.8,D,0
14.1084,-90.7576,373.5,1,1,2021-01-11,1927,Aqua,MODIS,100,6.03,307.9,118.6,D,0
14.0041,-91.0277,327.2,1,1,2021-01-11,1927,Aqua,MODIS,46,6.03,306.3,14.9,D,0
14.1187,-90.7497,324.4,1,1,2021-01-11,1927,Aqua,MODIS,74,6.03,304.4,10.7,D,0
14.1016,-90.804,316.9,1,1,2021-01-11,1927,Aqua,MODIS,42,6.03,303.1,5.3,D,0
14.4025,-90.8272,318.2,1,1,2021-01-11,1927,Aqua,MODIS,57,6.03,301.9,10.2,D,0
14.3432,-91.4756,317.2,1.1,1,2021-01-11,1927,Aqua,MODIS,58,6.03,301.6,5.8,D,0
14.1098,-90.7483,339.5,1,1,2021-01-11,1927,Aqua,MODIS,88,6.03,308.4,30.7,D,0
14.476,-91.9041,327.8,1.7,1.3,2021-01-12,1705,Terra,MODIS,81,6.03,301.6,35.7,D,0
14.4657,-90.8498,307.3,2,1.4,2021-01-12,1705,Terra,MODIS,28,6.03,293.4,13.8,D,1
14.2702,-90.8602,326.5,2,1.4,2021-01-12,1705,Terra,MODIS,80,6.03,299.6,48,D,0
14.2649,-90.8491,314.7,2,1.4,2021-01-12,1705,Terra,MODIS,60,6.03,299.5,16.8,D,0
14.268,-90.8673,320.6,2,1.4,2021-01-12,1705,Terra,MODIS,73,6.03,299.7,32.6,D,0
14.4639,-92.0365,318.3,1.6,1.3,2021-01-12,1705,Terra,MODIS,58,6.03,301.8,18.7,D,0
14.3934,-90.8196,314,2,1.4,2021-01-12,1705,Terra,MODIS,64,6.03,298,22.4,D,0
14.3775,-90.5813,309.5,2.1,1.4,2021-01-12,1705,Terra,MODIS,22,6.03,294,15.9,D,1
13.9517,-90.7097,318.9,2.1,1.4,2021-01-12,1705,Terra,MODIS,62,6.03,298.6,29.4,D,0
14.6094,-91.5353,314.2,1.8,1.3,2021-01-12,1705,Terra,MODIS,68,6.03,296.7,18.3,D,0
14.11,-90.7083,319.3,2.1,1.4,2021-01-12,1705,Terra,MODIS,71,6.03,302.6,20.3,D,0
14.4629,-90.824,301,3.5,1.8,2021-01-13,0823,Aqua,MODIS,37,6.03,284.1,39.5,N,1
14.3666,-90.5716,315.3,3.7,1.8,2021-01-13,0823,Aqua,MODIS,91,6.03,287.4,100.6,N,1
14.0555,-91.0399,318.2,2.9,1.6,2021-01-13,1610,Terra,MODIS,66,6.03,298.8,40.7,D,0
14.3344,-91.3808,317.3,3.1,1.7,2021-01-13,1610,Terra,MODIS,67,6.03,296.9,45.2,D,0
