latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.9099,-14.0809,319.3,1,1,2021-01-02,1132,Terra,MODIS,46,6.03,304.5,6.7,D,0
11.9613,-15.1973,319.4,1,1,2021-01-02,1132,Terra,MODIS,67,6.03,306.9,9.1,D,0
11.9599,-15.1879,322.2,1,1,2021-01-02,1132,Terra,MODIS,73,6.03,304.8,11.6,D,0
12.273,-13.9164,323.3,1.3,1.1,2021-01-02,1436,Aqua,MODIS,61,6.03,307.4,12.8,D,0
12.2756,-13.8995,324,1.3,1.1,2021-01-02,1436,Aqua,MODIS,66,6.03,306.8,13.8,D,0
12.2745,-13.9049,331.6,1.3,1.1,2021-01-02,1436,Aqua,MODIS,79,6.03,308.2,27.1,D,0
11.8248,-14.439,324.9,1.2,1.1,2021-01-02,1436,Aqua,MODIS,70,6.03,306.5,16.2,D,0
11.7843,-14.9108,319.3,1.1,1,2021-01-02,1436,Aqua,MODIS,0,6.03,302.8,9,D,0
11.8234,-14.4495,327.5,1.2,1.1,2021-01-02,1436,Aqua,MODIS,75,6.03,306.3,20.3,D,0
12.2741,-13.9109,336.5,1.3,1.1,2021-01-02,1436,Aqua,MODIS,84,6.03,308.2,36.2,D,0
12.0527,-14.0406,326,1.2,1.1,2021-01-02,1436,Aqua,MODIS,35,6.03,308.2,14,D,0
11.6537,-14.4273,333,1.3,1.1,2021-01-04,1120,Terra,MODIS,84,6.03,302.5,39.9,D,0
11.6553,-14.4394,319.6,1.3,1.1,2021-01-04,1120,Terra,MODIS,69,6.03,302,15.9,D,0
11.758,-14.4436,316.9,1.3,1.1,2021-01-04,1120,Terra,MODIS,61,6.03,301.6,11.2,D,0
11.6975,-13.9969,320.2,1.3,1.1,2021-01-04,1120,Terra,MODIS,55,6.03,306.7,10.4,D,0
11.975,-14.3256,318.2,1,1,2021-01-04,1423,Aqua,MODIS,32,6.03,306.9,5.5,D,0
12.3488,-13.7136,321,1,1,2021-01-04,1423,Aqua,MODIS,57,6.03,309.8,6.3,D,0
12.0272,-14.1632,323.9,1,1,2021-01-04,1423,Aqua,MODIS,57,6.03,310.9,10.2,D,0
11.9729,-14.2135,321.7,1,1,2021-01-04,1423,Aqua,MODIS,48,6.03,310.2,6.6,D,0
12.1358,-13.9811,322.2,1,1,2021-01-04,1423,Aqua,MODIS,60,6.03,305.9,10.7,D,0
12.1861,-14.2023,319.1,1,1,2021-01-04,1423,Aqua,MODIS,54,6.03,307.8,6.5,D,0
12.6049,-14.6207,328,1,1,2021-01-04,1423,Aqua,MODIS,77,6.03,309.2,17.5,D,0
11.562,-14.6322,326,1,1,2021-01-04,1423,Aqua,MODIS,73,6.03,305.7,16.7,D,0
11.5606,-14.6415,334.8,1,1,2021-01-04,1423,Aqua,MODIS,84,6.03,304.5,28.3,D,0
11.6242,-14.5257,318.5,1,1,2021-01-04,1423,Aqua,MODIS,48,6.03,305.5,7.8,D,0
11.9194,-13.949,335.8,1,1,2021-01-04,1423,Aqua,MODIS,84,6.03,311.7,22.2,D,0
12.3501,-13.7045,324.1,1,1,2021-01-04,1423,Aqua,MODIS,67,6.03,312.8,9.7,D,0
11.575,-14.6059,318.6,1,1,2021-01-04,1423,Aqua,MODIS,54,6.03,305.3,9,D,0
12.4155,-15.1596,319.9,1,1,2021-01-04,1423,Aqua,MODIS,66,6.03,306.1,9.8,D,0
12.0978,-14.2447,326.5,1,1,2021-01-04,1423,Aqua,MODIS,74,6.03,307.5,14.1,D,0
12.0991,-14.2356,339.1,1,1,2021-01-04,1423,Aqua,MODIS,87,6.03,310.4,31.2,D,0
