latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.0244,-59.5889,316.9,2,1.4,2021-01-01,1708,Aqua,MODIS,30,6.03,294.7,17.2,D,0
3.9015,-59.1513,312.6,1.8,1.3,2021-01-01,1708,Aqua,MODIS,58,6.03,291.8,11.1,D,0
2.5011,-59.2419,327.6,1.1,1.1,2021-01-04,1738,Aqua,MODIS,72,6.03,299.1,19.8,D,0
2.5293,-59.2459,320.5,1.1,1.1,2021-01-04,1738,Aqua,MODIS,59,6.03,299.4,10.1,D,0
2.8736,-59.2078,340.1,1.1,1.1,2021-01-04,1738,Aqua,MODIS,90,6.03,302.6,34.5,D,0
2.5025,-59.232,322.5,1.1,1.1,2021-01-04,1738,Aqua,MODIS,38,6.03,298.9,14.1,D,0
3.0174,-59.6362,316.6,1,1,2021-01-06,1428,Terra,MODIS,52,6.03,292.6,7.8,D,0
2.9657,-59.8956,343.5,1.1,1,2021-01-06,1726,Aqua,MODIS,92,6.03,302.6,43.6,D,0
3.0025,-59.6396,321.9,1.1,1,2021-01-06,1726,Aqua,MODIS,56,6.03,302.4,7.3,D,0
3.8244,-59.3611,323.9,1,1,2021-01-06,1726,Aqua,MODIS,62,6.03,300.2,10.1,D,0
3.8255,-59.4172,327.4,1,1,2021-01-06,1726,Aqua,MODIS,76,6.03,302.9,14.6,D,0
3.0768,-59.6945,327.8,1.1,1,2021-01-06,1726,Aqua,MODIS,74,6.03,305.7,16.5,D,0
3.0117,-59.641,325.4,1.1,1,2021-01-06,1726,Aqua,MODIS,57,6.03,304.2,12,D,0
3.0754,-59.7039,324.3,1.1,1,2021-01-06,1726,Aqua,MODIS,62,6.03,306.1,11.3,D,0
2.3515,-59.359,325.2,1,1,2021-01-06,1726,Aqua,MODIS,68,6.03,301.5,14.5,D,0
3.1064,-59.8697,324.9,1.1,1,2021-01-06,1726,Aqua,MODIS,79,6.03,293.3,19,D,0
4.0322,-59.0707,323.1,1,1,2021-01-06,1727,Aqua,MODIS,78,6.03,297.5,17.6,D,0
6.0355,-58.2452,302.9,1.4,1.2,2021-01-18,0233,Terra,MODIS,52,6.03,292.3,7.1,N,0
6.0393,-58.2412,303.2,1,1,2021-01-18,0527,Aqua,MODIS,54,6.03,291.9,5.4,N,0
3.6166,-59.5814,320.4,1.7,1.3,2021-01-18,1751,Aqua,MODIS,62,6.03,290.5,19.9,D,0
3.6165,-59.5728,321.9,1.7,1.3,2021-01-18,1751,Aqua,MODIS,64,6.03,291.6,24.6,D,0
5.7375,-57.7819,309.3,2.3,1.5,2021-01-19,1656,Aqua,MODIS,20,6.03,294.4,13.2,D,0
3.8417,-59.2505,312.1,3.3,1.7,2021-01-19,1656,Aqua,MODIS,61,6.03,289,38.3,D,0
5.7638,-57.7862,325.7,2.3,1.5,2021-01-19,1656,Aqua,MODIS,82,6.03,298.8,61.2,D,0
5.7605,-57.8069,328.9,2.3,1.5,2021-01-19,1656,Aqua,MODIS,84,6.03,296.7,73.7,D,0
3.5855,-59.3196,308.1,3.4,1.7,2021-01-19,1656,Aqua,MODIS,49,6.03,283.3,33.1,D,0
3.7573,-59.6453,305.2,1.1,1,2021-01-20,0220,Terra,MODIS,62,6.03,292.4,5.6,N,0
5.8973,-57.2135,311.4,1.6,1.2,2021-01-20,1439,Terra,MODIS,65,6.03,297.1,10.1,D,0
5.8951,-57.1995,312.8,1.6,1.2,2021-01-20,1439,Terra,MODIS,67,6.03,297.4,11.8,D,0
3.1229,-59.7537,342.5,1.1,1,2021-01-20,1738,Aqua,MODIS,91,6.03,298.5,46.1,D,0
3.0309,-59.5716,324.2,1.1,1,2021-01-20,1738,Aqua,MODIS,77,6.03,301.1,16.5,D,0
6.7478,-58.489,310.6,1.4,1.2,2021-01-20,1739,Aqua,MODIS,46,6.03,292.8,7.9,D,0
3.1281,-59.7836,324.7,1.1,1,2021-01-20,1739,Aqua,MODIS,77,6.03,301.6,16.6,D,0
3.1268,-59.7931,322.9,1.1,1,2021-01-20,1739,Aqua,MODIS,72,6.03,299.7,13.8,D,0
5.55,-57.9603,310,1,1,2021-01-22,1427,Terra,MODIS,62,6.03,292.3,6.6,D,0
5.5487,-57.9513,310.8,1,1,2021-01-22,1427,Terra,MODIS,57,6.03,292.5,7.3,D,0
