latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.1314,-72.4091,312.7,1.5,1.2,2021-01-02,1756,Aqua,MODIS,56,6.03,301.1,8.1,D,0
19.3157,-72.53,324.9,1,1,2021-01-03,1531,Terra,MODIS,80,6.03,304.4,15.9,D,0
18.8324,-72.013,309.5,1,1,2021-01-03,1531,Terra,MODIS,44,6.03,297.9,5,D,0
19.1632,-71.8475,314.6,1.4,1.2,2021-01-05,1826,Aqua,MODIS,55,6.03,303.6,8.4,D,0
19.1267,-71.6618,322.4,1.4,1.2,2021-01-05,1826,Aqua,MODIS,68,6.03,308.3,15.7,D,0
18.9052,-72.2272,318.4,1.3,1.1,2021-01-05,1826,Aqua,MODIS,63,6.03,306.2,11.4,D,0
19.1253,-72.4129,322,1.3,1.1,2021-01-05,1826,Aqua,MODIS,75,6.03,305.5,15.5,D,0
19.1697,-71.6787,314.5,1.7,1.3,2021-01-07,1507,Terra,MODIS,55,6.03,296.7,15.1,D,0
18.6326,-72.3162,316.3,1.2,1.1,2021-01-09,1802,Aqua,MODIS,74,6.03,291.5,10.1,D,0
19.1077,-72.399,313.5,1.1,1,2021-01-10,1537,Terra,MODIS,70,6.03,297.4,6.2,D,0
19.3367,-72.4278,310.5,1.9,1.4,2021-01-11,1750,Aqua,MODIS,55,6.03,291.7,13.3,D,0
19.3327,-72.4223,309.9,1.9,1.4,2021-01-11,1750,Aqua,MODIS,53,6.03,291.2,13,D,0
19.0976,-72.5767,314.8,1.1,1,2021-01-12,1525,Terra,MODIS,68,6.03,300.7,7.4,D,0
19.1204,-72.4161,315.9,1,1,2021-01-12,1525,Terra,MODIS,67,6.03,300.5,8.4,D,0
19.2743,-72.5214,324.3,1.6,1.2,2021-01-12,1832,Aqua,MODIS,80,6.03,304.1,23.3,D,0
18.9884,-72.3264,321.5,1.6,1.3,2021-01-12,1832,Aqua,MODIS,76,6.03,305.3,19.7,D,0
18.9177,-72.2062,306,1,1,2021-01-14,0302,Terra,MODIS,66,6.03,292.4,6.9,N,0
