latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.4559,-89.2377,312.2,1.2,1.1,2021-01-02,1933,Aqua,MODIS,39,6.03,298.5,6.6,D,0
13.5016,-87.5119,303.6,1.8,1.3,2021-01-06,0350,Terra,MODIS,56,6.03,292.5,10.4,N,0
13.5044,-87.4951,319.8,1.8,1.3,2021-01-06,0350,Terra,MODIS,99,6.03,293,39.7,N,0
15.4406,-85.3869,310.9,1.2,1.1,2021-01-08,1856,Aqua,MODIS,66,6.03,296.2,9.5,D,0
15.7478,-86.2376,310.8,1.3,1.1,2021-01-08,1856,Aqua,MODIS,64,6.03,294.4,11.2,D,0
13.5226,-87.5507,324.7,1.1,1,2021-01-09,1635,Terra,MODIS,53,6.03,301,15.8,D,0
13.2437,-87.3307,303.5,1,1,2021-01-11,0408,Terra,MODIS,55,6.03,292.5,3.8,N,0
13.245,-87.3215,307.8,1,1,2021-01-11,0408,Terra,MODIS,73,6.03,292.7,6.6,N,0
13.4535,-87.4886,333.7,1.4,1.2,2021-01-13,0356,Terra,MODIS,100,6.03,294.6,52.5,N,0
13.4814,-87.1073,304.7,1.3,1.1,2021-01-13,0356,Terra,MODIS,37,6.03,293,8.2,N,0
13.462,-87.5032,328.8,1.4,1.2,2021-01-13,0356,Terra,MODIS,100,6.03,294,41.9,N,0
13.4515,-87.5015,311.9,1.4,1.2,2021-01-13,0356,Terra,MODIS,84,6.03,293.6,14.3,N,0
13.4585,-87.4951,355.6,1.4,1.2,2021-01-13,0356,Terra,MODIS,100,6.03,295.5,121.3,N,0
13.4606,-87.4823,318,1.4,1.2,2021-01-13,0356,Terra,MODIS,96,6.03,294.3,22.2,N,0
13.464,-87.4903,351,1.4,1.2,2021-01-13,0356,Terra,MODIS,100,6.03,294.7,103.4,N,0
14.1359,-86.9322,316.8,1.4,1.2,2021-01-13,1610,Terra,MODIS,62,6.03,299.9,13.2,D,0
14.6918,-84.416,313.4,1.2,1.1,2021-01-13,1914,Aqua,MODIS,51,6.03,299.3,7.2,D,0
14.7015,-84.4174,317.9,1.2,1.1,2021-01-13,1914,Aqua,MODIS,74,6.03,300.2,12.3,D,0
15.585,-84.604,318,1.2,1.1,2021-01-13,1915,Aqua,MODIS,74,6.03,299.1,13.8,D,0
13.2514,-87.1958,328,3.1,1.7,2021-01-21,1659,Terra,MODIS,81,6.03,303.2,88.2,D,0
13.2509,-87.1905,334.4,3.1,1.7,2021-01-21,1659,Terra,MODIS,86,6.03,303.1,131.5,D,0
13.2466,-87.1685,317.5,3.1,1.7,2021-01-21,1659,Terra,MODIS,34,6.03,300.3,37.2,D,0
13.5177,-87.567,324.8,1.1,1.1,2021-01-22,1908,Aqua,MODIS,55,6.03,309.2,9.6,D,0
14.2762,-87.2454,318.9,1.1,1,2021-01-22,1908,Aqua,MODIS,72,6.03,294.9,12,D,0
15.6132,-84.4323,315.6,1.6,1.3,2021-01-26,1844,Aqua,MODIS,68,6.03,297.8,17,D,0
15.0828,-84.2233,310.9,1.6,1.3,2021-01-26,1844,Aqua,MODIS,53,6.03,297.6,8.6,D,0
15.1113,-84.2591,314.3,1.6,1.3,2021-01-26,1844,Aqua,MODIS,62,6.03,299.3,14.8,D,0
15.3313,-88.1707,312.8,1.1,1.1,2021-01-27,1622,Terra,MODIS,62,6.03,301.3,6.4,D,0
13.0328,-87.1113,327.8,1.2,1.1,2021-01-27,1926,Aqua,MODIS,79,6.03,305.7,17.6,D,0
15.1956,-87.8874,312.5,1.1,1.1,2021-01-27,1927,Aqua,MODIS,24,6.03,300,4.4,D,2
15.0354,-83.8031,310.6,2.1,1.4,2021-01-27,1927,Aqua,MODIS,33,6.03,296,10.2,D,0
14.1425,-87.5927,312,1.2,1.1,2021-01-27,1927,Aqua,MODIS,32,6.03,298.4,6.5,D,0
15.75,-84.5406,313,1.1,1,2021-01-29,1609,Terra,MODIS,48,6.03,299.9,7.1,D,0
13.2607,-87.3979,328.7,1,1,2021-01-29,1914,Aqua,MODIS,80,6.03,309.9,15.3,D,0
13.262,-87.3886,349.4,1,1,2021-01-29,1914,Aqua,MODIS,95,6.03,310.1,49.9,D,0
14.0734,-87.0656,312.6,1,1,2021-01-29,1914,Aqua,MODIS,57,6.03,300.7,6.6,D,0
