latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.5282,114.0873,317.3,1,1,2021-03-13,0547,Aqua,MODIS,52,6.03,294.6,7.5,D,0
22.3951,113.9326,313.2,1,1,2021-03-25,0302,Terra,MODIS,29,6.03,295.6,6,D,0
22.3847,113.9411,314.4,1,1,2021-03-25,0302,Terra,MODIS,50,6.03,297.1,7.5,D,0
22.3923,113.9526,333.3,1,1,2021-03-25,0302,Terra,MODIS,86,6.03,297.4,28,D,0
22.3937,113.9426,331.7,1,1,2021-03-25,0302,Terra,MODIS,85,6.03,298.1,26.5,D,0
22.3961,113.9377,351.6,2.1,1.4,2021-03-25,0612,Aqua,MODIS,73,6.03,295.4,170.9,D,0
22.3982,113.9582,334.2,2.1,1.4,2021-03-25,0612,Aqua,MODIS,86,6.03,295.6,80.7,D,0
22.3835,113.9391,318.3,2.1,1.4,2021-03-25,0612,Aqua,MODIS,0,6.03,294.4,29,D,0
22.3978,113.9614,308.5,1.1,1,2021-03-25,1821,Aqua,MODIS,75,6.03,287.9,10.5,N,2
22.5112,114.1094,315.7,1.3,1.1,2021-03-30,0320,Terra,MODIS,62,6.03,297.6,9.7,D,2
22.4879,114.1465,322.1,1,1,2021-04-07,0541,Aqua,MODIS,54,6.03,290.3,13,D,2
22.4893,114.1565,328.4,1,1,2021-04-07,0541,Aqua,MODIS,82,6.03,289.5,20.5,D,2
22.4803,114.158,326.3,1,1,2021-04-07,0541,Aqua,MODIS,48,6.03,293.4,18,D,0
22.4212,114.0215,316.3,1.1,1,2021-10-01,0311,Terra,MODIS,39,6.03,299,8.1,D,2
22.5198,114.1545,313,2.3,1.5,2021-10-20,0517,Aqua,MODIS,59,6.03,290.6,22.6,D,0
22.5094,114.1637,311.8,2.3,1.5,2021-10-20,0517,Aqua,MODIS,18,6.03,291.1,18.3,D,2
22.5491,114.1581,314.4,1,1,2021-11-08,0547,Aqua,MODIS,72,6.03,293.9,9.7,D,0
