latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.0479,19.8505,304.6,1,1,2021-01-25,1134,Aqua,MODIS,59,6.03,275.8,10.8,D,0
47.3147,19.4743,304.3,1.1,1,2021-02-01,0956,Terra,MODIS,59,6.03,276.2,10.9,D,0
47.3158,17.2377,314,1.1,1,2021-02-22,1159,Aqua,MODIS,74,6.03,290.1,13.3,D,0
47.3141,17.2239,330.5,1.1,1,2021-02-22,1159,Aqua,MODIS,87,6.03,291.3,31.7,D,2
46.3364,18.2867,301.5,2.7,1.6,2021-02-23,1103,Aqua,MODIS,44,6.03,288.5,20.1,D,0
45.9724,17.5032,305.7,1.1,1,2021-02-24,1002,Terra,MODIS,62,6.03,286.5,8,D,0
45.9633,17.5001,303.3,1.1,1,2021-02-24,1002,Terra,MODIS,52,6.03,286.1,6.1,D,0
46.3635,17.8436,302.7,1,1,2021-02-24,1146,Aqua,MODIS,50,6.03,290.3,4.1,D,0
47.1731,19.9224,302,1,1,2021-02-24,1146,Aqua,MODIS,50,6.03,290.1,3.8,D,0
46.3724,17.8408,301.3,1,1,2021-02-24,1146,Aqua,MODIS,39,6.03,289.7,3.2,D,0
46.8309,20.1936,301.2,1,1,2021-02-26,0949,Terra,MODIS,45,6.03,290.5,3.5,D,0
46.6254,21.2517,301.8,1.1,1,2021-02-26,0949,Terra,MODIS,49,6.03,288.6,5.1,D,0
46.6573,20.2897,307.7,1,1,2021-02-26,0949,Terra,MODIS,66,6.03,290.1,8,D,2
46.6594,20.2765,303.5,1,1,2021-02-26,0949,Terra,MODIS,56,6.03,289.6,5.2,D,2
46.21,20.0437,305.6,1,1,2021-02-26,1134,Aqua,MODIS,55,6.03,295.6,4.1,D,0
47.1494,19.1687,300.5,1.1,1,2021-02-26,1134,Aqua,MODIS,34,6.03,289.9,3.5,D,0
48.0382,19.3074,309.4,1,1,2021-02-26,1134,Aqua,MODIS,69,6.03,290.3,9.1,D,0
48.0471,19.3041,304.9,1,1,2021-02-26,1134,Aqua,MODIS,51,6.03,290.4,5.8,D,0
48.2576,20.3535,300.1,1,1,2021-02-28,0937,Terra,MODIS,25,6.03,275.3,7,D,0
46.751,18.5259,301.8,1.8,1.3,2021-03-01,1020,Terra,MODIS,49,6.03,284.6,12.1,D,0
46.1974,19.4908,300.2,2,1.4,2021-03-01,1020,Terra,MODIS,33,6.03,286.9,11.4,D,0
46.1958,19.4847,300.7,2,1.4,2021-03-01,1020,Terra,MODIS,41,6.03,287.2,12,D,0
45.8201,18.3561,300.6,2.3,1.5,2021-03-02,1109,Aqua,MODIS,38,6.03,288.3,11.4,D,0
45.8231,18.3618,300.2,2.3,1.5,2021-03-02,1109,Aqua,MODIS,24,6.03,288.8,10.3,D,0
47.1463,20.7358,307.8,1.6,1.2,2021-03-03,1007,Terra,MODIS,66,6.03,288.4,16,D,0
47.1472,20.7419,306.1,1.6,1.2,2021-03-03,1007,Terra,MODIS,63,6.03,287.9,13,D,0
46.4981,18.3782,306.2,1,1,2021-03-03,1152,Aqua,MODIS,45,6.03,295.4,4.3,D,0
45.8535,18.5181,342.1,1,1,2021-03-03,1152,Aqua,MODIS,92,6.03,296.5,45.3,D,0
45.8445,18.5206,310.5,1,1,2021-03-03,1152,Aqua,MODIS,64,6.03,296.6,6.9,D,0
45.8463,18.5336,308.9,1,1,2021-03-03,1152,Aqua,MODIS,58,6.03,296.7,5.5,D,0
45.8552,18.5311,343,1,1,2021-03-03,1152,Aqua,MODIS,93,6.03,295.7,46.9,D,0
47.6555,17.6954,310.5,1,1,2021-03-05,1140,Aqua,MODIS,70,6.03,282,11.7,D,0
47.6799,17.9505,302.4,1,1,2021-03-05,1140,Aqua,MODIS,48,6.03,283.2,6.4,D,0
47.2389,17.2388,302.8,1.1,1.1,2021-03-07,0943,Terra,MODIS,54,6.03,281.8,7.9,D,0
46.5453,18.5516,300.9,1.3,1.1,2021-03-07,1128,Aqua,MODIS,43,6.03,288,6.8,D,0
46.7593,19.0358,304,1.2,1.1,2021-03-07,1128,Aqua,MODIS,58,6.03,290.3,7,D,0
47.9068,21.0551,310.4,1,1,2021-03-07,1128,Aqua,MODIS,66,6.03,282.6,12.1,D,0
47.909,21.0686,307.4,1,1,2021-03-07,1128,Aqua,MODIS,57,6.03,281.1,10.2,D,0
46.5839,18.2457,310.7,1.5,1.2,2021-03-08,1211,Aqua,MODIS,70,6.03,287.7,17.9,D,0
46.7515,19.1506,305.2,1.2,1.1,2021-03-10,1158,Aqua,MODIS,49,6.03,284,8.8,D,0
46.7497,19.1352,309.5,1.2,1.1,2021-03-10,1158,Aqua,MODIS,69,6.03,287.4,11.8,D,0
47.2844,20.209,306,1.1,1,2021-03-21,0955,Terra,MODIS,55,6.03,289.9,6.9,D,0
46.5133,19.0208,302.8,1.1,1,2021-03-21,0955,Terra,MODIS,54,6.03,284.6,7,D,0
46.0349,18.9331,306,1.1,1,2021-03-21,0955,Terra,MODIS,63,6.03,284.8,8.4,D,0
47.2752,20.2056,316.8,1.1,1,2021-03-21,0955,Terra,MODIS,77,6.03,289.4,16.7,D,0
46.9075,19.2397,306.9,1.1,1,2021-03-21,0955,Terra,MODIS,64,6.03,287.6,8.4,D,0
46.8849,19.2032,303.2,1.1,1,2021-03-21,0955,Terra,MODIS,52,6.03,286.7,6.1,D,0
46.8826,19.2167,301.6,1.1,1,2021-03-21,0955,Terra,MODIS,48,6.03,285.4,5.2,D,0
47.0843,18.047,302.4,1,1,2021-03-21,1140,Aqua,MODIS,48,6.03,287,5,D,0
48.4634,21.1771,321.2,1,1,2021-03-21,1140,Aqua,MODIS,81,6.03,287.7,20.6,D,0
47.5942,20.9502,308.9,1,1,2021-03-21,1140,Aqua,MODIS,68,6.03,289.2,8.6,D,0
