latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
63.8937,-22.2556,310.4,2,1.4,2021-03-22,1213,Terra,MODIS,37,6.03,268.7,37.1,D,0
63.8835,-22.2453,337,1.6,1.3,2021-03-22,1351,Terra,MODIS,88,6.03,276.9,82.4,D,0
63.8908,-22.2757,409.7,1.6,1.3,2021-03-22,1351,Terra,MODIS,100,6.03,293.5,645.8,D,0
63.8892,-22.2706,427.7,1.6,1.3,2021-03-22,1351,Terra,MODIS,100,6.03,294.5,947.1,D,0
63.8963,-22.2991,318.2,1.6,1.3,2021-03-22,1351,Terra,MODIS,69,6.03,274.8,38.8,D,0
63.8772,-22.2869,312,2,1.4,2021-03-22,2153,Terra,MODIS,77,6.03,272.5,43.4,N,0
63.8865,-22.2527,322.4,2,1.4,2021-03-22,2153,Terra,MODIS,100,6.03,274.6,68.9,N,0
63.8879,-22.3013,366.7,2,1.4,2021-03-22,2153,Terra,MODIS,100,6.03,275.9,301.1,N,0
63.8975,-22.2658,384.3,2,1.4,2021-03-22,2153,Terra,MODIS,100,6.03,279.3,477.9,N,0
63.8953,-22.2562,353.3,1.6,1.2,2021-03-22,2331,Terra,MODIS,100,6.03,270.7,142.4,N,0
63.8899,-22.2676,462.5,1,1,2021-03-23,1256,Terra,MODIS,87,6.03,316.9,926.7,D,0
63.8873,-22.2477,312.7,1,1,2021-03-23,1256,Terra,MODIS,51,6.03,279.6,14,D,0
63.8905,-22.2484,344.8,1.6,1.2,2021-03-23,1312,Aqua,MODIS,80,6.03,279.7,107.5,D,0
63.8773,-22.3031,323.1,1.6,1.2,2021-03-23,1312,Aqua,MODIS,62,6.03,281.5,43.6,D,0
63.8837,-22.2762,424.4,1.6,1.2,2021-03-23,1312,Aqua,MODIS,94,6.03,301.2,860.2,D,0
63.8911,-22.2456,314.1,1.6,1.2,2021-03-23,1312,Aqua,MODIS,28,6.03,279.3,27,D,0
63.8844,-22.2735,428.5,1.6,1.2,2021-03-23,1312,Aqua,MODIS,100,6.03,301.9,934.2,D,0
63.8807,-22.2824,364.2,2,1.4,2021-03-23,1450,Aqua,MODIS,94,6.03,272.9,0,D,0
63.8813,-22.2867,365.8,2,1.4,2021-03-23,1450,Aqua,MODIS,95,6.03,273.1,0,D,0
63.8809,-22.2693,339.6,4.7,2,2021-03-23,2058,Terra,MODIS,100,6.03,270.3,459.2,N,0
63.8827,-22.265,343.3,4.7,2,2021-03-23,2058,Terra,MODIS,100,6.03,270.8,520.1,N,0
63.8937,-22.2979,333.9,4.7,2,2021-03-23,2058,Terra,MODIS,100,6.03,268,379,N,0
63.8957,-22.2932,328.2,4.7,2,2021-03-23,2058,Terra,MODIS,100,6.03,267.7,308.2,N,0
63.8985,-22.2627,326.7,1.1,1,2021-03-23,2236,Terra,MODIS,100,6.03,266.5,33.4,N,0
63.8898,-22.2727,444.5,1.1,1,2021-03-23,2236,Terra,MODIS,100,6.03,290.3,709.6,N,0
63.8862,-22.293,349.6,1.1,1,2021-03-23,2236,Terra,MODIS,100,6.03,268,72.6,N,0
63.895,-22.2828,386,1.1,1,2021-03-23,2236,Terra,MODIS,100,6.03,272.5,202.9,N,0
63.8973,-22.2728,360.1,3.7,1.8,2021-03-24,0014,Terra,MODIS,100,6.03,270.7,609.4,N,0
63.8874,-22.2753,356.2,3.7,1.8,2021-03-24,0014,Terra,MODIS,100,6.03,273.3,543,N,0
63.8972,-22.3436,308.7,3.7,1.8,2021-03-24,0014,Terra,MODIS,62,6.03,266.1,91.7,N,0
