latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.3613,-8.0639,309.7,1.3,1.1,2021-02-28,1302,Aqua,MODIS,69,6.03,284.4,17.3,D,0
52.3649,-8.0459,315.7,1.3,1.1,2021-02-28,1302,Aqua,MODIS,76,6.03,283.9,24.2,D,0
53.2562,-7.6529,306.3,1.4,1.2,2021-04-02,1345,Aqua,MODIS,63,6.03,288.7,12,D,0
52.0005,-9.9954,336.7,1.2,1.1,2021-04-15,1314,Aqua,MODIS,78,6.03,289.5,51.9,D,0
51.9975,-10.0114,303.5,1.2,1.1,2021-04-15,1314,Aqua,MODIS,42,6.03,287.1,7.8,D,0
52.5254,-9.2351,301.2,1.3,1.1,2021-04-21,2201,Terra,MODIS,38,6.03,279.8,10.9,N,0
52.5351,-9.2402,303.7,1.3,1.1,2021-04-21,2201,Terra,MODIS,56,6.03,279.4,13,N,0
53.2705,-7.683,302.1,1,1,2021-04-22,1321,Aqua,MODIS,22,6.03,290.5,3.6,D,0
52.2798,-9.3212,301.5,1.8,1.3,2021-04-23,1403,Aqua,MODIS,47,6.03,287.4,9.1,D,0
52.2705,-9.3387,306.5,1.8,1.3,2021-04-23,1403,Aqua,MODIS,52,6.03,287,15,D,0
53.2098,-6.3819,305.5,1.2,1.1,2021-04-24,1120,Terra,MODIS,62,6.03,288.6,8.8,D,0
51.9895,-9.5487,313.6,1.5,1.2,2021-04-24,1120,Terra,MODIS,22,6.03,292.2,18,D,0
51.9915,-9.571,325.5,1.5,1.2,2021-04-24,1120,Terra,MODIS,72,6.03,292.6,38.4,D,0
53.2118,-6.4002,313.5,1.2,1.1,2021-04-24,1120,Terra,MODIS,74,6.03,287.9,16.2,D,0
53.7343,-9.3344,310,3.8,1.8,2021-04-24,1257,Terra,MODIS,15,6.03,291.1,67.5,D,0
51.9962,-9.618,325.3,1.3,1.1,2021-04-24,1308,Aqua,MODIS,79,6.03,285.2,32.8,D,0
53.2007,-6.4088,302,1,1,2021-04-24,1308,Aqua,MODIS,50,6.03,291.2,4.7,D,0
53.2032,-6.3936,304.5,1,1,2021-04-24,1308,Aqua,MODIS,59,6.03,291.3,6.3,D,0
52.0065,-9.621,317.3,1.3,1.1,2021-04-24,1308,Aqua,MODIS,71,6.03,285.7,21.4,D,0
53.6374,-9.2193,320.6,1.2,1.1,2021-04-24,1309,Aqua,MODIS,80,6.03,293.4,22.8,D,0
53.7386,-9.3623,333.7,1.2,1.1,2021-04-24,1309,Aqua,MODIS,84,6.03,294.2,43.3,D,0
52.0098,-9.571,303.2,1,1,2021-04-24,2232,Terra,MODIS,44,6.03,280.5,8.8,N,0
52.0168,-9.5896,317.9,1,1,2021-04-24,2232,Terra,MODIS,96,6.03,280.1,19.9,N,0
52.002,-9.6311,301.7,1,1,2021-04-24,2232,Terra,MODIS,38,6.03,278.9,7.9,N,0
52.0078,-9.5863,321,1,1,2021-04-24,2232,Terra,MODIS,100,6.03,280.2,23.3,N,0
52.0178,-9.5785,301.5,1.2,1.1,2021-04-25,0240,Aqua,MODIS,41,6.03,277.8,10.7,N,0
51.7397,-9.1612,309.4,1.2,1.1,2021-04-25,1203,Terra,MODIS,68,6.03,289.4,11.7,D,0
51.7367,-9.1446,317.2,1.2,1.1,2021-04-25,1203,Terra,MODIS,77,6.03,289.8,19.5,D,0
52.013,-9.5654,310.3,1.1,1.1,2021-04-25,1203,Terra,MODIS,39,6.03,292,8.4,D,0
52.0161,-9.5827,310.7,1.1,1.1,2021-04-25,1203,Terra,MODIS,39,6.03,291.7,9.2,D,0
52.0129,-9.5879,311.1,1.3,1.1,2021-04-25,1351,Aqua,MODIS,30,6.03,291.8,10.9,D,0
51.7409,-9.152,324.2,1.3,1.1,2021-04-25,1351,Aqua,MODIS,83,6.03,290.4,32.4,D,0
51.7391,-9.1704,311.9,1.3,1.1,2021-04-25,1351,Aqua,MODIS,72,6.03,290.1,15.9,D,0
53.6861,-6.3548,321.2,1.1,1,2021-07-18,1327,Aqua,MODIS,75,6.03,296.7,14.1,D,0
53.2401,-7.2397,311.9,2,1.4,2021-07-19,1219,Terra,MODIS,40,6.03,298.9,12.8,D,0
53.3006,-7.7523,310.9,2.6,1.5,2021-07-19,1410,Aqua,MODIS,46,6.03,295.5,20.1,D,0
52.1604,-7.6704,312.9,1,1,2021-07-25,1143,Terra,MODIS,63,6.03,297.2,7.1,D,0
53.1912,-7.0556,312.9,1.1,1.1,2021-07-25,1333,Aqua,MODIS,18,6.03,298.1,7.5,D,0
51.7693,-9.1655,309.2,1.1,1,2021-08-28,1320,Aqua,MODIS,65,6.03,292.8,7.7,D,0
52.2718,-7.5575,306.5,1.5,1.2,2021-09-07,1207,Terra,MODIS,52,6.03,292.7,8.9,D,0
53.7002,-6.3166,328.6,2.8,1.6,2021-09-19,1230,Terra,MODIS,82,6.03,287.7,126.5,D,0
53.6965,-6.3267,303.9,1.6,1.2,2021-09-19,1244,Aqua,MODIS,57,6.03,290.3,9.7,D,0
53.4272,-6.1656,316.2,1,1,2021-09-19,2205,Terra,MODIS,93,6.03,282.2,17.5,N,0
