latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.3264,34.6091,309.9,1.3,1.1,2021-01-04,1111,Aqua,MODIS,59,6.03,298.4,6.6,D,2
33.0393,35.7008,309,1.2,1.1,2021-01-05,0839,Terra,MODIS,68,6.03,290.5,10.9,D,0
33.0373,35.7129,306.7,1.2,1.1,2021-01-05,0839,Terra,MODIS,64,6.03,290.3,9.1,D,0
31.761,34.8368,306.8,1,1,2021-01-07,0828,Terra,MODIS,62,6.03,295.1,5.3,D,0
31.7595,34.8474,307,1,1,2021-01-07,0828,Terra,MODIS,63,6.03,295.4,5.6,D,0
33.1138,35.5335,305.3,1,1,2021-01-08,1047,Aqua,MODIS,56,6.03,294.9,4.9,D,0
33.1027,35.8,306.9,2,1.4,2021-01-11,1117,Aqua,MODIS,56,6.03,290.8,16.9,D,0
33.0986,35.8083,311.5,2,1.4,2021-01-11,1117,Aqua,MODIS,66,6.03,291.1,24.6,D,0
31.2324,34.4343,300.5,1.1,1,2021-01-21,0840,Terra,MODIS,38,6.03,288,4,D,0
32.7671,35.6669,311.4,1,1,2021-02-09,1047,Aqua,MODIS,59,6.03,295.1,7.9,D,0
32.7688,35.6776,309.7,1,1,2021-02-09,1047,Aqua,MODIS,53,6.03,295.5,6.4,D,0
31.3105,34.5999,302.5,1.1,1,2021-02-22,0839,Terra,MODIS,52,6.03,284.7,5.7,D,0
31.5989,34.5583,317,1.1,1,2021-03-10,0839,Terra,MODIS,68,6.03,299.6,10.4,D,0
31.6008,34.5471,318.9,1.1,1,2021-03-10,0839,Terra,MODIS,71,6.03,300.6,11.7,D,0
31.5144,34.6072,313.3,1.1,1.1,2021-03-13,1046,Aqua,MODIS,56,6.03,298.6,9.8,D,2
31.6652,34.6355,330.1,1.1,1.1,2021-03-29,1046,Aqua,MODIS,78,6.03,296.3,29.3,D,0
31.6559,34.6377,334.2,1.1,1.1,2021-03-29,1046,Aqua,MODIS,81,6.03,296.8,36,D,0
31.4223,34.6735,321.5,1.1,1.1,2021-03-29,1046,Aqua,MODIS,70,6.03,299.2,15.9,D,0
31.4076,34.8215,320.9,1.1,1.1,2021-03-29,1046,Aqua,MODIS,69,6.03,301.1,14,D,0
31.3026,34.7424,320.5,1.1,1.1,2021-03-29,1046,Aqua,MODIS,65,6.03,304.4,8.7,D,0
31.2933,34.7445,327.6,1.1,1.1,2021-03-29,1046,Aqua,MODIS,77,6.03,306.3,17,D,0
31.2551,34.844,317.2,1.1,1.1,2021-03-29,1046,Aqua,MODIS,47,6.03,304.3,6.4,D,0
31.6581,34.7695,311.7,1.1,1.1,2021-03-29,1046,Aqua,MODIS,36,6.03,296.2,8,D,0
32.9245,35.3197,308.2,1,1,2021-04-04,0832,Terra,MODIS,32,6.03,296.7,5.6,D,2
31.8835,34.7347,318.7,1,1,2021-04-05,1053,Aqua,MODIS,44,6.03,306.2,6.3,D,2
32.0558,34.9503,303.1,1.6,1.2,2021-04-29,1927,Terra,MODIS,53,6.03,289.9,10.8,N,0
32.9232,35.3177,319.7,1,1,2021-05-06,0832,Terra,MODIS,30,6.03,306.5,7.7,D,2
31.3925,34.4313,345.3,1,1,2021-05-07,1052,Aqua,MODIS,90,6.03,315.3,35.6,D,0
31.5793,34.8207,328.7,2.6,1.6,2021-05-09,0903,Terra,MODIS,64,6.03,309.5,42.7,D,0
31.4388,34.4808,325.6,1.4,1.2,2021-05-09,1040,Aqua,MODIS,44,6.03,304,15.1,D,0
31.4433,34.4852,334.2,1.4,1.2,2021-05-09,1040,Aqua,MODIS,80,6.03,303.2,32.4,D,0
31.5938,34.5238,323.1,2.1,1.4,2021-05-11,1028,Aqua,MODIS,37,6.03,302.7,30.2,D,0
32.6507,35.3992,336.3,1.8,1.3,2021-05-11,1028,Aqua,MODIS,78,6.03,309.6,51.7,D,0
32.6472,35.381,331.4,1.8,1.3,2021-05-11,1028,Aqua,MODIS,67,6.03,308.8,36.8,D,0
31.6213,34.5206,312.5,1,1,2021-05-11,1951,Terra,MODIS,85,6.03,293.9,11.5,N,2
31.624,34.5507,303.8,2.5,1.5,2021-05-12,0010,Aqua,MODIS,57,6.03,288.5,27.7,N,0
31.6394,34.5524,326.6,1.3,1.1,2021-05-12,1111,Aqua,MODIS,50,6.03,308.6,14.1,D,0
31.3596,35.1223,303.8,1.5,1.2,2021-05-12,2315,Aqua,MODIS,57,6.03,288,13.7,N,0
31.5803,34.9108,327.8,1,1,2021-05-14,1058,Aqua,MODIS,52,6.03,314.3,10.6,D,0
31.6308,34.5391,325.1,1,1,2021-05-14,1059,Aqua,MODIS,31,6.03,311.9,8,D,2
32.1607,34.917,334.5,1,1,2021-05-14,1059,Aqua,MODIS,75,6.03,310.9,19.6,D,2
31.5965,34.5818,325.7,1.1,1,2021-05-21,1105,Aqua,MODIS,58,6.03,309,9.6,D,0
31.5979,34.5931,330.1,1.1,1,2021-05-21,1105,Aqua,MODIS,71,6.03,308.7,15.9,D,0
