latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.9751,14.6286,314.7,1,1,2021-01-09,0952,Terra,MODIS,75,6.03,287.4,14,D,0
37.9735,14.6402,304.7,1,1,2021-01-09,0952,Terra,MODIS,60,6.03,286.8,6.9,D,0
45.7895,9.1731,300.6,1,1,2021-01-10,1033,Terra,MODIS,39,6.03,274.9,8.8,D,2
45.7862,9.1749,304.8,1,1,2021-01-10,1217,Aqua,MODIS,60,6.03,276.2,11,D,2
41.1822,13.8765,302.3,1.1,1,2021-01-12,1203,Aqua,MODIS,52,6.03,285.1,7.5,D,0
41.1802,13.8642,303.3,1.1,1,2021-01-12,1203,Aqua,MODIS,56,6.03,285.1,8,D,0
41.4434,14.0668,309.1,1,1,2021-01-12,1203,Aqua,MODIS,64,6.03,283,12.3,D,0
41.2586,13.8364,306.7,1.1,1,2021-01-12,1203,Aqua,MODIS,56,6.03,283.8,9.9,D,0
42.0505,13.4999,300.2,1.1,1,2021-01-12,1203,Aqua,MODIS,31,6.03,281.5,6.9,D,0
40.9319,14.0565,314.8,1.1,1,2021-01-12,1203,Aqua,MODIS,62,6.03,284.4,15.8,D,2
43.2593,13.57,302.9,1,1,2021-01-12,1204,Aqua,MODIS,51,6.03,279.2,8.9,D,0
45.1426,9.9439,315,1.1,1.1,2021-01-12,2129,Terra,MODIS,90,6.03,271.4,23.2,N,2
40.3498,17.5033,300.2,1,1,2021-01-14,1150,Aqua,MODIS,31,6.03,285.9,5.1,D,2
40.5162,17.2045,303.2,1.1,1,2021-01-14,1151,Aqua,MODIS,42,6.03,287.7,6.7,D,2
40.448,17.356,300.8,1,1,2021-01-14,1151,Aqua,MODIS,38,6.03,286.4,4.8,D,2
40.4461,17.3439,306.5,1,1,2021-01-14,1151,Aqua,MODIS,64,6.03,286.9,8.4,D,0
40.5911,17.2667,305,1.1,1,2021-01-14,1151,Aqua,MODIS,60,6.03,284.7,8.4,D,0
45.2215,7.9603,301.2,1,1,2021-01-17,1223,Aqua,MODIS,43,6.03,277.6,8.4,D,0
37.4382,15.0347,301.8,1,1,2021-01-19,0105,Aqua,MODIS,44,6.03,274.1,10,N,2
37.4385,15.0261,305.1,1,1,2021-01-19,1208,Aqua,MODIS,61,6.03,287.7,7.3,D,0
45.1477,9.9471,301,1.3,1.1,2021-01-25,2058,Terra,MODIS,37,6.03,272,14.1,N,2
45.1457,9.9397,302.3,1.1,1,2021-01-26,1033,Terra,MODIS,49,6.03,277.8,10.2,D,2
40.0074,9.6155,306.1,1.2,1.1,2021-01-26,1215,Aqua,MODIS,63,6.03,287.6,10.8,D,0
43.3528,10.4641,303.6,1,1,2021-01-26,1216,Aqua,MODIS,40,6.03,284,7.8,D,0
