latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.8651,-77.1629,315.6,1.1,1,2021-01-03,0320,Terra,MODIS,89,6.03,293.9,15.4,N,0
18.1699,-77.7181,312.5,1,1,2021-01-03,1838,Aqua,MODIS,52,6.03,295.3,6.8,D,0
18.292,-78.0802,316.6,1.2,1.1,2021-01-05,1826,Aqua,MODIS,35,6.03,299.7,9.2,D,0
18.3353,-78.215,314.3,1,1,2021-01-12,1832,Aqua,MODIS,52,6.03,291.3,11,D,0
17.9128,-77.0944,305.7,1,1,2021-01-17,1544,Terra,MODIS,0,6.03,288.1,2.9,D,2
18.2713,-78.0922,307,1.1,1.1,2021-01-17,1544,Terra,MODIS,61,6.03,285.6,4.3,D,0
18.2425,-78.1237,328.7,1,1,2021-01-19,1838,Aqua,MODIS,82,6.03,302.7,18.8,D,0
18.1212,-77.8718,311.3,1,1,2021-01-19,1838,Aqua,MODIS,48,6.03,299.2,4.8,D,0
18.2873,-78.0965,318.1,1.8,1.3,2021-01-20,1614,Terra,MODIS,69,6.03,300.4,20.4,D,0
18.2756,-78.0988,317.7,1.8,1.3,2021-01-20,1614,Terra,MODIS,71,6.03,300.7,18.6,D,0
18.3034,-78.0965,315.4,1.2,1.1,2021-01-21,1826,Aqua,MODIS,18,6.03,302.2,6.8,D,0
18.3314,-78.2087,311.8,1.1,1.1,2021-01-22,1602,Terra,MODIS,67,6.03,299.4,6.6,D,0
18.3297,-78.198,315.9,1.1,1.1,2021-01-22,1602,Terra,MODIS,73,6.03,299.9,10.5,D,0
18.2228,-77.7681,327.5,1,1,2021-01-24,1550,Terra,MODIS,82,6.03,298.2,21.6,D,0
18.2641,-78.2427,322.6,1,1,2021-01-24,1550,Terra,MODIS,77,6.03,302.1,12.8,D,0
18.1728,-77.6136,314.2,1,1,2021-01-24,1550,Terra,MODIS,67,6.03,298.9,7.2,D,0
18.2731,-78.2413,320.3,1,1,2021-01-24,1550,Terra,MODIS,64,6.03,301.2,10.7,D,0
17.9884,-77.7549,317.4,1.3,1.1,2021-01-26,1538,Terra,MODIS,68,6.03,302.1,11.4,D,0
17.9866,-77.7621,329,1.1,1.1,2021-01-26,1844,Aqua,MODIS,82,6.03,306.1,21.5,D,0
17.9912,-77.7584,311.5,1.5,1.2,2021-01-29,1608,Terra,MODIS,26,6.03,295.3,8.8,D,0
18.2652,-78.2007,323.5,1.3,1.1,2021-02-02,1851,Aqua,MODIS,76,6.03,295.4,21.3,D,0
18.2668,-78.1884,318.7,1.3,1.1,2021-02-02,1851,Aqua,MODIS,70,6.03,297.6,14.5,D,0
18.2654,-78.195,325.8,1.3,1.1,2021-02-02,1851,Aqua,MODIS,79,6.03,297.4,23.9,D,0
18.184,-77.7235,326.6,1,1,2021-02-04,1838,Aqua,MODIS,60,6.03,294.2,19.9,D,0
18.2591,-78.2318,342.9,1,1,2021-02-04,1838,Aqua,MODIS,91,6.03,303.7,38.2,D,0
18.2605,-78.2225,355.2,1,1,2021-02-04,1838,Aqua,MODIS,98,6.03,304.9,64.3,D,0
18.2565,-78.2506,318.4,1,1,2021-02-04,1838,Aqua,MODIS,39,6.03,302.9,7.6,D,0
18.2552,-78.2599,316.9,1,1,2021-02-04,1838,Aqua,MODIS,59,6.03,302.3,6.8,D,0
17.9513,-77.2671,313.8,1.1,1,2021-02-06,1826,Aqua,MODIS,40,6.03,296.3,8.6,D,0
18.2606,-78.2125,317.8,1.2,1.1,2021-02-06,1826,Aqua,MODIS,72,6.03,302.6,8.7,D,0
18.2796,-78.1546,319.3,1.7,1.3,2021-02-09,1857,Aqua,MODIS,49,6.03,299.3,17,D,0
18.1273,-77.1376,310.1,1.7,1.3,2021-02-14,1608,Terra,MODIS,55,6.03,294.2,11.2,D,0
18.2679,-78.1802,318.4,3.7,1.8,2021-02-14,1915,Aqua,MODIS,68,6.03,293.5,56.1,D,0
18.2318,-78.097,327.5,1.2,1.1,2021-02-23,1602,Terra,MODIS,72,6.03,298.9,23.2,D,0
18.2335,-78.1077,344.4,1.2,1.1,2021-02-23,1602,Terra,MODIS,81,6.03,301.3,53.8,D,0
17.9572,-76.9216,320.3,1.2,1.1,2021-02-27,1537,Terra,MODIS,71,6.03,303.6,8.8,D,0
18.0147,-76.8848,317.3,1.2,1.1,2021-02-27,1537,Terra,MODIS,62,6.03,301.2,8.5,D,0
18.0133,-76.8741,347.1,1.2,1.1,2021-02-27,1537,Terra,MODIS,94,6.03,302.5,58.7,D,0
18.0039,-76.6222,317.3,1.3,1.1,2021-02-27,1844,Aqua,MODIS,68,6.03,302,13.8,D,0
18.4062,-77.7051,318.9,1.2,1.1,2021-02-27,1845,Aqua,MODIS,70,6.03,297.4,13.1,D,0
18.4158,-77.7065,325.5,1.2,1.1,2021-02-27,1845,Aqua,MODIS,75,6.03,298.8,19.4,D,0
