latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.5563,140.5244,313.4,1,1,2021-01-02,0132,Terra,MODIS,74,6.03,280.6,14.9,D,0
35.0308,136.8882,302,1.2,1.1,2021-01-02,0133,Terra,MODIS,50,6.03,283.3,7.8,D,2
35.0324,136.8754,303.2,1.2,1.1,2021-01-02,0133,Terra,MODIS,40,6.03,284.7,8.2,D,2
35.351,139.8693,301.6,1,1,2021-01-02,0133,Terra,MODIS,0,6.03,285.7,6,D,2
35.0271,136.8761,302.7,1,1,2021-01-02,1651,Aqua,MODIS,45,6.03,276.1,9.3,N,2
35.3519,139.8808,301.2,1.2,1.1,2021-01-04,0120,Terra,MODIS,0,6.03,284.9,7.8,D,2
33.2557,131.6519,301.3,1.1,1,2021-01-04,0436,Aqua,MODIS,43,6.03,287.6,5,D,2
35.0246,136.8685,303,1.5,1.2,2021-01-06,0424,Aqua,MODIS,0,6.03,283.5,11.1,D,2
35.0273,136.8832,303.7,1,1,2021-01-07,0151,Terra,MODIS,47,6.03,283.4,6.7,D,2
35.0291,136.8719,310.7,1,1,2021-01-07,0151,Terra,MODIS,52,6.03,284.6,11.1,D,2
35.0276,136.8718,300.4,1.4,1.2,2021-01-07,1709,Aqua,MODIS,24,6.03,274.1,14.8,N,2
35.0282,136.8696,300.9,1.1,1,2021-01-08,0412,Aqua,MODIS,0,6.03,276.8,7.2,D,2
35.0286,136.8793,302.6,1,1,2021-01-09,0139,Terra,MODIS,38,6.03,280.4,7,D,2
35.026,136.8744,302.1,1.4,1.2,2021-01-09,1241,Terra,MODIS,46,6.03,273.1,16,N,2
35.0292,136.8766,302.7,1.1,1,2021-01-09,1657,Aqua,MODIS,51,6.03,272.9,10.9,N,2
35.9966,139.9801,301.6,1.1,1,2021-01-10,0359,Aqua,MODIS,48,6.03,283.6,6.8,D,0
35.9904,139.988,300.1,1.1,1,2021-01-10,0359,Aqua,MODIS,29,6.03,283.6,5.3,D,2
