latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.1663,38.8639,305.4,1,1,2021-01-01,1040,Aqua,MODIS,27,6.03,291.3,3.9,D,0
32.1752,38.868,304.5,1,1,2021-01-02,0809,Terra,MODIS,59,6.03,287.3,5.8,D,0
32.1726,38.8666,300.3,1.4,1.2,2021-01-04,0757,Terra,MODIS,34,6.03,287,4.8,D,0
30.3537,35.1868,303.9,1.2,1.1,2021-01-21,0840,Terra,MODIS,41,6.03,290.7,4.8,D,0
31.9016,36.5879,302.1,1.3,1.1,2021-01-21,0840,Terra,MODIS,51,6.03,284.8,7.3,D,0
31.902,36.5736,303.3,1,1,2021-01-24,1046,Aqua,MODIS,22,6.03,289.8,2.7,D,0
31.6515,35.912,316.8,1.4,1.2,2021-02-11,1034,Aqua,MODIS,69,6.03,298,16,D,0
32.3305,36.5383,307.1,1.1,1.1,2021-02-15,0833,Terra,MODIS,46,6.03,295.8,4.4,D,0
31.7938,35.5873,309.1,1,1,2021-02-24,0827,Terra,MODIS,51,6.03,297,3.1,D,0
31.9723,36.1247,310.5,1,1,2021-02-25,1046,Aqua,MODIS,54,6.03,292.7,5.8,D,0
32.1795,35.5622,310.5,1.4,1.2,2021-04-29,1927,Terra,MODIS,62,6.03,296.1,12.3,N,0
32.1899,35.5596,328.6,1.4,1.2,2021-04-29,1927,Terra,MODIS,100,6.03,296.5,41.5,N,0
32.1923,35.561,309.6,1.2,1.1,2021-04-29,2346,Aqua,MODIS,78,6.03,293.3,10.2,N,0
32.203,35.5702,312.9,1.2,1.1,2021-04-29,2346,Aqua,MODIS,86,6.03,293.9,13.1,N,0
32.1934,35.5679,330.9,1.2,1.1,2021-04-29,2346,Aqua,MODIS,100,6.03,294.8,37,N,0
32.1912,35.5801,304.4,1.2,1.1,2021-04-29,2346,Aqua,MODIS,52,6.03,293.8,6,N,0
32.1902,35.5733,321.2,1.2,1.1,2021-04-29,2346,Aqua,MODIS,100,6.03,294.8,22.9,N,0
32.1731,35.9408,328.9,1.7,1.3,2021-05-11,1028,Aqua,MODIS,52,6.03,312.5,21.3,D,0
31.9741,35.725,326.6,1.4,1.2,2021-05-18,1034,Aqua,MODIS,45,6.03,311.8,14.1,D,0
32.5145,36.1962,333.9,2,1.4,2021-05-20,1022,Aqua,MODIS,59,6.03,320.7,22.5,D,2
32.622,35.6608,325.4,1.2,1.1,2021-05-29,0838,Terra,MODIS,53,6.03,308,10.7,D,0
32.0005,35.9005,301.6,1,1,2021-05-29,1939,Terra,MODIS,43,6.03,289.4,4.8,N,2
31.9989,35.8898,301.8,1,1,2021-05-29,1939,Terra,MODIS,44,6.03,290.3,4.9,N,2
32.3888,35.6573,303.5,1,1,2021-05-29,1939,Terra,MODIS,55,6.03,292,5.5,N,0
32.4501,35.564,338,4.3,1.9,2021-05-31,1004,Aqua,MODIS,79,6.03,305.5,221.2,D,0
32.4844,35.5826,309.2,1.4,1.2,2021-05-31,1927,Terra,MODIS,77,6.03,295.1,12,N,0
31.779,35.6009,301.4,2.9,1.6,2021-06-13,0010,Aqua,MODIS,41,6.03,291,17.8,N,0
32.1575,35.8442,325.7,1.2,1.1,2021-06-14,0838,Terra,MODIS,38,6.03,306.9,14.6,D,0
30.6361,35.2254,316,1.6,1.2,2021-06-16,1926,Terra,MODIS,92,6.03,295.6,25.6,N,0
31.7827,35.5862,316.1,1,1,2021-06-21,1944,Terra,MODIS,93,6.03,298.9,10.9,N,0
31.7841,35.5966,314.2,1,1,2021-06-21,1944,Terra,MODIS,89,6.03,298.8,9.2,N,0
32.226,35.7464,337.7,1,1,2021-06-24,1052,Aqua,MODIS,76,6.03,316,20.6,D,0
31.767,35.7952,335.1,1,1,2021-07-11,0819,Terra,MODIS,73,6.03,316.4,15.7,D,0
31.94,35.5467,330.2,1,1,2021-07-25,0831,Terra,MODIS,56,6.03,309.1,8.5,D,0
32.4138,35.8923,331.5,1.1,1.1,2021-07-28,1040,Aqua,MODIS,55,6.03,315.8,12.8,D,0
31.9938,36.1212,307.5,1.6,1.2,2021-07-28,2002,Terra,MODIS,68,6.03,294.7,12.9,N,0
29.6043,35.0489,335.8,1.1,1.1,2021-09-05,1046,Aqua,MODIS,75,6.03,311.3,23.3,D,0
29.6023,35.0371,336.8,1.1,1.1,2021-09-05,1046,Aqua,MODIS,77,6.03,312,24.7,D,0
31.9007,36.1019,327.4,1.1,1.1,2021-09-30,1040,Aqua,MODIS,65,6.03,310.4,12.2,D,0
32.225,35.5912,316.4,1.2,1.1,2021-10-24,0811,Terra,MODIS,57,6.03,303.2,7.2,D,0
31.3043,35.5255,308.9,1.5,1.2,2021-12-14,0840,Terra,MODIS,42,6.03,296.3,9,D,0
29.6071,35.0698,304.1,1,1,2021-12-25,0822,Terra,MODIS,49,6.03,291,4.3,D,0
