latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.2195,20.6607,301.7,1.2,1.1,2021-02-06,1157,Aqua,MODIS,48,6.03,288.8,5.3,D,0
42.2212,20.6754,305.5,1.2,1.1,2021-02-06,1157,Aqua,MODIS,61,6.03,287.9,8.3,D,0
42.8713,20.6624,301,2.5,1.5,2021-02-23,1102,Aqua,MODIS,44,6.03,290.1,17.2,D,0
42.8262,21.0405,302.3,1,1,2021-02-24,1145,Aqua,MODIS,52,6.03,290,4.2,D,0
42.9195,20.6435,300.4,1,1,2021-02-24,1145,Aqua,MODIS,24,6.03,287.8,3.9,D,0
42.8553,20.647,301.7,1,1,2021-02-24,1145,Aqua,MODIS,41,6.03,288.5,3.6,D,0
42.4781,20.3831,302.2,1.1,1,2021-03-03,1151,Aqua,MODIS,51,6.03,292,3.9,D,0
42.8035,21.1458,304.2,1.1,1.1,2021-03-03,1151,Aqua,MODIS,58,6.03,292.6,5.4,D,0
42.5249,21.519,303.8,1.1,1.1,2021-03-03,1151,Aqua,MODIS,57,6.03,291,5,D,0
42.2073,20.8086,316.2,1.4,1.2,2021-03-05,0957,Terra,MODIS,76,6.03,286.8,25.9,D,0
42.3059,21.0113,307.7,1.5,1.2,2021-03-05,0957,Terra,MODIS,65,6.03,285.8,17.3,D,0
42.935,21.0838,300.8,1,1,2021-03-05,1139,Aqua,MODIS,37,6.03,288.9,3.2,D,0
42.9367,21.0959,309.1,1,1,2021-03-05,1139,Aqua,MODIS,68,6.03,290.4,7.8,D,0
42.3022,21.0013,333.8,1,1,2021-03-05,1139,Aqua,MODIS,89,6.03,292.9,35.1,D,0
42.2987,20.9775,305,1,1,2021-03-05,1139,Aqua,MODIS,53,6.03,284.9,7.4,D,0
43.0064,20.9452,303.2,1,1,2021-03-05,1139,Aqua,MODIS,38,6.03,291.9,3.9,D,0
42.6933,21.012,302.8,1,1,2021-03-05,1139,Aqua,MODIS,54,6.03,292.6,3.7,D,0
42.2366,21.0565,310.5,1,1,2021-03-05,1139,Aqua,MODIS,70,6.03,290.1,9.4,D,0
42.304,21.0134,340,1,1,2021-03-05,1139,Aqua,MODIS,92,6.03,286.2,44.9,D,0
42.9233,20.5142,321.5,1,1,2021-03-05,1139,Aqua,MODIS,81,6.03,284.9,20.3,D,0
42.4172,20.2932,300.8,1,1,2021-03-05,1139,Aqua,MODIS,42,6.03,289.4,3.7,D,0
42.9215,20.502,312.7,1,1,2021-03-05,1139,Aqua,MODIS,71,6.03,288.4,12.2,D,0
42.9332,21.0718,308.5,1,1,2021-03-05,1139,Aqua,MODIS,67,6.03,289.8,7.5,D,0
42.5419,21.1959,302.6,1.2,1.1,2021-03-07,1127,Aqua,MODIS,53,6.03,291.3,4.5,D,0
42.9404,21.1754,307.1,2.3,1.5,2021-03-31,1216,Aqua,MODIS,65,6.03,290.2,18.5,D,0
42.4451,21.5699,316.6,1,1,2021-04-01,0938,Terra,MODIS,72,6.03,295.5,11.9,D,0
42.4432,21.5824,312.7,1,1,2021-04-01,0938,Terra,MODIS,63,6.03,292.5,8.9,D,0
42.8723,20.6279,328.6,1.2,1.1,2021-04-27,1157,Aqua,MODIS,86,6.03,291.3,31.4,D,0
42.875,20.6364,314.5,1.2,1.1,2021-04-27,1157,Aqua,MODIS,75,6.03,292.2,13,D,0
42.2767,21.1085,315.5,1.5,1.2,2021-05-04,1203,Aqua,MODIS,73,6.03,294.1,18.5,D,0
42.2813,21.1195,313.1,1.5,1.2,2021-05-04,1203,Aqua,MODIS,40,6.03,293.3,12.9,D,0
42.2785,21.1272,313,1.5,1.2,2021-05-04,1203,Aqua,MODIS,70,6.03,293.8,14.7,D,0
42.3456,20.8247,313,1.1,1,2021-05-10,0943,Terra,MODIS,60,6.03,299.8,5.4,D,0
42.6978,21.0534,312.7,1.2,1.1,2021-05-26,1126,Aqua,MODIS,63,6.03,297.6,5.9,D,0
42.3453,20.8214,315.3,1.1,1,2021-06-02,1132,Aqua,MODIS,66,6.03,298.2,8.5,D,0
42.3417,20.8277,316.7,1,1,2021-06-09,1139,Aqua,MODIS,64,6.03,301.9,5.6,D,0
42.349,20.8299,310.8,1.1,1,2021-06-11,0943,Terra,MODIS,60,6.03,295.8,5.4,D,2
42.3977,20.4208,315.8,1,1,2021-06-11,0943,Terra,MODIS,58,6.03,299.7,7.8,D,0
42.6996,21.0606,315.9,1,1,2021-06-20,0937,Terra,MODIS,53,6.03,298.5,7.2,D,0
42.347,20.8243,320.1,1.1,1,2021-06-27,0943,Terra,MODIS,68,6.03,304.1,7.4,D,2
42.4727,20.5275,316.2,1.4,1.2,2021-07-11,0955,Terra,MODIS,30,6.03,296.2,10.1,D,0
42.3492,20.8182,326.1,1.1,1,2021-07-13,0942,Terra,MODIS,61,6.03,308.2,11.1,D,0
42.347,20.8309,328.6,1.1,1,2021-07-13,0942,Terra,MODIS,63,6.03,307.7,14.9,D,2
42.3476,20.8189,328.4,1.2,1.1,2021-07-13,1126,Aqua,MODIS,78,6.03,310.5,13.8,D,0
43.0807,20.982,320,1,1,2021-07-15,0930,Terra,MODIS,25,6.03,304.5,7,D,0
42.3226,20.8074,323.9,1.7,1.3,2021-07-15,1114,Aqua,MODIS,70,6.03,303.9,14.9,D,0
43.0827,20.9887,301.9,1,1,2021-07-15,2036,Terra,MODIS,41,6.03,288.2,6.7,N,0
42.6872,20.6255,302.4,1.2,1.1,2021-07-26,2018,Terra,MODIS,49,6.03,289.3,6.6,N,0
42.7666,20.5303,330.7,1,1,2021-07-27,1139,Aqua,MODIS,81,6.03,309.9,12.5,D,0
42.7614,20.5571,326.8,1,1,2021-07-27,1139,Aqua,MODIS,71,6.03,310.3,9.2,D,0
42.1002,21.2835,306.3,1.3,1.1,2021-07-29,2048,Terra,MODIS,67,6.03,295.7,7.1,N,0
