latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.8786,47.8183,300.7,1,1,2021-01-01,2245,Aqua,MODIS,32,6.03,281.1,7.7,N,0
29.9015,47.7278,303.9,1,1,2021-01-01,2245,Aqua,MODIS,58,6.03,281.6,9.4,N,0
29.9765,47.9069,305.1,1,1,2021-01-01,2245,Aqua,MODIS,63,6.03,281.4,10.4,N,0
29.8701,47.8085,307.3,1.6,1.2,2021-01-02,0944,Aqua,MODIS,54,6.03,294,7.5,D,0
29.0059,47.7439,319,1.1,1,2021-01-02,1909,Terra,MODIS,98,6.03,282.7,23.7,N,0
29.0129,47.7527,301.3,1.1,1.1,2021-01-03,2233,Aqua,MODIS,39,6.03,281.9,9.4,N,0
29.8822,47.7316,316.3,1,1,2021-01-04,1857,Terra,MODIS,93,6.03,283.2,17.6,N,0
29.8807,47.7213,328,1,1,2021-01-04,1857,Terra,MODIS,100,6.03,283.2,30,N,0
29.8768,47.727,336,1.1,1.1,2021-01-05,1015,Aqua,MODIS,88,6.03,295.6,38.9,D,0
29.8754,47.7155,316.9,1.1,1.1,2021-01-05,1015,Aqua,MODIS,71,6.03,296.6,12.3,D,0
29.8267,47.7053,308.6,4.2,1.9,2021-01-06,0920,Aqua,MODIS,67,6.03,294,39.3,D,0
29.8404,47.7375,333,4.1,1.9,2021-01-06,0920,Aqua,MODIS,88,6.03,294.8,230.3,D,0
29.8364,47.7465,328.2,4.1,1.9,2021-01-06,0920,Aqua,MODIS,86,6.03,294.4,181.8,D,0
29.8714,47.8164,315.9,1,1,2021-01-07,1003,Aqua,MODIS,76,6.03,293.1,13.5,D,0
29.8466,47.7985,310.3,2.1,1.4,2021-01-07,1927,Terra,MODIS,80,6.03,279.9,40.8,N,0
29.8938,47.727,303.6,1,1,2021-01-08,0732,Terra,MODIS,49,6.03,289.9,3.8,D,0
29.9364,47.9279,306,2,1.4,2021-01-11,0803,Terra,MODIS,58,6.03,291.1,10.6,D,0
29.9435,47.9145,307.8,2,1.4,2021-01-11,0803,Terra,MODIS,40,6.03,291.6,12,D,0
29.9403,47.908,313.4,2,1.4,2021-01-11,0803,Terra,MODIS,72,6.03,291.7,24.9,D,0
29.0101,47.7482,305.4,1,1,2021-01-15,0739,Terra,MODIS,42,6.03,287.1,6.5,D,0
28.552,47.985,311.5,1.1,1.1,2021-01-16,0956,Aqua,MODIS,50,6.03,299.4,5.4,D,0
29.9722,47.6765,306.5,1,1,2021-01-17,2245,Aqua,MODIS,68,6.03,280.7,11.2,N,0
29.9711,47.6623,306.3,2.4,1.5,2021-01-18,0809,Terra,MODIS,41,6.03,289.1,15.7,D,0
29.9711,47.681,304.5,2.4,1.5,2021-01-18,0809,Terra,MODIS,35,6.03,289.4,13.5,D,0
29.9674,47.6765,305.1,1.2,1.1,2021-01-19,2232,Aqua,MODIS,63,6.03,280.1,13,N,0
29.9726,47.6765,306.4,1.5,1.2,2021-01-20,0757,Terra,MODIS,42,6.03,292.9,6.5,D,0
29.0095,47.6689,312.3,1.4,1.2,2021-01-22,1844,Terra,MODIS,85,6.03,276,25.9,N,0
29.8466,47.7395,302.1,2.1,1.4,2021-01-24,1832,Terra,MODIS,47,6.03,278.3,23.7,N,0
29.9009,47.8704,300.4,1.1,1,2021-01-24,2251,Aqua,MODIS,27,6.03,276.5,9.8,N,0
29.8766,47.7274,308.1,3.1,1.7,2021-01-25,0815,Terra,MODIS,54,6.03,291.5,24.4,D,0
29.8755,47.7323,308.1,3.1,1.7,2021-01-25,0815,Terra,MODIS,55,6.03,291.5,22.8,D,0
29.893,47.8636,313,1.3,1.1,2021-01-25,0950,Aqua,MODIS,62,6.03,297.6,8.5,D,0
29.9678,47.8813,313.2,1.3,1.1,2021-01-25,0950,Aqua,MODIS,63,6.03,296.4,9.2,D,0
29.878,47.7176,317.1,1.3,1.1,2021-01-25,0950,Aqua,MODIS,70,6.03,297.1,14.4,D,0
29.8803,47.7308,313.6,1.3,1.1,2021-01-25,0950,Aqua,MODIS,63,6.03,295.8,10.1,D,0
29.023,48.1362,310.6,1.3,1.1,2021-01-25,0950,Aqua,MODIS,45,6.03,296,6.2,D,2
29.97,47.8942,310.1,1.3,1.1,2021-01-25,0950,Aqua,MODIS,54,6.03,295.9,5.5,D,0
29.9332,47.9041,302.3,1.4,1.2,2021-01-25,1915,Terra,MODIS,48,6.03,279.3,13.6,N,0
29.9348,47.918,312.8,1.4,1.2,2021-01-25,1915,Terra,MODIS,86,6.03,280.3,24.4,N,0
29.9412,47.9111,316,1.4,1.2,2021-01-25,1915,Terra,MODIS,92,6.03,279.9,28,N,0
29.8366,47.8516,308.5,2,1.4,2021-01-27,0803,Terra,MODIS,50,6.03,295.6,9.8,D,0
29.8787,47.7209,330.1,1.3,1.1,2021-01-28,1021,Aqua,MODIS,83,6.03,297.2,33.9,D,0
29.8812,47.7275,319.5,1.3,1.1,2021-01-28,1021,Aqua,MODIS,72,6.03,296.6,16.3,D,0
29.8948,47.7053,304.9,1.1,1.1,2021-01-29,1850,Terra,MODIS,62,6.03,286,10.1,N,0
29.9884,47.8803,315.4,1,1,2021-01-30,1009,Aqua,MODIS,67,6.03,299.9,7.1,D,0
29.8957,47.7117,312,1,1,2021-01-31,0738,Terra,MODIS,39,6.03,294.8,5.7,D,0
29.9062,47.7032,308.7,1,1,2021-01-31,0738,Terra,MODIS,34,6.03,295.3,3.8,D,0
29.9047,47.7134,319,1,1,2021-01-31,0738,Terra,MODIS,73,6.03,294.1,12,D,0
29.8588,47.726,310.9,3.9,1.8,2021-02-01,0821,Terra,MODIS,56,6.03,295.6,41.2,D,0
29.8496,47.7655,310.4,4,1.9,2021-02-01,0821,Terra,MODIS,54,6.03,295.3,39,D,0
29.8645,47.7326,311.4,3.9,1.8,2021-02-01,0821,Terra,MODIS,58,6.03,295.7,42.5,D,0
29.8544,47.7329,312.2,1.1,1,2021-02-01,0956,Aqua,MODIS,46,6.03,300.2,4.8,D,0
29.8562,47.7441,313.7,1.1,1,2021-02-01,0956,Aqua,MODIS,55,6.03,300.7,6.2,D,0
29.8691,47.8371,304.7,1,1,2021-02-02,2245,Aqua,MODIS,61,6.03,279.9,10.2,N,0
28.9995,48.0189,336.1,1.1,1.1,2021-02-03,1908,Terra,MODIS,100,6.03,284.3,47.5,N,0
28.9981,48.0075,301.8,1.1,1.1,2021-02-03,1908,Terra,MODIS,44,6.03,283.6,8.3,N,0
29.8966,47.7201,321.6,1.1,1,2021-02-07,0744,Terra,MODIS,77,6.03,287.8,17.5,D,0
29.8948,47.731,316.6,1.1,1,2021-02-07,0744,Terra,MODIS,58,6.03,289.5,12.4,D,0
28.9872,48.1302,309.1,1.1,1.1,2021-02-07,0745,Terra,MODIS,58,6.03,294.1,5.5,D,0
29.8175,47.7662,313.4,1.3,1.1,2021-02-10,0950,Aqua,MODIS,50,6.03,290.7,12.2,D,0
29.8651,47.7229,320,1.3,1.1,2021-02-13,1021,Aqua,MODIS,64,6.03,304.3,12.5,D,0
29.866,47.7265,331.4,1.2,1.1,2021-02-14,0750,Terra,MODIS,82,6.03,302.7,31.3,D,0
29.8681,47.7138,320.5,1.2,1.1,2021-02-14,0750,Terra,MODIS,68,6.03,301.9,14.3,D,0
29.8535,47.7006,316.2,3.3,1.7,2021-02-14,0926,Aqua,MODIS,66,6.03,303.9,28.1,D,0
29.8571,47.7039,317.3,3.3,1.7,2021-02-14,0926,Aqua,MODIS,68,6.03,304,34.1,D,0
29.8655,47.7273,310.8,1.1,1.1,2021-02-14,1850,Terra,MODIS,81,6.03,287.2,14,N,0
29.8637,47.7159,310.7,1.1,1.1,2021-02-14,1850,Terra,MODIS,81,6.03,287,14,N,0
29.8702,47.7203,300.3,1.9,1.4,2021-02-14,2309,Aqua,MODIS,25,6.03,283.7,18.1,N,0
28.9892,48.1266,326,1,1,2021-02-15,1008,Aqua,MODIS,72,6.03,307.7,12.5,D,2
29.8622,47.7163,325,1,1,2021-02-15,1009,Aqua,MODIS,70,6.03,309.7,10.1,D,0
29.8636,47.7267,322.1,1,1,2021-02-15,1009,Aqua,MODIS,63,6.03,310,6.9,D,0
28.9695,47.9121,309,2.1,1.4,2021-02-15,2214,Aqua,MODIS,76,6.03,285.1,34.3,N,0
29.0026,48.0231,301.7,1.6,1.3,2021-02-16,1838,Terra,MODIS,44,6.03,288.4,11.8,N,0
28.9978,47.8691,324.5,1.7,1.3,2021-02-16,1838,Terra,MODIS,100,6.03,287.9,51.1,N,0
28.9947,47.8524,310.2,1.7,1.3,2021-02-16,1838,Terra,MODIS,79,6.03,287.4,24.3,N,0
28.9961,47.8633,328,1.7,1.3,2021-02-16,1838,Terra,MODIS,100,6.03,287.9,60.1,N,0
28.9901,47.8611,311.4,1.1,1,2021-02-19,1908,Terra,MODIS,82,6.03,281.4,16.2,N,0
28.9994,47.8596,315.8,1.1,1,2021-02-19,1908,Terra,MODIS,92,6.03,280.8,20.2,N,0
29.0009,47.8708,300.9,1.1,1,2021-02-19,1908,Terra,MODIS,35,6.03,280.8,8.6,N,0
29.9657,47.6824,321.9,1,1,2021-02-21,1856,Terra,MODIS,100,6.03,284.9,22.9,N,0
29.8923,47.8345,310.4,1,1,2021-02-25,0732,Terra,MODIS,50,6.03,292.8,5.6,D,0
