latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.0071,72.5036,300.7,1,1,2021-01-16,0820,Aqua,MODIS,41,6.03,287,4.8,D,0
40.7157,72.9696,307.3,3.8,1.8,2021-02-02,0903,Aqua,MODIS,65,6.03,281.9,66,D,0
41.7497,74.1751,301.4,1.2,1.1,2021-02-05,0615,Terra,MODIS,42,6.03,276.7,7.6,D,0
41.7521,74.1613,306.4,1.2,1.1,2021-02-05,0615,Terra,MODIS,63,6.03,277.9,11.1,D,0
40.7638,73.3204,300.9,1.3,1.1,2021-02-12,0621,Terra,MODIS,42,6.03,283.7,6.4,D,2
42.8664,75.0344,303.8,2.5,1.5,2021-02-17,0638,Terra,MODIS,57,6.03,291.3,15.9,D,0
42.4124,71.161,311.4,1.6,1.2,2021-02-17,0639,Terra,MODIS,71,6.03,284.8,20.2,D,0
42.4162,71.15,340,1.6,1.2,2021-02-17,0639,Terra,MODIS,92,6.03,288.2,85.4,D,0
42.4157,71.1443,327.3,1.6,1.2,2021-02-17,0639,Terra,MODIS,85,6.03,288.4,50.5,D,0
40.7242,72.9528,305.1,1,1,2021-02-17,0820,Aqua,MODIS,54,6.03,292.4,4.5,D,0
42.7924,75.2386,306,1.3,1.1,2021-02-17,0821,Aqua,MODIS,62,6.03,294.4,5.5,D,0
42.412,71.1469,334.1,1,1,2021-02-17,0821,Aqua,MODIS,67,6.03,293.7,33.3,D,0
42.8668,74.9799,311,1.3,1.1,2021-02-17,0821,Aqua,MODIS,71,6.03,295.2,8.5,D,0
42.8835,75.0395,314.8,1.3,1.1,2021-02-17,0821,Aqua,MODIS,73,6.03,295.6,12.6,D,0
43.0207,74.4416,307.3,1.2,1.1,2021-02-17,0821,Aqua,MODIS,55,6.03,292.3,7.1,D,0
42.861,74.207,303,1.2,1.1,2021-02-17,0821,Aqua,MODIS,43,6.03,290.7,4.5,D,0
42.7826,75.0603,308.9,1.2,1.1,2021-02-18,0543,Terra,MODIS,68,6.03,290,10.1,D,0
42.8899,75.0097,303.7,1.2,1.1,2021-02-18,0543,Terra,MODIS,53,6.03,288.6,5.5,D,0
42.9089,74.7466,306.8,1.3,1.1,2021-02-18,0543,Terra,MODIS,64,6.03,289.4,9.1,D,0
42.7862,75.7363,305.2,1.2,1.1,2021-02-18,0543,Terra,MODIS,61,6.03,288.4,6.5,D,0
42.9357,74.8691,317.2,1.3,1.1,2021-02-18,0543,Terra,MODIS,77,6.03,285.1,21.2,D,0
42.9809,74.5416,304.1,1.3,1.1,2021-02-18,0543,Terra,MODIS,55,6.03,287.2,8.5,D,0
42.9072,74.7622,303.1,1.3,1.1,2021-02-18,0543,Terra,MODIS,53,6.03,289.2,5.6,D,0
42.876,74.7642,306.5,2.5,1.5,2021-02-18,0726,Aqua,MODIS,63,6.03,287.7,22.9,D,2
42.8023,75.1915,305.5,2.4,1.5,2021-02-18,0726,Aqua,MODIS,62,6.03,294.6,16,D,0
42.8829,74.7683,309.6,2.5,1.5,2021-02-18,0726,Aqua,MODIS,69,6.03,288.8,30.8,D,2
42.2226,76.5717,310,1,1,2021-02-25,0550,Terra,MODIS,69,6.03,276.8,12.1,D,0
