latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
55.9341,26.3306,305.4,1,1,2021-04-12,1105,Aqua,MODIS,61,6.03,289.3,6.1,D,0
57.1156,24.4585,312.5,1,1,2021-04-12,1106,Aqua,MODIS,73,6.03,292.7,9.8,D,0
56.7285,25.6352,325,1,1,2021-04-19,1112,Aqua,MODIS,83,6.03,294.4,22.4,D,0
57.3128,25.2785,301.6,1,1,2021-05-30,1106,Aqua,MODIS,31,6.03,290,3.5,D,0
56.7327,21.5363,303.7,1,1,2021-05-31,0958,Terra,MODIS,36,6.03,287.8,5.7,D,0
57.6264,25.0126,302.1,1.6,1.2,2021-06-02,1136,Aqua,MODIS,14,6.03,289.3,5.3,D,0
56.1284,21.059,306.2,1.3,1.1,2021-06-05,1016,Terra,MODIS,11,6.03,294.8,7.2,D,0
56.8071,22.3586,305.9,1.4,1.2,2021-06-05,1016,Terra,MODIS,27,6.03,294.2,5.6,D,0
56.8828,26.5537,303.7,2.8,1.6,2021-06-07,1155,Aqua,MODIS,20,6.03,291.2,14.5,D,0
56.7332,21.5525,317.3,1.1,1,2021-06-11,0939,Terra,MODIS,68,6.03,302.3,12.6,D,0
56.7353,21.5351,310.6,1.1,1,2021-06-11,0939,Terra,MODIS,28,6.03,295.9,7.3,D,0
56.5136,26.8367,306.3,1.4,1.2,2021-06-16,0957,Terra,MODIS,56,6.03,292,9.2,D,0
57.2992,27.3975,302.7,1.9,1.3,2021-06-16,1011,Aqua,MODIS,28,6.03,292.3,11.1,D,0
56.7898,26.8103,311.2,1.1,1,2021-06-22,1112,Aqua,MODIS,0,6.03,292.1,5.8,D,0
56.4596,25.3293,310,1.6,1.2,2021-06-30,1009,Terra,MODIS,64,6.03,297.2,13.4,D,0
56.7752,26.6122,306.7,1.6,1.3,2021-06-30,1023,Aqua,MODIS,12,6.03,294.4,6.8,D,0
57.8231,26.0001,312,1.3,1.1,2021-07-09,1003,Terra,MODIS,48,6.03,297.3,10.4,D,0
57.0327,24.4166,316,2.2,1.4,2021-07-09,1017,Aqua,MODIS,70,6.03,298.2,25.9,D,0
56.7875,27.8502,311.3,1,1,2021-07-10,1059,Aqua,MODIS,47,6.03,298.3,4.6,D,0
57.6956,25.76,311.8,2.6,1.5,2021-07-12,1033,Terra,MODIS,57,6.03,296.7,25.9,D,0
56.7126,26.7556,314.9,1.1,1,2021-07-12,1047,Aqua,MODIS,36,6.03,301.1,7.1,D,0
57.6991,25.752,321,1.1,1,2021-07-12,1047,Aqua,MODIS,59,6.03,308,13.6,D,0
57.0739,24.7343,313.3,1,1,2021-07-13,0938,Terra,MODIS,41,6.03,296.9,6,D,0
57.3034,27.3963,318.4,1,1,2021-07-13,0938,Terra,MODIS,70,6.03,304.5,10.6,D,0
57.0652,24.73,313.8,1,1,2021-07-13,0938,Terra,MODIS,54,6.03,297.2,6.9,D,0
56.9737,22.9854,315.5,1,1,2021-07-13,0938,Terra,MODIS,54,6.03,300.7,7.6,D,0
56.5057,26.8598,312.8,2.4,1.5,2021-07-14,1021,Terra,MODIS,65,6.03,295.8,18.5,D,0
57.6987,25.7657,318.3,1.1,1,2021-07-15,0926,Terra,MODIS,44,6.03,304.3,9.6,D,0
56.0127,26.6215,316.9,1,1,2021-07-15,0926,Terra,MODIS,69,6.03,304.7,9.2,D,0
57.7009,25.7484,318.7,1.1,1,2021-07-15,0926,Terra,MODIS,17,6.03,305.1,9.7,D,0
57.693,25.7563,318.9,1.1,1,2021-07-15,0926,Terra,MODIS,73,6.03,305.3,11.5,D,0
57.6991,25.7698,313.3,1.5,1.2,2021-07-16,1009,Terra,MODIS,61,6.03,297.3,11.6,D,0
56.3669,26.2985,319.6,1.7,1.3,2021-07-16,1009,Terra,MODIS,51,6.03,301,21.8,D,0
56.6653,25.3108,317.4,1.6,1.2,2021-07-16,1009,Terra,MODIS,53,6.03,300.2,18.7,D,0
57.6953,25.7472,314.5,1.6,1.3,2021-07-16,1023,Aqua,MODIS,62,6.03,298.3,15.5,D,0
57.1131,24.76,303.1,1.1,1,2021-07-16,1945,Terra,MODIS,53,6.03,292.3,4.9,N,0
56.6829,23.0557,319.8,1.7,1.3,2021-07-18,1149,Aqua,MODIS,75,6.03,299.7,27.1,D,0
56.4428,28.146,301.8,1.2,1.1,2021-07-20,0944,Terra,MODIS,22,6.03,290.5,3.6,D,0
57.0614,24.7295,303.2,1,1,2021-07-22,0932,Terra,MODIS,38,6.03,291.4,3.6,D,0
56.4573,25.3392,312.4,1.4,1.2,2021-07-25,1003,Terra,MODIS,66,6.03,302,12.8,D,0
56.2255,25.7872,312.5,1.5,1.2,2021-07-25,1003,Terra,MODIS,36,6.03,299.2,11.2,D,0
56.3476,21.2682,316,1.7,1.3,2021-07-25,1155,Aqua,MODIS,59,6.03,300.5,18.4,D,0
56.3721,26.2969,313.8,2.8,1.6,2021-07-25,1155,Aqua,MODIS,46,6.03,300,28.9,D,0
56.3497,21.2952,320.2,1.7,1.3,2021-07-25,1155,Aqua,MODIS,70,6.03,302.5,25.5,D,0
57.3496,24.8521,370.9,1.5,1.2,2021-07-26,0907,Terra,MODIS,100,6.03,304,206.1,D,0
57.3508,24.8596,378.1,1.5,1.2,2021-07-26,0907,Terra,MODIS,100,6.03,304.6,254.8,D,0
56.3821,22.702,342,1.8,1.3,2021-07-26,0908,Terra,MODIS,91,6.03,294.6,98.8,D,0
56.3801,22.731,324.2,1.8,1.3,2021-07-26,0908,Terra,MODIS,74,6.03,295.2,38.8,D,0
57.3412,24.9021,310.3,3.2,1.7,2021-07-26,1045,Terra,MODIS,60,6.03,298,26.4,D,0
57.3515,24.8421,355.6,1,1,2021-07-26,1100,Aqua,MODIS,98,6.03,309.3,68.3,D,0
57.3603,24.8375,352.4,1,1,2021-07-26,1100,Aqua,MODIS,96,6.03,304,61.3,D,0
57.3628,24.8537,318.4,1,1,2021-07-26,1100,Aqua,MODIS,42,6.03,303.7,8.9,D,0
57.3541,24.8584,359.6,1,1,2021-07-26,1100,Aqua,MODIS,99,6.03,308.3,78,D,0
57.3521,24.8468,300.1,1.9,1.3,2021-07-30,1021,Terra,MODIS,13,6.03,287.2,5.4,D,0
56.0105,26.621,303.9,1.7,1.3,2021-08-01,1023,Aqua,MODIS,16,6.03,290,6.2,D,0
57.1439,24.456,322,1.5,1.2,2021-10-08,1137,Aqua,MODIS,81,6.03,287.5,38.1,D,0
