latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.753,35.9478,306.8,1.3,1.1,2021-02-11,1035,Aqua,MODIS,48,6.03,296.2,6.4,D,0
34.0109,36.1894,301.2,1.4,1.2,2021-05-12,2314,Aqua,MODIS,39,6.03,283.8,10.5,N,0
33.6446,35.5391,312.9,1.1,1.1,2021-06-10,1041,Aqua,MODIS,54,6.03,299.9,4.1,D,0
34.0829,36.0856,334.2,1,1,2021-07-02,0825,Terra,MODIS,74,6.03,318.7,15.4,D,0
33.7494,35.8603,369.9,1,1,2021-07-10,1053,Aqua,MODIS,100,6.03,316.3,99.4,D,0
34.4281,35.8965,327.5,1.1,1,2021-07-11,0818,Terra,MODIS,57,6.03,306.6,11.8,D,0
33.2067,35.343,333.7,1.6,1.2,2021-07-13,0806,Terra,MODIS,67,6.03,307.2,39.7,D,0
33.0677,35.3923,331,1.4,1.2,2021-07-21,1034,Aqua,MODIS,67,6.03,310.1,26.4,D,0
33.0651,35.3775,326.3,1.4,1.2,2021-07-21,1034,Aqua,MODIS,34,6.03,310.5,17.8,D,0
34.4798,36.0712,330.4,1.1,1,2021-07-27,0818,Terra,MODIS,68,6.03,307.1,18.1,D,0
34.4813,36.0594,331.3,1.1,1,2021-07-27,0818,Terra,MODIS,71,6.03,307.8,18.8,D,0
34.5231,36.3157,313.4,1.7,1.3,2021-07-28,2003,Terra,MODIS,59,6.03,295,20.6,N,0
34.5112,36.2857,303.8,1.7,1.3,2021-07-28,2003,Terra,MODIS,44,6.03,293.4,10.5,N,0
34.5215,36.2982,332.6,1.7,1.3,2021-07-28,2003,Terra,MODIS,100,6.03,296.8,66.9,N,0
34.5247,36.3046,314.2,1.7,1.3,2021-07-28,2003,Terra,MODIS,88,6.03,295.6,23.9,N,0
34.5098,36.2983,310.4,1.7,1.3,2021-07-28,2003,Terra,MODIS,53,6.03,294.9,17.6,N,0
34.5115,36.317,313.9,1.7,1.3,2021-07-28,2003,Terra,MODIS,61,6.03,296.1,22,N,0
34.513,36.3048,340.8,1.7,1.3,2021-07-28,2003,Terra,MODIS,100,6.03,297.7,96.8,N,0
34.5174,36.2969,305.3,4.3,1.9,2021-07-29,0022,Aqua,MODIS,23,6.03,292.5,50.1,N,0
34.5041,36.319,333.6,1.4,1.2,2021-07-29,0806,Terra,MODIS,77,6.03,305.6,31.8,D,0
34.518,36.2891,332.9,1.4,1.2,2021-07-29,0806,Terra,MODIS,71,6.03,309.8,33.8,D,0
34.5164,36.3044,363.9,1.4,1.2,2021-07-29,0806,Terra,MODIS,100,6.03,313.6,140.2,D,0
34.5147,36.32,335.3,1.4,1.2,2021-07-29,0806,Terra,MODIS,79,6.03,309.6,37,D,0
34.5074,36.2884,326.4,1.4,1.2,2021-07-29,0806,Terra,MODIS,51,6.03,310.7,20.5,D,0
34.5057,36.3036,362.7,1.4,1.2,2021-07-29,0806,Terra,MODIS,100,6.03,311.6,135.1,D,0
34.5462,36.2271,332.8,1.4,1.2,2021-07-29,0806,Terra,MODIS,76,6.03,307.8,35.2,D,0
34.5032,36.2949,355.4,2.8,1.6,2021-07-29,1124,Aqua,MODIS,97,6.03,306.3,280.9,D,0
34.5016,36.2997,366.8,2.8,1.6,2021-07-29,1124,Aqua,MODIS,100,6.03,306.1,427.1,D,0
33.6964,35.5448,343.9,2.5,1.5,2021-08-01,1016,Aqua,MODIS,86,6.03,304,161.9,D,0
34.4181,36.1529,331.7,1.2,1.1,2021-08-02,1059,Aqua,MODIS,60,6.03,305.4,23.4,D,0
33.6174,35.5794,328.8,1,1,2021-08-03,0824,Terra,MODIS,48,6.03,310.7,13.7,D,0
34.4197,36.1549,328.8,1.2,1.1,2021-08-03,2345,Aqua,MODIS,100,6.03,296.9,34.1,N,0
34.4103,36.1517,306,1.2,1.1,2021-08-03,2345,Aqua,MODIS,67,6.03,294.2,8.6,N,0
34.4218,36.1432,327.4,1.2,1.1,2021-08-03,2345,Aqua,MODIS,100,6.03,295.7,31.5,N,0
34.4078,36.1467,331.5,1,1,2021-08-04,1047,Aqua,MODIS,54,6.03,305.7,17.8,D,0
33.8645,35.5277,330.2,1,1,2021-08-04,1047,Aqua,MODIS,60,6.03,311.5,11.5,D,2
33.604,35.6037,331.9,1.9,1.4,2021-08-07,1118,Aqua,MODIS,67,6.03,306.8,51.6,D,0
34.3412,35.7496,321.7,1.3,1.1,2021-08-08,0842,Terra,MODIS,26,6.03,303.9,13.6,D,2
34.3144,35.7556,336.3,1.3,1.1,2021-08-09,1105,Aqua,MODIS,81,6.03,306.3,35.3,D,0
34.313,35.742,330.6,1.3,1.1,2021-08-09,1105,Aqua,MODIS,68,6.03,307.3,24.1,D,0
34.4555,36.0275,328.5,1.5,1.2,2021-08-14,0805,Terra,MODIS,64,6.03,300.8,25.7,D,0
34.4466,36.009,324,1.5,1.2,2021-08-14,0805,Terra,MODIS,42,6.03,303.7,16.4,D,0
33.5608,35.4001,327.6,1.2,1.1,2021-08-25,1105,Aqua,MODIS,40,6.03,305.2,16.5,D,2
33.7214,35.9541,331,1,1,2021-08-27,1053,Aqua,MODIS,47,6.03,317.8,9.3,D,0
34.5912,36.2517,330.1,1,1,2021-08-28,0817,Terra,MODIS,64,6.03,311.3,14.5,D,0
33.1244,35.4554,339.4,1.1,1,2021-08-28,0818,Terra,MODIS,82,6.03,310.8,29.5,D,0
