latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-29.3434,27.4644,319,1.4,1.2,2021-02-01,0838,Terra,MODIS,69,6.03,303.6,13.9,D,2
-29.3437,27.4663,321.4,1.1,1,2021-02-11,1156,Aqua,MODIS,61,6.03,305.9,7.6,D,2
-29.315,27.4906,315.7,1.1,1,2021-02-27,1156,Aqua,MODIS,40,6.03,302.2,6.6,D,2
-29.4455,27.9448,306.5,1.2,1.1,2021-04-15,0831,Terra,MODIS,35,6.03,292.6,6.9,D,0
-29.5122,29.2326,325.4,1.2,1.1,2021-05-16,1208,Aqua,MODIS,84,6.03,286.3,31,D,0
-28.7086,28.1654,322.6,1.2,1.1,2021-05-17,0830,Terra,MODIS,82,6.03,289.5,27.2,D,0
-29.5799,28.552,314.4,1,1,2021-05-18,1156,Aqua,MODIS,73,6.03,292.7,11,D,0
-30.1482,27.472,304.6,1,1,2021-05-19,0818,Terra,MODIS,59,6.03,292.2,4.1,D,0
-29.3878,28.2638,300.9,1,1,2021-05-28,0812,Terra,MODIS,39,6.03,287,5.1,D,0
-30.3624,28.1297,300.7,1,1,2021-05-28,0812,Terra,MODIS,34,6.03,286.7,4.5,D,0
-29.658,29.1648,305.8,1.5,1.2,2021-05-29,1137,Aqua,MODIS,62,6.03,290.6,12.1,D,0
-28.7295,28.7116,302.2,1.6,1.2,2021-05-29,1138,Aqua,MODIS,26,6.03,291.2,9.5,D,0
-30.5155,27.8947,303,1,1,2021-06-04,0818,Terra,MODIS,55,6.03,278.3,8.9,D,0
-28.8357,28.0456,315.4,1.4,1.2,2021-06-05,1144,Aqua,MODIS,76,6.03,293,19.4,D,0
-28.83,28.0513,311.1,1.4,1.2,2021-06-05,1144,Aqua,MODIS,71,6.03,293.2,13.8,D,0
-29.3201,28.0533,306.2,2.3,1.5,2021-06-07,1131,Aqua,MODIS,63,6.03,284.9,27.3,D,0
-29.3242,28.0487,306.7,2.3,1.5,2021-06-07,1131,Aqua,MODIS,64,6.03,286.3,27.9,D,0
-30.453,27.7821,303.6,1,1,2021-06-10,1202,Aqua,MODIS,57,6.03,292.2,4.2,D,0
-29.5023,27.4924,306.6,1,1,2021-06-17,1208,Aqua,MODIS,40,6.03,291.2,6.1,D,0
-29.5579,28.0209,314.9,1.1,1,2021-06-17,1208,Aqua,MODIS,75,6.03,285.2,15.9,D,0
-29.2363,28.8836,303.2,3.4,1.7,2021-06-20,1239,Aqua,MODIS,48,6.03,291.1,25.8,D,0
-29.2438,28.8807,303.2,3.4,1.7,2021-06-20,1239,Aqua,MODIS,55,6.03,291.8,26.1,D,0
-29.9109,29.1488,302.1,1.3,1.1,2021-06-21,1143,Aqua,MODIS,42,6.03,288,6.5,D,0
-28.9011,28.4065,307.5,1.3,1.1,2021-06-21,1144,Aqua,MODIS,50,6.03,295.4,12,D,0
-28.6903,28.3875,306.2,1,1,2021-06-26,1202,Aqua,MODIS,62,6.03,291.7,5.7,D,0
-28.6245,28.4643,313.2,1,1,2021-06-26,1202,Aqua,MODIS,68,6.03,292.3,10.8,D,0
-29.9296,27.967,310.2,1,1,2021-06-26,1202,Aqua,MODIS,70,6.03,286.6,10.5,D,0
-29.931,27.9567,304.2,1,1,2021-06-26,1202,Aqua,MODIS,58,6.03,288.6,6.5,D,0
-29.4143,28.4073,309,1,1,2021-06-26,1202,Aqua,MODIS,68,6.03,286.8,9.3,D,0
-29.4128,28.4176,321.1,1,1,2021-06-26,1202,Aqua,MODIS,81,6.03,287.1,19.5,D,0
-29.4996,27.9487,313.5,1,1,2021-06-26,1202,Aqua,MODIS,74,6.03,287.9,12.7,D,0
-28.9062,28.6877,310.1,1.1,1.1,2021-06-27,0823,Terra,MODIS,70,6.03,282.6,13,D,0
-29.5852,28.4224,317,1.1,1,2021-06-27,0824,Terra,MODIS,77,6.03,284.3,18.8,D,0
-29.5837,28.4112,328.9,1.1,1,2021-06-27,0824,Terra,MODIS,86,6.03,286.6,33.1,D,0
-29.7061,27.0795,300.8,4.4,1.9,2021-06-28,0907,Terra,MODIS,31,6.03,290,23.7,D,0
-29.7066,27.0739,302.2,4.4,1.9,2021-06-28,0907,Terra,MODIS,49,6.03,290,31.3,D,0
-29.7255,27.0789,344.2,1.3,1.1,2021-06-28,1150,Aqua,MODIS,91,6.03,299.5,67.6,D,0
-29.3642,28.3108,302.5,1.1,1.1,2021-06-28,1150,Aqua,MODIS,24,6.03,287.8,5.9,D,0
-29.7152,27.0771,346.8,1.3,1.1,2021-06-28,1150,Aqua,MODIS,94,6.03,298.3,78.4,D,0
-29.7655,27.8527,300.5,1.2,1.1,2021-06-28,1150,Aqua,MODIS,26,6.03,287.3,5.2,D,0
-29.4442,29.1946,301,1.1,1,2021-06-28,1150,Aqua,MODIS,41,6.03,283.1,6.4,D,0
-29.7307,27.0999,335.6,1.3,1.1,2021-06-28,1150,Aqua,MODIS,89,6.03,296.1,48.7,D,0
-29.7322,27.0864,359.7,1.3,1.1,2021-06-28,1150,Aqua,MODIS,99,6.03,299.9,122,D,0
-29.7342,27.0941,347.7,1.3,1.1,2021-06-28,1150,Aqua,MODIS,95,6.03,297.3,78.7,D,0
-29.7239,27.0925,331.6,1.3,1.1,2021-06-28,1150,Aqua,MODIS,85,6.03,296.8,39.1,D,0
-29.7763,27.931,332.1,1.2,1.1,2021-06-28,1150,Aqua,MODIS,88,6.03,290.6,43,D,0
-29.7748,27.9431,320.4,1.2,1.1,2021-06-28,1150,Aqua,MODIS,80,6.03,288.8,25.1,D,0
-29.805,27.8594,309.2,1.2,1.1,2021-06-28,1150,Aqua,MODIS,68,6.03,287.2,13.5,D,0
-29.767,27.8403,301.3,1.2,1.1,2021-06-28,1150,Aqua,MODIS,38,6.03,289.5,5.5,D,0
-29.3656,28.299,322.7,1.1,1.1,2021-06-28,1150,Aqua,MODIS,81,6.03,289.3,25.2,D,0
-29.5363,29.2761,304.8,1,1,2021-06-29,0811,Terra,MODIS,47,6.03,284.1,8.9,D,0
-29.5539,29.083,309.8,1,1,2021-06-29,0811,Terra,MODIS,69,6.03,285.6,11.9,D,0
-29.5348,29.2659,315.5,1,1,2021-06-29,0811,Terra,MODIS,76,6.03,284.3,16.5,D,0
-29.8931,27.1661,321.9,1.1,1,2021-06-29,0812,Terra,MODIS,77,6.03,290.9,19.7,D,0
-29.2098,28.4515,315.2,1.7,1.3,2021-06-30,1137,Aqua,MODIS,70,6.03,291.8,28.8,D,0
-29.8473,28.4381,306.6,1.7,1.3,2021-06-30,1137,Aqua,MODIS,63,6.03,289.5,18.8,D,0
-29.2914,28.7502,303.9,1.6,1.2,2021-06-30,1137,Aqua,MODIS,53,6.03,289.7,10.6,D,0
-28.8208,28.0594,306.2,1.8,1.3,2021-06-30,1138,Aqua,MODIS,48,6.03,295.4,9.2,D,0
-29.5494,28.3422,304,1.3,1.1,2021-07-01,0759,Terra,MODIS,50,6.03,282.3,10.6,D,0
-29.8261,28.3752,308.2,1.5,1.2,2021-07-01,1220,Aqua,MODIS,61,6.03,285.8,16.4,D,0
-29.8613,28.4312,315.2,1.5,1.2,2021-07-01,1220,Aqua,MODIS,76,6.03,287.1,28.8,D,0
-29.8627,28.4376,323.6,1.5,1.2,2021-07-01,1220,Aqua,MODIS,82,6.03,286.5,42.4,D,0
-29.8598,28.453,310.4,1.5,1.2,2021-07-01,1220,Aqua,MODIS,65,6.03,283.7,20.7,D,0
-29.8586,28.4462,340.2,1.5,1.2,2021-07-01,1220,Aqua,MODIS,92,6.03,286,86.7,D,0
-29.8235,28.3893,316.4,1.5,1.2,2021-07-01,1220,Aqua,MODIS,77,6.03,285,29,D,0
-29.0691,28.6884,301.8,2.1,1.4,2021-07-02,0842,Terra,MODIS,49,6.03,284.6,16.3,D,0
-29.8926,29.0777,301,2.3,1.5,2021-07-02,0842,Terra,MODIS,44,6.03,287.1,13,D,0
-29.5863,27.6633,303.1,3.1,1.7,2021-07-02,1125,Aqua,MODIS,47,6.03,293,20.4,D,0
-29.5894,27.6593,302.9,3.1,1.7,2021-07-02,1125,Aqua,MODIS,41,6.03,292.7,19.6,D,0
-29.7953,27.8814,300.2,1.1,1,2021-07-02,2048,Terra,MODIS,21,6.03,273.1,9.5,N,0
